goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Atlanta Braves Sport Pique 59FIFTY,A4016_251,£30.00,£0,Navy,"['6 7/8', '7', '7 1/8', '7 1/4', '7 3/8', '7 1/2', '7 5/8', '7 3/4', '7 7/8', '8']","['Support your MLB team in true classic New Era style with this fully fitted 59FIFTY cap. Crafted in a contrasting navy and white colourway with official Atlanta Braves branding, it’s perfect for adding some retro style to your casual outfits.', 'Fully fitted 59FIFTY profile', 'Experience iconic style with the structured full crown', 'Curve the flat visor however you like', 'Support your MLB team with the Atlanta Braves team logo embroidery', 'Embroidered MLB Batterman logo to the rear', 'White New Era flag embroidery', '% MultiPanel Cotton/Poly mesh fabrication']","['https://www.neweracap.co.uk/globalassets/products/a4016_251/11794637/11794637-left.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4016_251/11794637/11794637-center.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4016_251/11794637/11794637-back.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4016_251/11794637/11794637-bottom.jpg?w=1000']",1,mens,1,https://www.neweracap.co.uk/default/headwear/caps/Atlanta-Braves-Sport-Pique-59FIFTY-A4016-251/
Los Angeles Dodgers Diamond Era 59FIFTY,A4022_263,£30.00,£0,Black,"['6 7/8', '7', '7 1/8', '7 1/4', '7 3/8', '7 1/2', '7 5/8', '7 3/4', '7 7/8', '8']","['Add some retro style to your casual outfits while supporting your favourite MLB team with this Los Angeles Dodgers 59FIFTY cap from New Era. Crafted in all-over Diamond Era material with a black-on-black colourway, it’s a must-have addition to your wardrobe.', 'Fully fitted 59FIFTY profile', 'Sleek black Diamond Era crown with structured front panels', 'Matching Diamond Era flat visor that can be curved', 'Tonal Los Angeles Dodgers logo embroidery to the front', 'Subtle New Era flag to the side', 'Official MLB Batterman logo to the rear', '100% polyester woven fabrication']","['https://www.neweracap.co.uk/globalassets/products/a4022_263/11794645/11794645-left.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4022_263/11794645/11794645-back.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4022_263/11794645/11794645-bottom.jpg?w=1000']",8,mens,1,https://www.neweracap.co.uk/default/headwear/caps/Los-Angeles-Dodgers-Diamond-Era-59FIFTY-A4022-263/
Brooklyn Nets NBA Authentics - City Series 9FIFTY Snapback,A4040_G94,£30.00,£0,Black,['Osfm'],"['Back the Brooklyn Nets during the NBA City Series with this striking snapback. Wear with your everyday casual outfits for a pop of colour, or on the pitch for a sport-inspired look this season.', 'Adjustable 9FIFTY profile', 'Black tall and broad structured crown', 'Contrasting multicoloured rounded flat visor', ""'Brooklyn’ wordmark embroidered to the front in white"", 'Brooklyn Nets’ alternate team logo stitched to the right', 'Official NBA patch embroidered to the rear', 'Adjustable plastic snap rear closure', 'White New Era flag embroidered to the wearer’s left', 'Made from 100% polyester woven fabric']","['https://www.neweracap.co.uk/globalassets/products/a4040_g94/11867384/11867384-left.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4040_g94/11867384/11867384-center.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4040_g94/11867384/11867384-right.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4040_g94/11867384/11867384-back.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4040_g94/11867384/11867384-bottom.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4040_g94/11867384/11867384-6.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4040_g94/11867384/11867384-7.jpg?w=1000']",7,mens,1,https://www.neweracap.co.uk/default/headwear/caps/Brooklyn-Nets-NBA-Authentics---City-Series-9FIFTY-Snapback-A4040-G94/
New York Knicks NBA Authentics - City Series 9FIFTY Snapback,A3848_347,£30.00,£0,Navy,['Osfm'],"['Take to the pitch in this NBA City Series snapback, featuring the New York Knicks’ official team logo. Wear with your casual outfits to show your support for your favourite basketball team this season.', 'Adjustable 9FIFTY profile', 'All-over navy tall and broad structured crown', 'Matching navy rounded flat visor', 'Knicks’ official team logo embroidered to the front', ""'New York’ wordmark embroidered to the rear"", 'NBA logo patch stitched to the rear', 'Plastic snap closure to the rear', 'Orange New Era flag embroidered to the left side', '100% polyester woven fabrication']","['https://www.neweracap.co.uk/globalassets/products/a3848_347/11867351/11867351-left.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3848_347/11867351/11867351-center.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3848_347/11867351/11867351-right.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3848_347/11867351/11867351-back.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3848_347/11867351/11867351-bottom.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3848_347/11867351/11867351-6.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3848_347/11867351/11867351-7.jpg?w=1000']",11,mens,1,https://www.neweracap.co.uk/default/headwear/caps/New-York-Knicks-NBA-Authentics---City-Series-9FIFTY-Snapback-A3848-347/
Los Angeles Lakers NBA Authentics - City Series 9FIFTY Snapback,A4038_331,£30.00,£0,Purple,['Osfm'],"['Part of the NBA City Series 2018 collection, this Los Angeles Lakers snapback lets you pay homage to your favourite basketball team this season. It’s a must-have accessory for loyal fans.', 'Adjustable 9FIFTY profile', 'Tall and broad structured crown in all-over purple with wordmark stripes', 'Contrasting black rounded flat visor', 'Team wordmark embroidered to the front in black and yellow', ""'LA’ embroidered to the right"", 'Black top button and purple stitched eyelets', 'Adjustable black plastic snap closure', 'Black New Era flag embroidered to the left', '100% polyester woven fabrication']","['https://www.neweracap.co.uk/globalassets/products/a4038_331/11867362/11867362-left.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4038_331/11867362/11867362-center.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4038_331/11867362/11867362-right.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4038_331/11867362/11867362-back.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4038_331/11867362/11867362-bottom.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4038_331/11867362/11867362-6.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4038_331/11867362/11867362-7.jpg?w=1000']",9,mens,1,https://www.neweracap.co.uk/default/headwear/caps/Los-Angeles-Lakers-NBA-Authentics---City-Series-9FIFTY-Snapback-A4038-331/
Cleveland Cavaliers NBA Authentics - City Series 9FIFTY Snapback,A3852_319,£30.00,£0,Blue,['Osfm'],"['Give your team the support they need this season with this NBA City Series 2018 snapback. Featuring the team’s official colourway, you can pay homage to your favourite basketball team in true sporting style.', 'Adjustable 9FIFTY profile', 'Tall and broad structured crown in team blue', 'Blue and orange rounded flat visor', 'Cavaliers’ official team logo embroidered to the front', ""'Cleveland wordmark stitched to the rear"", 'Adjustable plastic snap rear closure', 'Official NBA patch to the back', 'Orange New Era flag embroidered to the left side', 'Made from 100% polyester woven fabric']","['https://www.neweracap.co.uk/globalassets/products/a3852_319/11867379/11867379-left.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3852_319/11867379/11867379-center.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3852_319/11867379/11867379-right.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3852_319/11867379/11867379-back.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3852_319/11867379/11867379-bottom.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3852_319/11867379/11867379-6.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3852_319/11867379/11867379-7.jpg?w=1000']",10,mens,1,https://www.neweracap.co.uk/default/headwear/caps/Cleveland-Cavaliers-NBA-Authentics---City-Series-9FIFTY-Snapback-A3852-319/
Golden State Warriors NBA Authentics - City Series 9FIFTY Snapback,A3850_325,£30.00,£0,Black,['Osfm'],"['Crafted in a striking yellow and black design, this NBA City Series 2018 Golden State Warriors snapback is the perfect accessory whether you’re on the street or on the pitch.', 'Adjustable 9FIFTY profile', 'Black tall and broad structured crown', 'Contrasting yellow rounded flat visor', 'Warriors’ official team logo embroidered to the front', 'Alternate team logo to the right', 'Yellow top button and black stitched eyelets', 'Adjustable yellow plastic snap rear closure', 'NBA patch stitched to the rear', 'Yellow New Era flag to the wearer’s left side', '100% polyester woven fabrication']","['https://www.neweracap.co.uk/globalassets/products/a3850_325/11867370/11867370-left.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3850_325/11867370/11867370-center.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3850_325/11867370/11867370-right.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3850_325/11867370/11867370-back.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3850_325/11867370/11867370-bottom.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3850_325/11867370/11867370-6.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3850_325/11867370/11867370-7.jpg?w=1000']",6,mens,1,https://www.neweracap.co.uk/default/headwear/caps/Golden-State-Warriors-NBA-Authentics---City-Series-9FIFTY-Snapback-A3850-325/
New York Yankees Diamond Era 59FIFTY,A3766_282,£30.00,£0,Green,"['6 7/8', '7', '7 1/8', '7 1/4', '7 3/8', '7 1/2', '7 5/8', '7 3/4', '7 7/8', '8']","['Crafted from Diamond Era fabric in an all-over olive green colourway, you can add a touch of iconic New Era style to your casual outfits with this fully fitted New York Yankees 59FIFTY cap.', 'Fully fitted 59FIFTY profile', 'Mix classic and modern with a retro-style crown in Diamond Era material', 'Matching Diamond Era flat visor to curve as desired', 'Olive green New York Yankees embroidered logo to the front', 'New Era flag embroidery to the left', 'Embroidered MLB Batterman logo to the rear in olive', '100% polyester woven fabrication']","['https://www.neweracap.co.uk/globalassets/products/a3766_282/11794644/11794644-left.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3766_282/11794644/11794644-center.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3766_282/11794644/11794644-back.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3766_282/11794644/11794644-bottom.jpg?w=1000']",12,mens,1,https://www.neweracap.co.uk/default/headwear/caps/New-York-Yankees-Diamond-Era-59FIFTY-A3766-282/
Detroit Pistons NBA Authentics - City Series 9FIFTY Snapback,A3851_324,£30.00,£0,Black,['Osfm'],"['Show your support for the Detroit Pistons and pay homage to your favourite players with this NBA City Series snapback from New Era. Add it to your headwear collection.', 'Adjustable 9FIFTY profile', 'All-over black high structured crown', 'Contrasting grey rounded flat visor', ""'Motor city’ wordmark embroidered to the front in white"", 'Pistons logo embroidered to the right', 'Black top button and stitched eyelets', 'NBA patch stitched to the rear', 'Adjustable black plastic snap rear closure', 'New Era flag embroidered to the wearer’s left', '100% polyester woven fabrication']","['https://www.neweracap.co.uk/globalassets/products/a3851_324/11867372/11867372-left.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3851_324/11867372/11867372-center.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3851_324/11867372/11867372-right.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3851_324/11867372/11867372-back.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3851_324/11867372/11867372-bottom.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3851_324/11867372/11867372-6.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a3851_324/11867372/11867372-7.jpg?w=1000']",5,mens,1,https://www.neweracap.co.uk/default/headwear/caps/Detroit-Pistons-NBA-Authentics---City-Series-9FIFTY-Snapback-A3851-324/
Chicago Bulls NBA Authentics - City Series 9FIFTY Snapback,A4039_316,£30.00,£0,Black,['Osfm'],"['Cheer the Chicago Bulls to stardom with this NBA City Series snapback from New Era. Crafted in all-over black, this versatile accessory will take you from the stands to the streets in true sport-inspired style.', 'Adjustable 9FIFTY profile', 'Black tall and broad structured crown', 'Matching black rounded flat visor', 'Chicago Bulls’ official team logo embroidered to the front', 'Adjustable plastic snap rear closure', 'Official NBA patch to the rear', 'Tonal top button and stitched eyelets', 'Light blue New Era flag to the left side', '100% polyester woven fabrication']","['https://www.neweracap.co.uk/globalassets/products/a4039_316/11867381/11867381-left.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4039_316/11867381/11867381-center.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4039_316/11867381/11867381-right.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4039_316/11867381/11867381-back.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4039_316/11867381/11867381-bottom.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4039_316/11867381/11867381-6.jpg?w=1000', 'https://www.neweracap.co.uk/globalassets/products/a4039_316/11867381/11867381-7.jpg?w=1000']",2,mens,1,https://www.neweracap.co.uk/default/headwear/caps/Chicago-Bulls-NBA-Authentics---City-Series-9FIFTY-Snapback-A4039-316/
