产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品评论,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Fargo Hat,Style #1880-MIL,$38.00,$0,Military,['onesize'],"['Ripstop exterior ', 'Faux fur visor and interior', 'Side pockets with engraved buttons', 'Woven label on ear flap', 'Adjustable chin strap with clip closure', '100% cotton exterior; 50% acrylic, 50% polyester lining']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/fargo-hat-military-1880-MIL-0.jpg-dee0/2003ae3e71b754b97eb0b97c69b7ce4e.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/fargo-hat-military-1-5983/cc61abae7abc2c2b2cd629290af6245a.jpg']",1,all,1,https://www.hippytree.com/shop/new-arrivals/fargo-hat/military/
Peaks Hat,Style #2367-ORN,$36.00,$0,Orange,['onesize'],"['Five panel mid-profile design with flex visor', 'Eco twill exterior', 'Adjustable strap back with clip closure', 'Printed twill patch on crown', 'Woven label on back', 'Embroidered eyelet vents', 'Custom braid', 'Printed interior taped seams', '65% recycled polyester, 35% organic cotton']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-orange-1-aa39/d481594765e84cc53fb2ffddf03a21af.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-orange-2-7f21/407c6b8639aa770e6b453670ca6d72fe.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-orange-3-359e/9fc29784c6a4a364204c510586062c4f.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-orange-4-8d2c/c4f7a4de771737a59d39af0b8be9d89e.jpg']",9,all,1,https://www.hippytree.com/shop/new-arrivals/peaks-hat/orange/
Peaks Hat,Style #2367-NVY,$36.00,$0,Navy,['onesize'],"['Five panel mid-profile design with flex visor', 'Eco twill exterior', 'Adjustable strap back with clip closure', 'Printed twill patch on crown', 'Woven label on back', 'Embroidered eyelet vents', 'Custom braid', 'Printed interior taped seams', '65% recycled polyester, 35% organic cotton']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-navy-1-43e5/1064d03b6a1be4646f9289b881a678b2.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-navy-2-91d4/345beebfee0378dd16a83f38865a1cd3.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-navy-3-6104/31e9bb45cbf547978be6f5a03d393721.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-navy-4-2a01/8552147c2989c527d4c09a7f60a6868e.jpg']",8,all,1,https://www.hippytree.com/shop/new-arrivals/peaks-hat/navy/
Mountainside Hat,Style #2369-BRN,$32.00,$0,Brown,['onesize'],"['Six panel mid-profile design with curved visor', 'Adjustable snap back', 'Cotton canvas exterior with mesh back', 'Printed twill patch on crown', 'Woven label on back', 'Printed interior taped seams', '70% cotton, 30% polyester']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/mountainside-hat-brown-1-14d2/b7b11cbc39517b0772230ee0cc5f2459.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/mountainside-hat-brown-2-5165/df20d84fe3503307c4a70d6e773f1e95.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/mountainside-hat-brown-3-215a/4f7275ed83e019717a919b885e775955.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/mountainside-hat-brown-4-d5cb/226a3abb9b291befa1aa06c80946616f.jpg']",4,all,1,https://www.hippytree.com/shop/new-arrivals/mountainside-hat/brown/
Preserve Hat,Style #2365-ARM,$36.00,$0,Army,['onesize'],"['Unstructured six panel mid-profile design', 'Heavy weight brushed twill exterior', 'Adjustable strap back with clip closure', 'Debossed leather patch on crown', 'Woven label on back', 'Embroidered eyelet vents', 'Printed interior taped seams', '100% cotton']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-army-1-5353/e3ff59655ad33078f44563a493ba0aae.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-army-2-33df/ef16cbfa6ee0b59ca83e8de8427ca962.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-army-3-5e75/2ff3c3e315ad6c983f2d805acc019bc2.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-army-4-ec60/fd5a7b1c1ed8d5477e2df41cfb0e4cbc.jpg']",7,all,1,https://www.hippytree.com/shop/new-arrivals/preserve-hat/army/
