产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品评论,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Black Large Rose Slogan Embroidered Cap,597452501,£7.99,£0,Black,['onesize'],"['Hats are in so why not make sure yours co-ordinates with the trends and your new casual.', 'Rose and slogan embroidered front', 'Soft touch', 'One size', 'Adjustable back strap', 'Shell: 100% Cotton,', 'Band: 83%, 17% Cotton (exclusive of trim)', 'Sponge clean only.']","['https://media2.newlookassets.com/i/newlook/597452501.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/597452501M1.jpg?strip=true&qlt=80&w=1400']",1,mens,2,https://www.newlook.com/uk/mens/accessories/black-large-rose-slogan-embroidered-cap/p/597452501
Navy W Badge Front Beanie ,589364041,£5.99,£7.99,Navy,['onesize'],"['Complement your outfit on cooler days with this beanie.', 'Ribbed design', ""'W' badge front"", 'Turn-up hem', '100% Acrylic.']","['https://media3.newlookassets.com/i/newlook/589364041.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/589364041D1.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/589364041D2.jpg?strip=true&qlt=80&w=1400']",2,mens,2,https://www.newlook.com/uk/mens/accessories/navy-w-badge-front-beanie-/p/589364041
Grey Cable Knit Beanie,589567104,£7.99,£0,Grey,['onesize'],"['Stock up on the essentials with this beanie this season.', 'All-over cable knit', 'Turn up hems', 'One Size', '70% Acrylic, 30% Acrylic', 'Hand Wash Only.']","['https://media3.newlookassets.com/i/newlook/589567104.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/589567104M1.jpg?strip=true&qlt=80&w=1400']",12,mens,2,https://www.newlook.com/uk/mens/accessories/grey-cable-knit-beanie/p/589567104
Black Ribbed Knit Beanie Hat,586389908,£5.99,£0,Light Grey,['onesize'],"['Keep warm in this woven knit beanie and style it out with casual looks.', 'Ribbed effect', 'Turned up hems', 'One size', 'Casual fit', '100% Acrylic.', 'Machine washable.']","['https://media3.newlookassets.com/i/newlook/586389908.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/586389908M1.jpg?strip=true&qlt=80&w=1400']",13,mens,2,https://www.newlook.com/uk/mens/accessories/light-grey-woven-knit-turned-up-hem-beanie/p/586389908
Burgundy Velvet Cap,597447567,£7.99,£0,Burgundy,['onesize'],"['Hats are in so why not make sure yours co-ordinates with the trends and your new casual.', 'All over velvet', 'Soft touch', 'One size', 'Adjustable back strap', 'Shell: 100% Polyester,', 'Band: 83%, 17% Cotton (exclusive of trim)', 'Sponge clean only.']","['https://media3.newlookassets.com/i/newlook/597447567.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/597447567M1.jpg?strip=true&qlt=80&w=1400']",11,mens,2,https://www.newlook.com/uk/mens/accessories/burgundy-velvet-cap/p/597447567
Stone Badge Front Beanie,589354167,£7.99,£0,Burgundy,['onesize'],"['Top off your casual looks with this laid-back beanie.', 'Ribbed design', 'Badge front', 'Turn-up hem', '100% Acrylic.', 'Machine washable.']","['https://media3.newlookassets.com/i/newlook/589354167.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/589354167D1.jpg?strip=true&qlt=80&w=1400']",7,mens,2,https://www.newlook.com/uk/mens/accessories/burgundy-badge-front-beanie/p/589354167
Yellow Neon Beanie Hat,609641685,£4.49,£5.99,Yellow,['onesize'],"['Brighten up your casual looks with this easy neon beanie hat.', 'Rolled up hem', 'Ribbed design', 'Stretch fabric', '100% Acrylic', 'Do Not Wash.']","['https://media2.newlookassets.com/i/newlook/609641685.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/609641685D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/609641685D2.jpg?strip=true&qlt=80&w=1400']",10,mens,2,https://www.newlook.com/uk/mens/accessories/yellow-neon-beanie-hat/p/609641685
Stone Badge Front Beanie,589354141,£7.99,£0,Navy,['onesize'],"['Top off your casual looks with this laid-back beanie.', 'Ribbed design', 'Badge front', 'Turn-up hem', '100% Acrylic', 'Machine washable.']","['https://media3.newlookassets.com/i/newlook/589354141.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/589354141M1.jpg?strip=true&qlt=80&w=1400']",7,mens,2,https://www.newlook.com/uk/mens/accessories/navy-badge-front-beanie/p/589354141
Grey Marl Turn-Up Beanie Hat,589364338,£5.99,£0,Dark Green,['onesize'],"['Complete your casual look with a beanie.', 'Adjustable fold up size', 'Soft fine knit', 'Stretch fabric', '100% Acrylic.', 'Hand Wash Only.']","['https://media3.newlookassets.com/i/newlook/589364338.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/589364338D1.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/589364338D2.jpg?strip=true&qlt=80&w=1400']",20,mens,2,https://www.newlook.com/uk/mens/accessories/dark-green-turn-up-beanie-hat/p/589364338
Black Faux Fur Baker Boy Hat,598134201,£6.49,£12.99,Black,['onesize'],"['Add that extra soft touch to this on-trend baker boy hat.', 'Faux fur finish', 'Curved peak', 'Shell: 100% Polyester', 'She;; 2: 93% Cotton, 7% Viscose', 'Lining: 97% Polyester, 3% Cotton']","['https://media2.newlookassets.com/i/newlook/598134201.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/598134201M1.jpg?strip=true&qlt=80&w=1400']",48,womens,1,https://www.newlook.com/uk/womens/accessories/hats/black-faux-fur-baker-boy-hat/p/598134201
