产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Mink Ribbed Beanie Hat,592415304,£3.74,£4.99,Grey,['onesize'],"['Add something extra to your outfit, to keep it fun casual with this beanie and a leather jacket.', 'Soft ribbed knit', 'Turn-up hem', 'Loose fit', '50% Viscose, 28% Polyester, 22% Nylon.']","['https://media2.newlookassets.com/i/newlook/592415304.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/592415304M1.jpg?strip=true&qlt=80&w=1400']",1,womens,1,https://www.newlook.com/uk/womens/accessories/hats/grey-ribbed-beanie-hat/p/592415304
Black Pom Pom Knitted Beret,598834023,£7.49,£9.99,Mink,['onesize'],"['Stay warm in style in this pom pom beret.', 'Chunky knit', 'Large faux fur pom-pom', 'Slouchy fit', 'Body: 100% Acrylic.', 'Artificial Fur Trim: 80% Acrylic, 20% Modacrylic.', 'Artificial Fur Backing: 100% Polyester.', 'Hand wash only.']","['https://media2.newlookassets.com/i/newlook/598834023.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/598834023D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/598834023D2.jpg?strip=true&qlt=80&w=1400']",3,womens,1,https://www.newlook.com/uk/womens/accessories/hats/camel-faux-fur-pom-pom-beret/p/598834023
Dark Green Wool Blend Beret,595536124,£7.49,£9.99,Dark Brown,['onesize'],"['Give your outfit a Parisienne finish with this chic beret.', 'Soft wool blend finish', 'Slouchy design', 'Loop top detail', '87% Wool, 13% Nylon.', 'Dry clean only.']","['https://media3.newlookassets.com/i/newlook/595536124.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/595536124D1.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/595536124D2.jpg?strip=true&qlt=80&w=1400']",2,womens,1,https://www.newlook.com/uk/womens/accessories/hats/dark-brown-wool-blend-beret-/p/595536124
Dark Green Wool Blend Beret,595536138,£7.49,£9.99,Dark Green,['onesize'],"['Give your outfit a Parisian finish with this chic beret.', 'Soft wool blend finish', 'Slouchy design', 'Loop top detail', '87% Wool, 13% Nylon.']","['https://media3.newlookassets.com/i/newlook/595536138.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/595536138D1.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/595536138D2.jpg?strip=true&qlt=80&w=1400']",2,womens,1,https://www.newlook.com/uk/womens/accessories/hats/dark-green-wool-blend-beret/p/595536138
Dark Green Wool Blend Beret,595536125,£7.49,£9.99,Rust,['onesize'],"['Give your outfit a Parisian finish with this chic beret.', 'Soft wool blend finish', 'Slouchy design', 'Loop top detail', '87% Wool, 13% Nylon.']","['https://media2.newlookassets.com/i/newlook/595536125.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/595536125D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/595536125D2.jpg?strip=true&qlt=80&w=1400']",2,womens,1,https://www.newlook.com/uk/womens/accessories/hats/rust-wool-blend-beret/p/595536125
