产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Rib Knit Beanie Hat,MZZ57663-black,£3.50,£5.00,black,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", '100% Acrylic. Rib Knit Beanie Hat. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz57663_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz57663_black_xl_1']",1,mens,1,https://www.boohoo.com/rib-knit-beanie-hat/MZZ57663.html?color=105
Cable Knit Bobble Beanie,MZZ57652-black,£3.50,£5.00,black,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", '100% Acrylic. Cable Knit Bobble Beanie. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz57652_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz57652_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz57652_black_xl_2']",2,mens,1,https://www.boohoo.com/cable-knit-bobble-beanie/MZZ57652.html?color=105
MAN All Over Knit Beanie,MZZ52853-black,£7.00,£10.00,black,['onesize'],"['Bring your accessories a-game with boohooMAN', ""Add attitude to your look with the latest from our accessories edit. Give a heads up to slogan snapbacks and beanies, layer up in a statement scarf or snood and carry your everyday essentials in a heavy duty backpack. Fashion's finishing touches are all in the accessories."", '100% Acrylic. MAN All Over Knit Beanie. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz52853_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz52853_black_xl_1']",7,mens,1,https://www.boohoo.com/man-all-over-knit-beanie/MZZ52853.html
Chunky Knit Bobble Beanie,MZZ57656-charcoal,£4.20,£6.00,charcoal,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", '100% Acrylic. Chunky Knit Bobble Beanie. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz57656_charcoal_xl', 'https://i1.adis.ws/i/boohooamplience/mzz57656_charcoal_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz57656_charcoal_xl_2']",18,mens,1,https://www.boohoo.com/chunky-knit-bobble-beanie/MZZ57656.html?color=115
3D MAN Script Embroidered Suede Cap,MZZ55777-black,£7.00,£10.00,black,['onesize'],"['Bring your accessories a-game with boohooMAN', ""Add attitude to your look with the latest from our accessories edit. Give a heads up to slogan snapbacks and beanies, layer up in a statement scarf or snood and carry your everyday essentials in a heavy duty backpack. Fashion's finishing touches are all in the accessories."", '100% Polyester. 3D MAN Script Embroidered Suede Cap. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz55777_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz55777_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz55777_black_xl_2', 'https://i1.adis.ws/i/boohooamplience/mzz55777_black_xl_3']",6,mens,1,https://www.boohoo.com/3d-man-script-embroidered-suede-cap/MZZ55777.html?color=105
