产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Deal Strapback,13610260103242,$36,$0,Dark Red,['O/S'],"['Cotton twill 6-panel unstructured strapback', 'Rich logo embroidered on front panels', 'Strapback clamp closure', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_RED_SIDE_960x.jpg?v=1548107864', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_RED_FRONT_960x.jpg?v=1548107864', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_RED_BACK_960x.jpg?v=1548107864']",1,all,1,https://thehundreds.com/collections/dad-hats/products/deal-strapback
Deal Strapback,13610260037706,$36,$0,Black,['O/S'],"['Cotton twill 6-panel unstructured strapback', 'Rich logo embroidered on front panels', 'Strapback clamp closure', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_BLACK_SIDE_960x.jpg?v=1548107864', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_BLACK_FRONT_960x.jpg?v=1548107864', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_BLACK_BACK_960x.jpg?v=1548107864']",1,all,1,https://thehundreds.com/collections/dad-hats/products/deal-strapback
Deal Strapback,13610260070474,$36,$0,Dark Mint,['O/S'],"['Cotton twill 6-panel unstructured strapback', 'Rich logo embroidered on front panels', 'Strapback clamp closure', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_MINT_SIDE_960x.jpg?v=1548107864', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_MINT_FRONT_960x.jpg?v=1548107864', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_MINT_BACK_960x.jpg?v=1548107864']",1,all,1,https://thehundreds.com/collections/dad-hats/products/deal-strapback
Locust Snapback,12401189716042,$39,$0,Black,['O/S'],"['Acrylic wool 5-panel New Era snapback', 'The Hundreds Bar logo embroidered on front panel', 'Cut n sewn panels sewn on panel', 'New Era logo embroidered on wearer’s left', 'Snapback closure with Solid Bomb woven label on back left side', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T18F106024_BLACK_SB_SIDE_960x.jpg?v=1533092222', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18F106024_BLACK_SB_FRONT_960x.jpg?v=1533092222']",6,all,2,https://thehundreds.com/collections/snapbacks/products/locust-snapback
Senior Snapback,13610259906634,$34,$0,Mustard,['O/S'],"['Acrylic wool 6-panel structured', 'Small Adam Bomb embroidered on front panels', 'Snapback closure with Solid Bomb woven label on back left side', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106029_MUSTARD_SIDE_960x.jpg?v=1548108199', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106029_MUSTARD_FRONT_960x.jpg?v=1548108199', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106029_MUSTARD_BACK_960x.jpg?v=1548108199']",3,all,2,https://thehundreds.com/collections/snapbacks/products/senior-snapback
