产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Kith Kids Camper Hat,KHK5015-102,$35.00,$0,Navy,['OS'],"['5 panel camper hat', 'Cotton twill fabric', 'Embroidered Kith logo on front', 'Polyester webbing with center push buckle', 'Kids fit', 'Style: KHK5015-102', 'Color: Navy', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/CFC235B7-8C0B-4C97-8864-082DEB03FA88_2048x.jpeg?v=1544376503', 'https://cdn.shopify.com/s/files/1/0094/2252/products/EE6FF79E-C585-49B4-B85D-217BE2036870_2048x.jpeg?v=1544376506', 'https://cdn.shopify.com/s/files/1/0094/2252/products/6BEF483E-4E61-41A8-B4AD-AC75F0292098_2048x.jpeg?v=1544376513']",1,kids,2,https://kith.com/collections/kids-accessories/products/kids-camper-hat-navy
Kith x Versace Monogram Cap,VSICAP004-IT03395-I7,$325.00,$0,Black / White,['OS'],"['Cotton fabric', '6-panel construction', 'Metallic Gold printed cap', 'Kith and Versace Medusa logo botton on top', 'Greek-key design on strapback', 'Style:VSICAP004-IT03395-I7', 'Color:Black / White', 'Material:Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_5244_05b15653-ee0c-4d21-9cab-88e14361f32b_2048x.jpg?v=1550243627', 'https://cdn.shopify.com/s/files/1/0094/2252/products/Shot10_036_2048x.jpg?v=1550243627', 'https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_5245_7c2af0fc-42ca-4d9c-bd55-2f6e86a6bbcd_2048x.jpg?v=1550243627', 'https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_5246_9a3f3d4c-d32a-490d-b67a-b53217eb88a6_2048x.jpg?v=1550243627', 'https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_5249_cd68b8ca-585c-4dbf-adf7-7874be021a39_2048x.jpg?v=1550243627']",1,mens,1,https://kith.com/collections/mens-accessories-hats/products/vsicap004-it03395-i7
Heron Preston x Carhartt Beanie,HMLC002F187200351096,$256.00,$0,Black Crystal,['OS'],"['Cotton fabric', 'Ribbed beanie', 'Carhartt and Heron Preston patch on front', 'Style:HMLC002F187200351096', 'Color:Black Crystal', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/prestoncarhart-31_2048x.jpg?v=1545166275', 'https://cdn.shopify.com/s/files/1/0094/2252/products/prestoncarhart-30_2048x.jpg?v=1545166275', 'https://cdn.shopify.com/s/files/1/0094/2252/products/prestoncarhart-33_2048x.jpg?v=1545166275']",9,mens,1,https://kith.com/collections/mens-accessories-hats/products/hp-x-carhartt-beanie-black-crystal
Kith Kids Camper Hat,KHK5015-214,$35.00,$0,Tiger Camo,['OS'],"['5 panel camper hat', 'Cotton twill fabric', 'Embroidered Kith logo on front', 'Polyester webbing with center push buckle', 'Kids fit', 'Style: KHK5015-214', 'Color: Tiger Camo', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/BF5AFF8D-B339-4167-9C2D-5BB084A1B2DA_2048x.jpeg?v=1544376553', 'https://cdn.shopify.com/s/files/1/0094/2252/products/B86EB585-B371-4696-908B-F7F99973B086_2048x.jpeg?v=1544376553', 'https://cdn.shopify.com/s/files/1/0094/2252/products/190BB03B-D412-4E5C-B568-02A9190B000C_2048x.jpeg?v=1544376553']",3,kids,2,https://kith.com/collections/kids-accessories/products/kids-camper-hat-tiger-camo
