产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
South Beach natural straw extra wide brim floppy wired hat,11429551,¥126.12,¥0,natural,"['xl', 'l']","['Goes great with your holiday', 'Domed crown', 'Wide-cut wired brim', 'Main: 100% Paper Straw.']","['https:https://images.asos-media.com/products/south-beach-natural-straw-extra-wide-brim-floppy-wired-hat/11429551-1-natural?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/south-beach-natural-straw-extra-wide-brim-floppy-wired-hat/11429551-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/south-beach-natural-straw-extra-wide-brim-floppy-wired-hat/11429551-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/south-beach-natural-straw-extra-wide-brim-floppy-wired-hat/11429551-4?$XXL$&wid=870&fit=constrain']",1,women,1,https://www.asos.com/south-beach/south-beach-natural-straw-extra-wide-brim-floppy-wired-hat/prd/11429551?clr=natural
South Beach straw boater hat with black ribbon,11429544,¥90.09,¥0,dark-natural,"['xl', 'l']","['Upgrade your outfit', 'Flat top', 'Wide brim', 'Contrast trim', 'Woven straw', 'Some fabrics just scream summer', 'Main: 100% Straw.']","['https:https://images.asos-media.com/products/south-beach-straw-boater-hat-with-black-ribbon/11429544-1-darknatural?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/south-beach-straw-boater-hat-with-black-ribbon/11429544-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/south-beach-straw-boater-hat-with-black-ribbon/11429544-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/south-beach-straw-boater-hat-with-black-ribbon/11429544-4?$XXL$&wid=870&fit=constrain']",2,women,1,https://www.asos.com/south-beach/south-beach-straw-boater-hat-with-black-ribbon/prd/11429544?clr=dark-natural
Jack Wills Enfield cap with embroidered logo in denim,11789574,¥152.70,¥0,denim,"['xl', 'l']","['Tops things off nicely', 'Panelled crown', 'Eyelet vents', 'Curved peak', 'Adjustable back strap fastening', 'Non-stretch denim', 'Thick, structured cotton', 'Main: 100% Cotton.']","['https:https://images.asos-media.com/products/jack-wills-enfield-cap-with-embroidered-logo-in-denim/11789574-1-denim?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/jack-wills-enfield-cap-with-embroidered-logo-in-denim/11789574-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/jack-wills-enfield-cap-with-embroidered-logo-in-denim/11789574-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/jack-wills-enfield-cap-with-embroidered-logo-in-denim/11789574-4?$XXL$&wid=870&fit=constrain']",11,women,1,https://www.asos.com/jack-wills/jack-wills-enfield-cap-with-embroidered-logo-in-denim/prd/11789574?clr=denim
Miss Selfridge sun hat with contrast underlay in nude,11721664,¥162.16,¥0,beige,"['xl', 'l']","[""For that holiday you haven't booked yet"", 'Domed crown', 'Two-tone design', 'Wide brim', 'Main: 100% Polyamide, Trim: 100% Polyester.']","['https:https://images.asos-media.com/products/miss-selfridge-sun-hat-with-contrast-underlay-in-nude/11721664-1-beige?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/miss-selfridge-sun-hat-with-contrast-underlay-in-nude/11721664-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/miss-selfridge-sun-hat-with-contrast-underlay-in-nude/11721664-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/miss-selfridge-sun-hat-with-contrast-underlay-in-nude/11721664-4?$XXL$&wid=870&fit=constrain']",12,women,1,https://www.asos.com/miss-selfridge/miss-selfridge-sun-hat-with-contrast-underlay-in-nude/prd/11721664?clr=beige
