产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Whaler Cap | Sprout,1119-0746-OS,$14.99,$0,Woodland Camo,['all'],"['100% polyester crown', 'Mesh ventilation panels', 'Cotton twill pre-curved brim and integrated sweat band', 'Plastic snapback', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Screen printed classic logo']","['https://herschel.com/content/dam/herschel/products/1119/1119-0746-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0746-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0746-OS_03.jpg']",33,mens,3,https://herschel.com/shop/headwear/whaler-cap-sprout?v=1119-0746-OS
Whaler Cap | Sprout,1119-0808-OS,$14.99,$0,Pink Lady/White,['all'],"['100% polyester crown', 'Mesh ventilation panels', 'Cotton twill pre-curved brim and integrated sweat band', 'Plastic snapback', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Screen printed classic logo']","['https://herschel.com/content/dam/herschel/products/1119/1119-0808-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0808-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0808-OS_03.jpg']",33,mens,3,https://herschel.com/shop/headwear/whaler-cap-sprout?v=1119-0808-OS
Whaler Cap | Sprout,1119-0686-OS,$14.99,$0,Ash Rose,['all'],"['100% polyester crown', 'Mesh ventilation panels', 'Cotton twill pre-curved brim and integrated sweat band', 'Plastic snapback', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Screen printed classic logo']","['https://herschel.com/content/dam/herschel/products/1119/1119-0686-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0686-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0686-OS_03.jpg']",33,mens,3,https://herschel.com/shop/headwear/whaler-cap-sprout?v=1119-0686-OS
Scope Cap,1080-0605-OS,$29.99,$0,Aegean Blue,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Custom Herschel Supply Co. embroidered felt patch']","['https://herschel.com/content/dam/herschel/products/1080/1080-0605-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0605-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0605-OS_03.jpg']",1,mens,3,https://herschel.com/shop/headwear/scope-cap?v=1080-0605-OS
Whaler Cap | Sprout,1119-0810-OS,$14.99,$0,Navy/Red,['all'],"['100% polyester crown', 'Mesh ventilation panels', 'Cotton twill pre-curved brim and integrated sweat band', 'Plastic snapback', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Screen printed classic logo']","['https://herschel.com/content/dam/herschel/products/1119/1119-0810-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0810-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0810-OS_03.jpg']",33,mens,3,https://herschel.com/shop/headwear/whaler-cap-sprout?v=1119-0810-OS
Glendale Cap | Youth,1033-0655-OS,$24.99,$0,Peach/Brick Red,['all'],"['100% cotton', 'Nylon webbing stretch-fit strap with plastic clip', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Classic woven label']","['https://herschel.com/content/dam/herschel/products/1033/1033-0655-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1033/1033-0655-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1033/1033-0655-OS_03.jpg']",32,mens,3,https://herschel.com/shop/headwear/glendale-cap-youth?v=1033-0655-OS
Austin Cap,1110-0348-OS,$29.99,$0,Heathered Grey,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Herschel 3D embroidery']","['https://herschel.com/content/dam/herschel/products/1110/1110-0348-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1110/1110-0348-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1110/1110-0348-OS_03.jpg']",30,mens,3,https://herschel.com/shop/headwear/austin-cap?v=1110-0348-OS
Austin Cap,1110-0007-OS,$29.99,$0,Faded Khaki,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Herschel 3D embroidery']","['https://herschel.com/content/dam/herschel/products/1110/1110-0007-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1110/1110-0007-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1110/1110-0007-OS_03.jpg']",30,mens,3,https://herschel.com/shop/headwear/austin-cap?v=1110-0007-OS
Austin Cap,1110-0004-OS,$29.99,$0,Navy,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Herschel 3D embroidery']","['https://herschel.com/content/dam/herschel/products/1110/1110-0004-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1110/1110-0004-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1110/1110-0004-OS_03.jpg']",30,mens,3,https://herschel.com/shop/headwear/austin-cap?v=1110-0004-OS
Oliver Cap,1095-0713-OS,$29.99,$0,Peacoat,['all'],"['100% nylon', 'Nylon webbing stretch-fit strap with plastic clip fastener', 'Stitched eyelets', 'Peacoat and white striped front panel liner', 'Contrast internal seam details', 'Engineered striped rear tab', 'Herschel Supply Co. screen print']","['https://herschel.com/content/dam/herschel/products/1095/1095-0713-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1095/1095-0713-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1095/1095-0713-OS_03.jpg']",34,mens,3,https://herschel.com/shop/headwear/oliver-cap?v=1095-0713-OS
