产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Station Hat,Style #2224-MOS,$27.00,$36.00,Moss,['onesize'],"['Unstructured six panel mid-profile design', 'Adjustable strap back and clip closure', 'Bedford corduroy exterior with contrast bottom visor', 'Debossed leather patch on crown', 'Woven label on back', 'Embroidered eyelet vents', 'Printed interior taped seams', '100% cotton']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/station-hat-moss-2224-MOS-0.jpg-556f/5943a240b5b5cc5d61bec1f9945b96ed.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/station-hat-moss-2224-MOS-1.jpg-24e1/4fd553ee233631ecded96a96c64965ca.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/station-hat-moss-2224-MOS-2.jpg-24c4/114a567a2775488de26fec0a95bf5c2b.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/station-hat-moss-2224-MOS-3.jpg-2958/c59afc619b58d3444dcde837fb2beca6.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/station-hat-moss-2224-MOS-4.jpg-82ff/011be60f53e4f5f9a2954f12dd4fa7b0.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/station-hat-moss-2224-MOS-5.jpg-4752/df4ce2eb2494a93e87f5ee2c93dff925.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/station-hat-moss-2224-MOS-6.jpg-3e3f/f4bcdee4d9233dc6b04c780e09651864.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/station-hat-moss-1-d2fb/dca512e6edd0eb63fe7f526ed6c7bc06.jpg']",31,all,1,https://www.hippytree.com/shop/hats/station-hat/moss/
Preserve Hat,Style #2365-ARM,$36.00,$0,Army,['onesize'],"['Unstructured six panel mid-profile design', 'Heavy weight brushed twill exterior', 'Adjustable strap back with clip closure', 'Debossed leather patch on crown', 'Woven label on back', 'Embroidered eyelet vents', 'Printed interior taped seams', '100% cotton']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-army-1-5353/e3ff59655ad33078f44563a493ba0aae.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-army-2-33df/ef16cbfa6ee0b59ca83e8de8427ca962.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-army-3-5e75/2ff3c3e315ad6c983f2d805acc019bc2.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-army-4-ec60/fd5a7b1c1ed8d5477e2df41cfb0e4cbc.jpg']",24,all,1,https://www.hippytree.com/shop/hats/preserve-hat/army/
Peaks Hat,Style #2367-ORN,$36.00,$0,Orange,['onesize'],"['Five panel mid-profile design with flex visor', 'Eco twill exterior', 'Adjustable strap back with clip closure', 'Printed twill patch on crown', 'Woven label on back', 'Embroidered eyelet vents', 'Custom braid', 'Printed interior taped seams', '65% recycled polyester, 35% organic cotton']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-orange-1-aa39/d481594765e84cc53fb2ffddf03a21af.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-orange-2-7f21/407c6b8639aa770e6b453670ca6d72fe.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-orange-3-359e/9fc29784c6a4a364204c510586062c4f.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-orange-4-8d2c/c4f7a4de771737a59d39af0b8be9d89e.jpg']",27,all,1,https://www.hippytree.com/shop/hats/peaks-hat/orange/
Peaks Hat,Style #2367-NVY,$36.00,$0,Navy,['onesize'],"['Five panel mid-profile design with flex visor', 'Eco twill exterior', 'Adjustable strap back with clip closure', 'Printed twill patch on crown', 'Woven label on back', 'Embroidered eyelet vents', 'Custom braid', 'Printed interior taped seams', '65% recycled polyester, 35% organic cotton']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-navy-1-43e5/1064d03b6a1be4646f9289b881a678b2.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-navy-2-91d4/345beebfee0378dd16a83f38865a1cd3.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-navy-3-6104/31e9bb45cbf547978be6f5a03d393721.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-navy-4-2a01/8552147c2989c527d4c09a7f60a6868e.jpg']",26,all,1,https://www.hippytree.com/shop/hats/peaks-hat/navy/
Npc Trucker Hat,Style #2412-TAN,$24.00,$0,Tan,['onesize'],"['Five panel mid-profile design with mesh back', 'Adjustable snap back', 'Printed crown with foam lining', 'Woven label on back', 'Printed interior taped seams', '100% polyester']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/npc-trucker-hat-tan-1-f933/a59a2ab3f12133d5a9bd0dc133d51576.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/npc-trucker-hat-tan-2-bc6d/6ceadaef8fea2cae1e91a9103f760fe2.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/npc-trucker-hat-tan-3-e272/76af2d09530ee7eb58ee72b8b0e66dcc.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/npc-trucker-hat-tan-4-0f91/f3756ea081e2c012d88f7ecbba428abd.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/npc-trucker-hat-tan-5-8ed2/926527b2c7b749b1d68c963ce664ac2c.jpg']",30,all,1,https://www.hippytree.com/shop/new-arrivals/npc-trucker-hat/tan/
Alaska Hat,Style #2349-BLK,$30.00,$0,Black,['onesize'],"[""Part of HippyTree's Nature Photography Collective"", 'Featuring photography by Chris Burkard. View more of his work on Instagram (@chrisburkard)', 'Five panel mid-profile design with mesh back', 'Adjustable snap back', 'Sublimated photo print on crown', 'Debossed leather label on crown', 'Woven label on back', 'Printed interior taped seams', '50% organic cotton, 50% polyester']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/alaska-hat-black-1-9e0f/57ad55f1b3502c737b7d5a99ed808c19.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/alaska-hat-black-2-0564/7d22542ea707d3500855f82142e8c9d4.jpg']",28,all,1,https://www.hippytree.com/shop/nature-photography-collective/alaska-hat/black/
Mountainside Hat,Style #2369-MIL,$32.00,$0,Military,['onesize'],"['Six panel mid-profile design with curved visor', 'Adjustable snap back', 'Cotton canvas exterior with mesh back', 'Printed twill patch on crown', 'Woven label on back', 'Printed interior taped seams', '70% cotton, 30% polyester']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/mountainside-hat-military-1-7d84/f8c48d70f2d691a240536fab956ad03e.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/mountainside-hat-military-2-c854/f99491df74287395aef975aeab141158.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/mountainside-hat-military-3-94e9/7e0481582b2bf45c16d6f8d2a1767131.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/mountainside-hat-military-4-b464/37db3887e7210b8fea6b9ea3ae902397.jpg']",22,all,1,https://www.hippytree.com/shop/hats/mountainside-hat/military/
Southeast Hat,Style #2354-BLK,$30.00,$0,Black,['onesize'],"[""Part of HippyTree's Nature Photography Collective"", 'Five panel mid-profile design with mesh back', 'Adjustable snap back', 'Sublimated photo print on crown', 'Debossed leather label on crown', 'Woven label on back', 'Printed interior taped seams', '50% organic cotton, 50% polyester']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/southeast-hat-black-1-b1b6/49f0460b77c4003bbefb2d17c6880b50.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/southeast-hat-black-2-d2dd/06276e159302b1f58ef1f030326eeaa2.jpg']",29,all,1,https://www.hippytree.com/shop/nature-photography-collective/southeast-hat/black/
Flint Beanie,Style #2361-ASP,$28.00,$0,Asphalt,['onesize'],"['Fold-over knit beanie', 'Yarn dyed stripes', 'Two-tone twisted yarn headband', 'Woven label on headband', '100% acrylic']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/flint-beanie-asphalt-1-795a/063d1692fa4047b0ea50e7c5013979db.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/flint-beanie-asphalt-2-b4cc/c0ad0cdda730c5edd89aa45479e4e62e.jpg']",20,all,1,https://www.hippytree.com/shop/hats/flint-beanie/asphalt/
