产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Bucket hat,0757959001,£18,£0,Golden beige ,"['S/54', 'M/56', 'L/58']","['A corduroy bucket hat. Cos we get it your full corduroy fit needs to be completed with this.', 'Monki cares', 'Better Cotton Initiative', 'Thanks for supporting responsibly grown cotton, together with Monki.', 'Read more about our partnership <a href=""https:\\/\\/bettercotton.org\\/what-does-our-logo-mean\\/"">here<\\/a>.']","['https://lp.monki.com/app002prod?set=source[02_0757959_001_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0757959_001_991],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]']",1,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.bucket-hat-yellow.0757959001.html"
Classic beret,0559910002,£8,£0,black magic,['ONESIZE'],"['This classic wool beret will add a touch of je ne sais quoi to any outfit. Looks great in black and white, preferably with subtitles. colour: black magic']","['https://lp.monki.com/app002prod?set=source[02_0559910_002_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[1]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0559910_002_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0559910_002_991],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018082]&call=url[file:/product/main]']",6,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beret-black.0559910002.html"
Classic beret,0559910014,£8,£0,Feeling blue,['ONESIZE'],"[""This classic wool blend beret will add a touch of je ne sais quoi to any outfit. We're sooo ready to stroll the streets of Paris in this darling &lt;3 Fab blue shade.""]","['https://lp.monki.com/app002prod?set=source[02_0559910_014_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0559910_014_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0559910_014_991],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]']",6,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beret-blue.0559910014.html"
Classic beret,0559910011,£8,£0,Sunflowers at dusk,['ONESIZE'],"[""This classic wool blend beret will add a touch of je ne sais quoi to any outfit. We're sooo ready to stroll the streets of Paris in this darling &lt;3This style is online exclusive.""]","['https://lp.monki.com/app002prod?set=source[02_0559910_011_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0559910_011_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0559910_011_991],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0559910_011_992],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",6,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beret-yellow.0559910011.html"
Classic beret,0559910008,£8,£0,Soft concrete grey,['ONESIZE'],"[""This classic wool blend beret will add a touch of je ne sais quoi to any outfit. We're sooo ready to stroll the streets of Paris in this darling &lt;3 This style is online exclusive.""]","['https://lp.monki.com/app002prod?set=source[02_0559910_008_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",6,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beret-grey.0559910008.html"
Denim bucket hat,0705047014,£15,£0,Mid blue,"['S/54', 'M/56', 'L/58']","['A denim bucket hat in a washed mid blue shade with a wide, sloping brim, classic seam detailing and a sturdy feel &lt;3 Go get it gurl!', 'Better Cotton Initiative', 'Thanks for supporting responsibly grown cotton, together with Monki.', 'Read more about our partnership <a href=""http:\\/\\/bettercotton.org\\/"">here<\\/a>.']","['https://lp.monki.com/app002prod?set=source[02_0705047_014_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0705047_014_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019093]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0705047_014_991],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0705047_014_993],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]']",4,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.bucket-hat-blue.0705047014.html"
Classic beret,0559910005,£8,£0,Blush pink,['ONESIZE'],"[""This classic wool blend beret will add a touch of je ne sais quoi to any outfit. We're sooo ready to stroll the streets of Paris in this darling &lt;3 Fab pink shade.""]","['https://lp.monki.com/app002prod?set=source[02_0559910_005_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0559910_005_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0559910_005_991],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",6,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beret-orange.0559910005.html"
Bucket hat,0705047015,£15,£0,Leopard print,"['S/54', 'M/56', 'L/58']",['A leopard print bucket hat. Cos you know we love to take a walk on the wild side.'],"['https://lp.monki.com/app002prod?set=source[02_0705047_015_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0705047_015_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]']",4,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.bucket-hat-beige.0705047015.html"
Embroidered rainbow hat,0705047013,£15,£0,Barely beige,"['S/54', 'M/56', 'L/58']","['A beige bucket hat with a wide, sloping brim, classic seam detailing and an embroidered rainbow &lt;3 Go get it gurl!', 'Better Cotton Initiative', 'Thanks for supporting responsibly grown cotton, together with Monki.', 'Read more about our partnership <a href=""http:\\/\\/bettercotton.org\\/"">here<\\/a>.']","['https://lp.monki.com/app002prod?set=source[02_0705047_013_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2019091]&call=url[file:/product/main]']",4,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.bucket-hat-beige.0705047013.html"
