goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
"Champion Life® Classic Twill Hat, Script Logo",H0543-Amaranth,$25.00,$0,Amaranth,[],[],"['https://hanes.scene7.com/is/image/Hanesbrands/HNS_H0543_Amaranth?defaultImage=Hanesbrands/HNS_H0543_Amaranth&layer=comp&fit=constrain,1&wid=852&hei=1080&fmt=jpg&resmode=sharp2&op_sharpen=1']",3,men,1,https://www.champion.com/shop/champion/champion-life-twill-hat-h0543?categoryId=72557&colorPref=Amaranth
"Champion Life® Classic Twill Hat, Script Logo",H0543-GroovyPapaya,$25.00,$0,GroovyPapaya,[],[],"['https://hanes.scene7.com/is/image/Hanesbrands/HNS_H0543_GroovyPapaya?defaultImage=Hanesbrands/HNS_H0543_GroovyPapaya&layer=comp&fit=constrain,1&wid=852&hei=1080&fmt=jpg&resmode=sharp2&op_sharpen=1']",3,men,1,https://www.champion.com/shop/champion/champion-life-twill-hat-h0543?categoryId=72557&colorPref=GroovyPapaya
Champion Life® Terry Wristband,H0712A-ImperialIndigo,$10.00,$0,ImperialIndigo,[' ONE SIZE'],"[""Sweat's not a problem with our essential Terry Wristband."", 'Soft terry cotton band with plenty of stretch for a perfect fit.', 'Two-color embroidered Champion logo and big C logo.', 'One size fits most.', 'Imported', 'Body: 100% Cotton']","['https://hanes.scene7.com/is/image/Hanesbrands/HNS_H0712A_ImperialIndigo?defaultImage=Hanesbrands/HNS_H0712A_ImperialIndigo&layer=comp&fit=constrain,1&wid=852&hei=1080&fmt=jpg&resmode=sharp2&op_sharpen=1']",1,men,1,https://www.champion.com/shop/champion/to-follow-h0712a-1?categoryId=72557&colorPref=ImperialIndigo
"Champion Century Collection Classic Twill Hat, Chenille Logo",H1049-Black,$30.00,$0,Black,[' ONE SIZE'],"[""Century Classic Twill Hat celebrates Champion's 100-year heritage."", 'Special edition chenille C100 applique across the front.', 'Classic curved bill with six panel construction.', 'Faux leather strap back adjusts the fit.', 'Soft inner sweatband and logo taping inside.', 'Chenille C100 3-inch applique.', '100% Cotton twill', 'Imported']","['https://hanes.scene7.com/is/image/Hanesbrands/HNS_H1049_Black?defaultImage=Hanesbrands/HNS_H1049_Black&layer=comp&fit=constrain,1&wid=852&hei=1080&fmt=jpg&resmode=sharp2&op_sharpen=1']",2,men,1,https://www.champion.com/shop/champion/champion-century-collection-classic-twill-hat-chenille-logo?categoryId=72557&colorPref=Black
"Champion Century Collection Classic Twill Hat, Chenille Logo",H1049-Scarlet,$30.00,$0,Scarlet,[' ONE SIZE'],"[""Century Classic Twill Hat celebrates Champion's 100-year heritage."", 'Special edition chenille C100 applique across the front.', 'Classic curved bill with six panel construction.', 'Faux leather strap back adjusts the fit.', 'Soft inner sweatband and logo taping inside.', 'Chenille C100 3-inch applique.', '100% Cotton twill', 'Imported']","['https://hanes.scene7.com/is/image/Hanesbrands/HNS_H1049_Scarlet?defaultImage=Hanesbrands/HNS_H1049_Scarlet&layer=comp&fit=constrain,1&wid=852&hei=1080&fmt=jpg&resmode=sharp2&op_sharpen=1']",2,men,1,https://www.champion.com/shop/champion/champion-century-collection-classic-twill-hat-chenille-logo?categoryId=72557&colorPref=Scarlet
"Champion Century Collection Classic Twill Hat, Chenille Logo",H1049-SurfTheWeb,$30.00,$0,SurfTheWeb,[' ONE SIZE'],"[""Century Classic Twill Hat celebrates Champion's 100-year heritage."", 'Special edition chenille C100 applique across the front.', 'Classic curved bill with six panel construction.', 'Faux leather strap back adjusts the fit.', 'Soft inner sweatband and logo taping inside.', 'Chenille C100 3-inch applique.', '100% Cotton twill', 'Imported']","['https://hanes.scene7.com/is/image/Hanesbrands/HNS_H1049_SurfTheWeb?defaultImage=Hanesbrands/HNS_H1049_SurfTheWeb&layer=comp&fit=constrain,1&wid=852&hei=1080&fmt=jpg&resmode=sharp2&op_sharpen=1']",2,men,1,https://www.champion.com/shop/champion/champion-century-collection-classic-twill-hat-chenille-logo?categoryId=72557&colorPref=SurfTheWeb
Champion Life Twill Mesh Dad Cap,H0542-EucalyptusGreenWhiteBlack,$30.00,$0,EucalyptusGreenWhiteBlack,[],[],"['https://hanes.scene7.com/is/image/Hanesbrands/HNS_H0542_EucalyptusGreenWhiteBlack?defaultImage=Hanesbrands/HNS_H0542_EucalyptusGreenWhiteBlack&layer=comp&fit=constrain,1&wid=852&hei=1080&fmt=jpg&resmode=sharp2&op_sharpen=1']",5,men,1,https://www.champion.com/shop/champion/champion-life-twill-mesh-dad-cap-h0542?categoryId=72557&colorPref=EucalyptusGreenWhiteBlack
"Champion Century Collection Classic Twill Hat, Chenille Logo",H1049-GroovyPapaya,$30.00,$0,GroovyPapaya,[' ONE SIZE'],"[""Century Classic Twill Hat celebrates Champion's 100-year heritage."", 'Special edition chenille C100 applique across the front.', 'Classic curved bill with six panel construction.', 'Faux leather strap back adjusts the fit.', 'Soft inner sweatband and logo taping inside.', 'Chenille C100 3-inch applique.', '100% Cotton twill', 'Imported']","['https://hanes.scene7.com/is/image/Hanesbrands/HNS_H1049_GroovyPapaya?defaultImage=Hanesbrands/HNS_H1049_GroovyPapaya&layer=comp&fit=constrain,1&wid=852&hei=1080&fmt=jpg&resmode=sharp2&op_sharpen=1']",2,men,1,https://www.champion.com/shop/champion/champion-century-collection-classic-twill-hat-chenille-logo?categoryId=72557&colorPref=GroovyPapaya
"Champion Century Collection Classic Twill Hat, Chenille Logo",H1049-White,$30.00,$0,White,[' ONE SIZE'],"[""Century Classic Twill Hat celebrates Champion's 100-year heritage."", 'Special edition chenille C100 applique across the front.', 'Classic curved bill with six panel construction.', 'Faux leather strap back adjusts the fit.', 'Soft inner sweatband and logo taping inside.', 'Chenille C100 3-inch applique.', '100% Cotton twill', 'Imported']","['https://hanes.scene7.com/is/image/Hanesbrands/HNS_H1049_White?defaultImage=Hanesbrands/HNS_H1049_White&layer=comp&fit=constrain,1&wid=852&hei=1080&fmt=jpg&resmode=sharp2&op_sharpen=1']",2,men,1,https://www.champion.com/shop/champion/champion-century-collection-classic-twill-hat-chenille-logo?categoryId=72557&colorPref=White
Champion Life Twill Mesh Dad Cap,H0542-SurfTheWebWhite,$30.00,$0,SurfTheWebWhite,[' ONE SIZE'],"['Cool off game day or any day with our classic Twill and Mesh Dad Cap.', 'Authentic big &quot C"" logo applique front and center.', 'Cap has cotton front panels with polyester mesh back.', 'Adjustable snapback closure for fit flexibility.', 'Curved bill styling with lined sweatband for next-to-skin comfort.', 'Sewn eyelets add cooling ventilation.', 'One size fits most.', 'Imported', 'Front two panels, upper visor, button cover & sweatband: 100% Cotton; back four panels & undervisor: 100% polyester']","['https://hanes.scene7.com/is/image/Hanesbrands/HNS_H0542_SurfTheWebWhite?defaultImage=Hanesbrands/HNS_H0542_SurfTheWebWhite&layer=comp&fit=constrain,1&wid=852&hei=1080&fmt=jpg&resmode=sharp2&op_sharpen=1']",5,men,1,https://www.champion.com/shop/champion/champion-life-twill-mesh-dad-cap-h0542?categoryId=72557&colorPref=SurfTheWebWhite
