goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
LIG Mountains Chill Cap,53349-OS,$22.00,$0,Darkest Blue,['One Size'],"[""Some hats you wear more than others - this is one of those hats. With artwork on the front in various applications, this is one you'll keep coming back to."", '100% Cotton Twill', 'Fabric and garment washed for softness', 'Six Panel with unstructured low-mid crown and six rows of stitching', 'Life is Good label on the back', 'Adjustable back closure with snap', 'Embroidered graphic']","['https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Mountains-Chill-Cap_53349_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Mountains-Chill-Cap_53349_2_lg.png']",1,hats,1,https://www.lifeisgood.com/hats/lig-mountains-chill-cap-53349.html?dwvar_53349_color=DRKSB&cgid=mens-headwear
Chenille Star Chill Cap,55664-OS,$22.00,$0,Slate Gray,['One Size'],"['Some hats you wear more than others; this is one of those hats. With artwork on the front in various applications, this is one you´ll keep coming back to.', 'Fabric and garment washed for softness', 'Six Panel with unstructured low-mid crown and six rows of stitching', 'Life is Good label on back and hidden interior message', 'Adjustable back closure with snap and embroidered graphics', 'Terry loop star']","['https://d3o2e4jr3mxnm3.cloudfront.net/Chenille-Star-Chill-Cap_55664_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Chenille-Star-Chill-Cap_55664_2_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Chenille-Star-Chill-Cap_55664_3_lg.png']",21,hats,1,https://www.lifeisgood.com/hats/chenille-star-chill-cap-55664.html?dwvar_55664_color=04518&cgid=mens-headwear
Denim Star Tattered Chill Cap,55739-OS,$24.00,$0,Night Black,['One Size'],"['Some hats you wear more than others; this is one of those hats. With an embroidered tattered graphic on the front, this is one you´ll keep coming back to.', 'Fabric and garment washed for softness', 'Six panel unstructured low-mid crown with six rows of stitching on brim', 'Life is Good label on back and hidden interior message', 'Adjustable back closure with snap and tattered graphics', 'Tattered denim patch']","['https://d3o2e4jr3mxnm3.cloudfront.net/Denim-Star-Tattered-Chill-Cap_55739_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Denim-Star-Tattered-Chill-Cap_55739_2_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Denim-Star-Tattered-Chill-Cap_55739_3_lg.png']",19,hats,1,https://www.lifeisgood.com/hats/denim-star-tattered-chill-cap-55739.html?dwvar_55739_color=BK001&cgid=mens-headwear
Flag Patch Chill Cap,55676-OS,$22.00,$0,Fatigue Green,['One Size'],"['Some hats you wear more than others; this is one of those hats. With artwork on the front in various applications, this is one you´ll keep coming back to.', 'Fabric and garment washed for softness', 'Six Panel with unstructured low-mid crown and six rows of stitching', 'Life is Good label on back and hidden interior message', 'Adjustable back closure with snap and embroidered graphics', 'Embroidered artwork']","['https://d3o2e4jr3mxnm3.cloudfront.net/Flag-Patch-Chill-Cap_55676_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Flag-Patch-Chill-Cap_55676_2_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Flag-Patch-Chill-Cap_55676_3_lg.png']",22,hats,1,https://www.lifeisgood.com/hats/flag-patch-chill-cap-55676.html?dwvar_55676_color=GR002&cgid=mens-headwear
Outdoors Oars Sunwashed Chill Cap,55633-OS,$26.00,$0,Bone,['One Size'],"['Sunwashed for a naturally faded look, this laid-back style has endless summers ahead of it, with intentional discoloration and grinding at the brim and seams.', 'Sunwashed for intentional discoloration and faded appearance', 'Grinding gives a worn look on the bill and at the seams', 'Heavy top stitching, Life is Good label in the back and hidden interior message', 'Six panel unstructured low-mid crown and four rows of stitching on brim and embroidered graphics', 'Embroidered artwork']","['https://d3o2e4jr3mxnm3.cloudfront.net/Outdoors-Oars-Sunwashed-Chill-Cap_55633_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Outdoors-Oars-Sunwashed-Chill-Cap_55633_2_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Outdoors-Oars-Sunwashed-Chill-Cap_55633_3_lg.png']",18,hats,1,https://www.lifeisgood.com/hats/outdoors-oars-sunwashed-chill-cap-55633.html?dwvar_55633_color=BONE&cgid=mens-headwear
LIG Coin Vintage Chill Cap,57942-OS,$22.00,$0,Darkest Blue,['One Size'],"['Some hats you wear more than others; this is one of those hats. With vintage artwork on the front in various applications, this is one you´ll keep coming back to.', 'Fabric and garment washed for softness', 'Six panel with unstructured low-mid crown and six rows of stitching', 'Life is Good label on the back and adjustable back closure with snap', 'Patch graphic on the front']","['https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Coin-Vintage-Chill-Cap_57942_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Coin-Vintage-Chill-Cap_57942_2_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Coin-Vintage-Chill-Cap_57942_3_lg.png']",24,hats,1,https://www.lifeisgood.com/hats/lig-coin-vintage-chill-cap-57942.html?dwvar_57942_color=DRKSB&cgid=mens-headwear
LIG Peaks Chill Cap,55680-OS,$22.00,$0,Darkest Blue,['One Size'],"['Some hats you wear more than others; this is one of those hats. With artwork on the front in various applications, this is one you´ll keep coming back to.', 'Fabric and garment washed for softness', 'Six Panel with unstructured low-mid crown and six rows of stitching', 'Life is Good label on back and hidden interior message', 'Adjustable back closure with snap and embroidered graphics', 'Embroidered artwork']","['https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Peaks-Chill-Cap_55680_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Peaks-Chill-Cap_55680_2_lg.png']",25,hats,1,https://www.lifeisgood.com/hats/lig-peaks-chill-cap-55680.html?dwvar_55680_color=DRKSB&cgid=mens-headwear
LIG Coin Vintage Chill Cap,57943-OS,$22.00,$0,Happy Grape,['One Size'],"['Some hats you wear more than others; this is one of those hats. With vintage artwork on the front in various applications, this is one you´ll keep coming back to.', 'Fabric and garment washed for softness', 'Six panel with unstructured low-mid crown and six rows of stitching', 'Life is Good label on the back and adjustable back closure with snap', 'Patch graphic on the front']","['https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Coin-Vintage-Chill-Cap_57943_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Coin-Vintage-Chill-Cap_57943_2_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/LIG-Coin-Vintage-Chill-Cap_57943_3_lg.png']",20,hats,1,https://www.lifeisgood.com/hats/lig-coin-vintage-chill-cap-57943.html?dwvar_57943_color=16982&cgid=mens-headwear
Sunset Palm Sunwashed Chill Cap,55644-OS,$26.00,$0,Darkest Blue,['One Size'],"['Sunwashed for a naturally faded look, this laid-back style has endless summers ahead of it, with intentional discoloration and grinding at the brim and seams.', 'Sunwashed for intentional discoloration and faded appearance', 'Grinding gives a worn look on the bill and at the seams', 'Heavy top stitching, Life is Good label in the back and hidden interior message', 'Six panel unstructured low-mid crown and four rows of stitching on brim and embroidered graphics', 'Woven Patch with embroidery']","['https://d3o2e4jr3mxnm3.cloudfront.net/Sunset-Palm-Sunwashed-Chill-Cap_55644_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Sunset-Palm-Sunwashed-Chill-Cap_55644_2_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Sunset-Palm-Sunwashed-Chill-Cap_55644_3_lg.png']",17,hats,1,https://www.lifeisgood.com/hats/sunset-palm-sunwashed-chill-cap-55644.html?dwvar_55644_color=DRKSB&cgid=mens-headwear
Ballyard Applique Tattered Chill Cap,55745-OS,$24.00,$0,Slate Gray,['One Size'],"['Some hats you wear more than others; this is one of those hats. With an embroidered tattered graphic on the front, this is one you´ll keep coming back to.', 'Fabric and garment washed for softness', 'Six panel unstructured low-mid crown with six rows of stitching on brim', 'Life is Good label on back and hidden interior message', 'Adjustable back closure with snap and tattered graphics', 'Tattered twill patch ']","['https://d3o2e4jr3mxnm3.cloudfront.net/Ballyard-Applique-Tattered-Chill-Cap_55745_1_lg.png', 'https://d3o2e4jr3mxnm3.cloudfront.net/Ballyard-Applique-Tattered-Chill-Cap_55745_2_lg.png']",16,hats,1,https://www.lifeisgood.com/hats/ballyard-applique-tattered-chill-cap-55745.html?dwvar_55745_color=04518&cgid=mens-headwear
