goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
中国李宁2019纽约时装周系列棒球帽,AMYP302-4,￥199.00,￥199.00,藏蓝,['all'],"['中国李宁2019纽约时装周系列棒球帽，运用简单的色彩搭配，休闲百搭。帽子前幅方块形图案搭配“中国李宁”四字设计，个性吸睛。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 帽檐底料：', '棉', '√ 粘合材料：', '聚酯纤维', '√ 规格：', '56-60cm√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201902/460084/max_display_460084_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/460084/max_display_460084_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/460084/max_display_460084_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/460084/max_display_460084_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/460084/max_display_460084_5.jpg']",1,mens,0,https://store.lining.com/shop/goods-550268.html
中国李宁2019纽约时装周系列棒球帽,AMYP302-2,￥199.00,￥199.00,焦糖,['all'],"['中国李宁2019纽约时装周系列棒球帽，运用简单的色彩搭配，休闲百搭。帽身上文字设计，精致美观，凸显细节感。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '97%聚酯纤维 3%氨纶', '√ 帽檐底料：', '棉', '√ 粘合材料：', '聚酯纤维', '√ 规格：', '56-60cm√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201902/459699/max_display_459699_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/459699/max_display_459699_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/459699/max_display_459699_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/459699/max_display_459699_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/459699/max_display_459699_5.jpg']",1,mens,0,https://store.lining.com/shop/goods-549883.html
【2019新品】运动时尚系列卡车帽,AMYP042-2,￥79,￥79,深灰,['all'],"['运动时尚系列卡车帽，运用简单的色彩搭配，休闲百搭。帽子上的字母设计，简约大方。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 帽檐里料：', '棉', '√ 规格：', '56-60cm√ 帽子上整齐的车线，凸显品质感']","['https://cdns.lining.com/postsystem/docroot/images/goods/201812/441876/max_display_441876_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201812/441876/max_display_441876_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201812/441876/max_display_441876_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201812/441876/max_display_441876_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201812/441876/max_display_441876_5.jpg']",2,mens,0,https://store.lining.com/shop/goods-532060.html
【2019新品】运动时尚系列卡车帽,AMYP042-3,￥79,￥79,黑,['all'],"['运动时尚系列卡车帽，运用简单的色彩搭配，休闲百搭。帽子上的字母设计，简约大方。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 帽檐里料：', '棉', '√ 规格：', '56-60cm√ 帽子上整齐的车线，凸显品质感']","['https://cdns.lining.com/postsystem/docroot/images/goods/201812/441879/max_display_441879_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201812/441879/max_display_441879_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201812/441879/max_display_441879_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201812/441879/max_display_441879_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201812/441879/max_display_441879_5.jpg']",2,mens,0,https://store.lining.com/shop/goods-532063.html
中国李宁2019纽约时装周系列棒球帽,AMYP302-2,￥199.00,￥199.00,焦糖,['all'],"['中国李宁2019纽约时装周系列棒球帽，运用简单的色彩搭配，休闲百搭。帽身上文字设计，精致美观，凸显细节感。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '97%聚酯纤维 3%氨纶', '√ 帽檐底料：', '棉', '√ 粘合材料：', '聚酯纤维', '√ 规格：', '56-60cm√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201902/459699/max_display_459699_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/459699/max_display_459699_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/459699/max_display_459699_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/459699/max_display_459699_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/459699/max_display_459699_5.jpg']",1,womens,1,https://store.lining.com/shop/goods-549883.html
【2019新品】韦德系列棒球帽,AMYP134-1,￥139.00,￥139.00,黑,['all'],"['韦德系列棒球帽，运用简单的色彩搭配，休闲百搭。帽子前幅个性字母“W”印花设计，简约大气，时尚美观。帽身网布拼接，能够排出热气，保持帽内舒适干爽。', '√ 面料1：', '聚酯纤维', '√ 面料2：', '聚酯纤维', '√ 面料3：', '聚酯纤维', '√ 帽檐里料：', '棉', '√ 规格：', '56-60cm√ 舒适的帽型设计，富有运动感，将美观与实用相融合√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201903/469874/max_display_469874_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/469874/max_display_469874_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/469874/max_display_469874_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/469874/max_display_469874_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/469874/max_display_469874_5.jpg']",3,mens,0,https://store.lining.com/shop/goods-560058.html
中国李宁2019纽约时装周系列棒球帽,AMYP302-4,￥199.00,￥199.00,藏蓝,['all'],"['中国李宁2019纽约时装周系列棒球帽，运用简单的色彩搭配，休闲百搭。帽子前幅方块形图案搭配“中国李宁”四字设计，个性吸睛。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 帽檐底料：', '棉', '√ 粘合材料：', '聚酯纤维', '√ 规格：', '56-60cm√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201902/460084/max_display_460084_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/460084/max_display_460084_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/460084/max_display_460084_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/460084/max_display_460084_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201902/460084/max_display_460084_5.jpg']",1,womens,1,https://store.lining.com/shop/goods-550268.html
【2019新品】运动时尚系列卡车帽,AMYP042-3,￥79,￥79,黑,['all'],"['运动时尚系列卡车帽，运用简单的色彩搭配，休闲百搭。帽子上的字母设计，简约大方。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 帽檐里料：', '棉', '√ 规格：', '56-60cm√ 帽子上整齐的车线，凸显品质感']","['https://cdns.lining.com/postsystem/docroot/images/goods/201812/441879/max_display_441879_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201812/441879/max_display_441879_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201812/441879/max_display_441879_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201812/441879/max_display_441879_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201812/441879/max_display_441879_5.jpg']",2,womens,1,https://store.lining.com/shop/goods-532063.html
【2019新品】跑步系列空顶帽,AMXP004-3,￥79,￥79,黑花,['all'],"['跑步系列空顶帽，运用简单的色彩搭配，休闲百搭。帽子上图案印花设计，简约大气，彰显品牌魅力。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 里料：', '聚酯纤维', '√ 规格：', '55-59cm√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201903/466935/max_display_466935_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/466935/max_display_466935_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/466935/max_display_466935_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/466935/max_display_466935_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/466935/max_display_466935_5.jpg']",4,mens,0,https://store.lining.com/shop/goods-557119.html
【2019新品】跑步系列空顶帽,AMXP004-1,￥79.00,￥79.00,白花,['all'],"['跑步系列空顶帽，运用简单的色彩搭配，休闲百搭。帽子上图案印花设计，简约大气，彰显品牌魅力。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 里料：', '聚酯纤维', '√ 规格：', '55-59cm√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201903/466932/max_display_466932_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/466932/max_display_466932_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/466932/max_display_466932_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/466932/max_display_466932_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/466932/max_display_466932_5.jpg']",4,mens,0,https://store.lining.com/shop/goods-557116.html
