goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Scope Cap,1080-0612-OS,$29.99,$0,Black,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Custom Herschel Supply Co. embroidered felt patch']","['https://herschel.com/content/dam/herschel/products/1080/1080-0612-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0612-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0612-OS_03.jpg']",1,mens,1,https://herschel.com/shop/headwear/scope-cap?v=1080-0612-OS
Aden Beanie,1114-0713-OS,$19.99,$0,Peacoat,['all'],"['100% acrylic\xa0', '8.75"" cuffed length', 'Herschel 3D embroidery']",['https://herschel.com/content/dam/herschel/products/1114/1114-0713-OS_01.jpg'],38,mens,1,https://herschel.com/shop/headwear/aden-beanie?v=1114-0713-OS
Anderson Beanie,1117-0776-OS,$19.99,$0,Vermillion Orange,['all'],"['100% acrylic\xa0', '7"" cuffed length', '9.5"" unrolled length', 'Herschel woven tab']",['https://herschel.com/content/dam/herschel/products/1117/1117-0776-OS_01.jpg'],36,mens,1,https://herschel.com/shop/headwear/anderson-beanie?v=1117-0776-OS
Whaler Cap | Sprout,1119-0686-OS,$14.99,$0,Ash Rose,['all'],"['100% polyester crown', 'Mesh ventilation panels', 'Cotton twill pre-curved brim and integrated sweat band', 'Plastic snapback', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Screen printed classic logo']","['https://herschel.com/content/dam/herschel/products/1119/1119-0686-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0686-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0686-OS_03.jpg']",39,mens,1,https://herschel.com/shop/headwear/whaler-cap-sprout?v=1119-0686-OS
Glendale Cap | Surplus,1007-0449-OS,$39.99,$0,Beetle - Satin Edition,['all'],"['Camouflage internal seam details', 'Cotton webbing strap with metal ladder lock', 'Side panel metal eyelets', 'Internal H.S.Co field ops label and screen printed branding', 'Engineered red and white striped rear tab', 'Tonal classic woven label']","['https://herschel.com/content/dam/herschel/products/1007/1007-0449-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1007/1007-0449-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1007/1007-0449-OS_03.jpg']",40,mens,1,https://herschel.com/shop/headwear/glendale-cap-surplus?v=1007-0449-OS
Whaler Cap | Sprout,1119-0001-OS,$14.99,$0,Black,['all'],"['100% polyester crown', 'Mesh ventilation panels', 'Cotton twill pre-curved brim and integrated sweat band', 'Plastic snapback', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Screen printed classic logo']","['https://herschel.com/content/dam/herschel/products/1119/1119-0001-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0001-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0001-OS_03.jpg']",39,mens,1,https://herschel.com/shop/headwear/whaler-cap-sprout?v=1119-0001-OS
Whaler Cap | Sprout,1119-0746-OS,$14.99,$0,Woodland Camo,['all'],"['100% polyester crown', 'Mesh ventilation panels', 'Cotton twill pre-curved brim and integrated sweat band', 'Plastic snapback', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Screen printed classic logo']","['https://herschel.com/content/dam/herschel/products/1119/1119-0746-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0746-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0746-OS_03.jpg']",39,mens,1,https://herschel.com/shop/headwear/whaler-cap-sprout?v=1119-0746-OS
Sylas Cap | Youth,1123-0767-OS,$19.99,$0,Purple Velvet/Fandango Pink,['all'],"['100% washed slub cotton twill', 'Pre-curved brim', 'Self-fabric strap with ID logo embossed brushed metal clip', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'HSCO embroidered flag emblem']","['https://herschel.com/content/dam/herschel/products/1123/1123-0767-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1123/1123-0767-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1123/1123-0767-OS_03.jpg']",35,mens,1,https://herschel.com/shop/headwear/sylas-cap-youth?v=1123-0767-OS
Sylas Cap | Youth,1098-0606-OS,$19.99,$0,Peach - Hawaiian Edition,['all'],"['100% washed slub cotton twill', 'Pre-curved brim', 'Self-fabric strap with ID logo embossed brushed metal clip', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'HSCO embroidered flag emblem']","['https://herschel.com/content/dam/herschel/products/1098/1098-0606-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1098/1098-0606-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1098/1098-0606-OS_03.jpg']",35,mens,1,https://herschel.com/shop/headwear/sylas-cap-youth?v=1098-0606-OS
Whaler Cap | Sprout,1119-0810-OS,$14.99,$0,Navy/Red,['all'],"['100% polyester crown', 'Mesh ventilation panels', 'Cotton twill pre-curved brim and integrated sweat band', 'Plastic snapback', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Screen printed classic logo']","['https://herschel.com/content/dam/herschel/products/1119/1119-0810-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0810-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1119/1119-0810-OS_03.jpg']",39,mens,1,https://herschel.com/shop/headwear/whaler-cap-sprout?v=1119-0810-OS
