goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Straw Hat,0450333001,$19.99,$0,Brown,"['M/58', 'L/60']","['Hat in loosely braided straw with a narrow band in faux suede. Width of brim approx. 2 3\\/4 in.', 'Straw 100%']","['https://lp2.hm.com/hmgoepprod?set=source[/46/56/4656ebc1c25dff6f87308868c8ac6947fc3b34b3.jpg],origin[dam],category[men_accessories_hatsandgloves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/d9/d5/d9d5fd281f35af495610c874a11c2187fdd52ee0.jpg],origin[dam],category[men_accessories_hatsandgloves],type[DESCRIPTIVEDETAIL],res[m],hmver[1]&call=url[file:/product/main]']",1,men,0,https://www2.hm.com/en_us/productpage.0450333001.html
Paper Straw Sun Hat,0780954001,$39.99,$0,Light beige,"['M/L', 'L/XL']","['Hand-made hat in braided paper straw with fringed edges.', 'Straw 100%']","['https://lp2.hm.com/hmgoepprod?set=source[/4d/65/4d65a00773a027888b99a1aa5582408df5b519e5.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/3f/6a/3f6a50b786da3848f032c449e7018411335ebbd5.jpg],origin[dam],category[],type[DESCRIPTIVEDETAIL],res[m],hmver[1]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/1d/c2/1dc21b3ee2180a351cbfeb45f754bcca3512c5a3.jpg],origin[dam],category[],type[DESCRIPTIVEDETAIL],res[m],hmver[1]&call=url[file:/product/main]']",1,women,1,https://www2.hm.com/en_us/productpage.0780954001.html
Straw Hat,0699603001,$14.99,$0,Light beige\/straw,"['S/54', 'M/56', 'L/58']","['Hat in braided straw with a chiffon band. Width of brim 2 1\\/4 in.', 'Detail: Polyester 100%', 'Straw 100%']","['https://lp2.hm.com/hmgoepprod?set=source[/9b/a7/9ba7c42e05b95d71e7fe7acf97308dab0672738a.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/d8/35/d835303013808a80036f66e94f1bb1c540277a1a.jpg],origin[dam],category[],type[DESCRIPTIVEDETAIL],res[m],hmver[2]&call=url[file:/product/main]']",4,women,1,https://www2.hm.com/en_us/productpage.0699603001.html
Cap with Appliqué,0728016001,$9.99,$0,Black,['M/58'],"['Cap with front section in woven fabric and back section in mesh. Appliqué at front and adjustable plastic fastener at back.', 'Polyester 100%']","['https://lp2.hm.com/hmgoepprod?set=source[/ed/96/ed964c46157527c30bb8e95fab7c08cc91e36375.jpg],origin[dam],category[men_accessories_hatsandgloves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/ab/90/ab90ebd88e65ec2c38f28a2b3551ea4f0d4bc545.jpg],origin[dam],category[men_accessories_hatsandgloves],type[DESCRIPTIVEDETAIL],res[m],hmver[1]&call=url[file:/product/main]']",5,men,0,https://www2.hm.com/en_us/productpage.0728016001.html
Straw Hat,0616763001,$12.99,$0,Natural,"['S/54', 'M/56', 'L/58']","['Hat in braided paper straw. Width of brim 3 1\\/2 in.', 'Paper straw 100%']","['https://lp2.hm.com/hmgoepprod?set=source[/62/26/622684ab9e747343f0e5280672e196ab0d796979.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/49/42/4942f1e96ee8cf2aa6bf8d7a94698cea9613444b.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVEDETAIL],res[m],hmver[1]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/71/ad/71ad2562e91fdf97bf925e9dccb0e7ae4d1d78ed.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVEDETAIL],res[m],hmver[1]&call=url[file:/product/main]']",5,women,1,https://www2.hm.com/en_us/productpage.0616763001.html
Cotton Twill Cap,0731159005,$5.99,$0,Dark khaki green,['M/58'],"['Cap in cotton twill with an adjustable strap at back with metal fastener.', 'Cotton 100%']","['https://lp2.hm.com/hmgoepprod?set=source[/d1/09/d1097b68bd9c3d02edf62a2b9cd826e29cf94d8c.jpg],origin[dam],category[men_accessories_hatscaps],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/2c/87/2c878f04b4776c7ef66d8e11b8e800a9312a3aaf.jpg],origin[dam],category[men_accessories_hatscaps],type[DESCRIPTIVEDETAIL],res[m],hmver[1]&call=url[file:/product/main]']",6,men,0,https://www2.hm.com/en_us/productpage.0731159005.html
Straw Hat,0583933004,$12.99,$0,Natural\/white,"['S/54', 'M/56', 'L/58']","['Hat in paper straw with a grosgrain band. Width of brim 2 in.', 'Paper straw 100%']","['https://lp2.hm.com/hmgoepprod?set=source[/b9/f1/b9f1ee59865a50c858e0646003a144baae05e0e2.jpg],origin[dam],category[ladies_accessories_hatscarvesgloves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/4d/73/4d7301458fef071d6f9ac9fdf3bebf9ac7ddc3b7.jpg],origin[dam],category[ladies_accessories_hatscarvesgloves],type[DESCRIPTIVEDETAIL],res[m],hmver[1]&call=url[file:/product/main]']",6,women,1,https://www2.hm.com/en_us/productpage.0583933004.html
Cotton Twill Cap,0731159001,$5.99,$0,Black,['M/58'],"['Cap in cotton twill with an adjustable strap at back with metal fastener.', 'Cotton 100%']","['https://lp2.hm.com/hmgoepprod?set=source[/e5/da/e5da5dd4c25d809c1ac6221d225eaae6232aaba7.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/f4/a4/f4a487e3f9ea6855e1b0feb89ee2d7befd89be80.jpg],origin[dam],category[],type[DESCRIPTIVEDETAIL],res[m],hmver[1]&call=url[file:/product/main]']",2,men,0,https://www2.hm.com/en_us/productpage.0731159001.html
Straw Hat,0339252001,$12.99,$0,Natural white,"['M/58', 'L/60']","['Hat in braided paper straw with a grosgrain band. Width of brim 2 1\\/4 in.', 'Paper straw 100%']","['https://lp2.hm.com/hmgoepprod?set=source[/76/cb/76cbf434832401b3980c66afb430c3bbc75a9835.jpg],origin[dam],category[men_accessories_hatsandgloves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/67/52/675247a4e66aa9067d07e48f6643b4fe38ae4750.jpg],origin[dam],category[men_accessories_hatsandgloves],type[DESCRIPTIVESTILLLIFE],hmver[3]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/0d/fc/0dfcbe013dda186487993159a3a0f7501e0c3b5b.jpg],origin[dam],category[men_accessories_hatsandgloves],type[DESCRIPTIVEDETAIL],res[m],hmver[1]&call=url[file:/product/main]']",3,men,0,https://www2.hm.com/en_us/productpage.0339252001.html
Straw Hat,0699600001,$14.99,$0,Beige\/black,"['S/54', 'M/56', 'L/58']","['Hat in braided paper straw with a grosgrain band. Width of brim 2 1\\/4 in.', 'Paper straw 100%']","['https://lp2.hm.com/hmgoepprod?set=source[/46/06/4606d658754c2cf6cf3b927adb2ff6c76058a488.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]', 'https://lp2.hm.com/hmgoepprod?set=source[/1c/4a/1c4a6e4c3f4b62413579eded7e415dc93a6330cb.jpg],origin[dam],category[],type[DESCRIPTIVEDETAIL],res[m],hmver[1]&call=url[file:/product/main]']",2,women,1,https://www2.hm.com/en_us/productpage.0699600001.html
