goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Tiger leather cap,F955AC301L49.99A.TU,€175.00,€0,black,['all'],"['This cap gives your look a touch of chic style thanks to the neat leatherwork with a simple and smooth aspect. The iconic tiger, a KENZO symbol, stands out from the dark background creating a beautiful contrasting effect. This is an accessory that is somewhere between elegant and laidback style that will look sublime with any outfit.', 'Tiger leather cap.', 'Tiger embroidered on the front.', 'Adjustable back strap.', 'One size.', 'Smooth leather.', '100% calf skin.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw4a183f6f/F955AC301L49.99_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwce9a1190/F955AC301L49.99_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw8291d229/F955AC301L49.99_P_03.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw33cd9779/F955AC301L49.99A_H_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwb41179ed/F955AC301L49.99A_H_02.jpg?sw=750&sh=1200']",0,all,1,https://www.kenzo.com/eu/en/tiger-leather-cap/F955AC301L49.99A.TU.html?cgid=acc-hats-gloves-f-1
Neoprene Tiger cap,F855AC301F21.76.TU,€95.00,€0,navy blue,['all'],"[""The KENZO Tiger, iconic to the brand, is brought to life with it's very first range of accessories, suitable for both men and women."", 'Neoprene cap with Tiger embroidery on the the front.', 'Adjustable hook-and-loop closure.', 'KENZO embroidery on the closure strap.', 'This model is unisex.', 'One size.', 'Adjustable strap in the back.', '75% rubber, 25% polyester.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw1dee3f85/F765AC301F21.76_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw587589fc/F765AC301F21.76_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw587589fc/F765AC301F21.76_P_03.jpg?sw=750&sh=1200']",7,all,1,https://www.kenzo.com/eu/en/neoprene-tiger-cap/F855AC301F21.76.TU.html?cgid=acc-hats-gloves-f-1
Multi Eye cap,F955AC201B29.99.TU,€115.00,€0,black,['all'],"['A reflection of bold fashion, this cap revisits the iconic Eye bringing its mystery to this creation. Its simple colour and sleek lines brilliantly highlight the patterns printed on the material that instantly add a twist to any outfit. Its rear tab makes it easy to adjust.', 'Multi Eye cap.', 'Leather visor.', 'Adjustable leather tab on the back with embossed KENZO logo.', 'One size.', '100% polyester.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwf76f96c2/F955AC201B29.99_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw3067d213/F955AC201B29.99_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwd266ea1f/F955AC201B29.99_P_03.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw73908ab7/F955AC201B29.99_H_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw60e6866f/F955AC201B29.99_H_02.jpg?sw=750&sh=1200']",9,all,1,https://www.kenzo.com/eu/en/multi-eye-cap/F955AC201B29.99.TU.html?cgid=acc-hats-gloves-f-1
Tiger Canvas Cap,F005AC301F20.76.TU,€85.00,€0,navy blue,['all'],"['Adopt the bold and casual KENZO signature style with this canvas cap. It mischievously sports the emblematic Tiger on the front, whose bright colours make it the main part of the accessory. The adjustment tab is embroidered with KENZO logo letters that add a modern, urban touch to the it.', 'Tiger canvas cap.', 'Tiger embroidery on the front and KENZO logo on the adjustment tab on the back.', 'One size.', 'One size.', 'Adjustable strap in the back.', '72% polyester, 28% nylon.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw3d266cad/F765AC301F20.76_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw7e3ddd33/F765AC301F20.76_P_02.jpg?sw=750&sh=1200']",4,all,1,https://www.kenzo.com/eu/en/tiger-canvas-cap/F005AC301F20.76.TU.html?cgid=acc-hats-gloves-f-1
Neoprene Tiger cap,F855AC301F21.99.TU,€95.00,€0,black,['all'],"[""The KENZO Tiger, iconic to the brand, is brought to life with it's very first range of accessories, suitable for both men and women."", 'Neoprene cap with Tiger embroidery on the the front.', 'Adjustable hook-and-loop closure.', 'KENZO embroidery on the closure strap.', 'This model is unisex.', 'One size.', 'Adjustable strap in the back.', '75% rubber, 25% polyester.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwfce919b8/F765AC301F21.99_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwbaf5b8e8/F765AC301F21.99_P_02.jpg?sw=750&sh=1200']",6,all,1,https://www.kenzo.com/eu/en/neoprene-tiger-cap/F855AC301F21.99.TU.html?cgid=acc-hats-gloves-f-1
Leather cap KENZO Paris,F855AC500L47.70.TU,€165.00,€0,cobalt,['all'],"['This adjustable leather cap has an urban chic style. Wear it to accessorize your everyday outfits, to give them a casual feel.', 'Leather cap.', 'Adjustable strap at the back.', 'Black metal eyelets.', 'Silver metal press studs.', '100% calf skin.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw75869243/F855AC500L47.70_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw190ed998/F855AC500L47.70_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw7bc2f42d/F855AC500L47.70_P_03.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw083bbad7/F855AC500L47.70_H_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwbecb8e21/F855AC500L47.70_H_02.jpg?sw=750&sh=1200']",10,all,1,https://www.kenzo.com/eu/en/leather-cap-kenzo-paris/F855AC500L47.70.TU.html?cgid=acc-hats-gloves-f-1
Neoprene Tiger cap,F855AC301F21.21.TU,€95.00,€0,medium red,['all'],"[""The KENZO Tiger, iconic to the brand, is brought to life with it's very first range of accessories, suitable for both men and women."", 'Neoprene cap with Tiger embroidery on the the front.', 'Adjustable hook-and-loop closure.', 'KENZO embroidery on the closure strap.', 'This model is unisex.', 'One size.', 'Adjustable strap in the back.', '75% rubber, 25% polyester.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw75544935/F855AC301F21.21_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw2d96d0cf/F855AC301F21.21_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwceaa1e4f/F855AC301F21.21_P_03.jpg?sw=750&sh=1200']",5,all,1,https://www.kenzo.com/eu/en/neoprene-tiger-cap/F855AC301F21.21.TU.html?cgid=acc-hats-gloves-f-1
Neoprene Tiger cap,F855AC301F21.23.TU,€95.00,€0,bordeaux,['all'],"[""The KENZO Tiger, iconic to the brand, is brought to life with it's very first range of accessories, suitable for both men and women."", 'Neoprene cap with Tiger embroidery on the the front.', 'Adjustable hook-and-loop closure.', 'KENZO embroidery on the closure strap.', 'This model is unisex.', 'One size.', 'Adjustable strap in the back.', '75% rubber, 25% polyester.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw5967507f/F855AC301F21.23_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw5c3b41fe/F855AC301F21.23_P_02.jpg?sw=750&sh=1200']",8,all,1,https://www.kenzo.com/eu/en/neoprene-tiger-cap/F855AC301F21.23.TU.html?cgid=acc-hats-gloves-f-1
Tiger Canvas Cap,F005AC301F20.99.TU,€85.00,€0,black,['all'],"['Adopt the bold and casual KENZO signature style with this canvas cap. It mischievously sports the emblematic Tiger on the front, whose bright colours make it the main part of the accessory. The adjustment tab is embroidered with KENZO logo letters that add a modern, urban touch to the it.', 'Tiger canvas cap.', 'Tiger embroidery on the front and KENZO logo on the adjustment tab on the back.', 'One size.', 'One size.', 'Adjustable strap in the back.', '72% polyester, 28% nylon.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw0301135f/F765AC301F20.99_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw562b046a/F765AC301F20.99_P_02.jpg?sw=750&sh=1200']",3,all,1,https://www.kenzo.com/eu/en/tiger-canvas-cap/F005AC301F20.99.TU.html?cgid=acc-hats-gloves-f-1
Tiger neoprene cap,F955AC301F22.99.TU,€105.00,€0,black,['all'],"['This Tiger neoprene cap takes on sportswear codes with its material inspired by the world of diving and surfing. Its classic design is refreshed by the iconic Tiger in neon colours and tube embroidery, instantly brightening a chic, urban or streetwear look. This is strong charming piece that brings colour to any outfit.', 'Tiger neoprene cap.', 'Tube embroidered neon tiger.', 'KENZO logo on the back.', 'Adjustable Velcro strap.', 'One size.', '75% rubber, 25% polyester.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw0c75bb1c/F955AC301F22.99_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw9ea2705e/F955AC301F22.99_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw959a4cdf/F955AC301F22.99_P_03.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw681decb4/F955AC301F22.99_F_01.jpg?sw=750&sh=1200']",1,all,1,https://www.kenzo.com/eu/en/tiger-neoprene-cap/F955AC301F22.99.TU.html?cgid=acc-hats-gloves-f-1
Tiger Canvas Cap,F855AC301F20.99A.TU,€85.00,€0,black,['all'],"['Adopt the bold and casual KENZO signature style with this canvas cap. It  mischievously sports the emblematic Tiger on the front, whose bright colours make it the main part of the accessory. The adjustment tab is embroidered with KENZO logo letters that add a modern, urban touch to the it.', 'Tiger canvas cap.', 'Tiger embroidery on the front and KENZO logo on the adjustment tab on the back.', 'One size.', 'One size.', 'Adjustable strap in the back.', '72% polyester, 28% nylon.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwc90bb342/F855AC301F20.99A_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwd6a95664/F855AC301F20.99A_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwe4d5bc94/F855AC301F20.99A_F_01.jpg?sw=750&sh=1200']",24,all,1,https://www.kenzo.com/eu/en/tiger-canvas-cap/F855AC301F20.99A.TU.html?cgid=acc-hats-gloves-f-1
