产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_url
Jordan Classic 99 Metal Jumpman,899657-100,￥201,￥0,白色,['all'],"['休闲舒适', 'Jordan Classic 99 Metal Jumpman 可调节运动帽采用经典六片式拼接巧搭标志性细节设计，打造舒适的日常佩戴感受。', '其他细节', '产品细节']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/lfhnkjxx7vlm9dozziqz/jordan-classic-99-metal-jumpman-可调节运动帽-g3XPCV.jpg'],可调节运动帽,3,男子,1,https://www.nike.com/cn/t/jordan-classic-99-metal-jumpman-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-g3XPCV
Nike SB x Medicom H86,905706-010,￥199,￥0,黑/白色,['all'],"['经典舒适', 'Nike SB x Medicom H86 可调节运动帽巧妙结合了经典六片式拼接设计和来自玩具公司的标志性细节。', '其他细节', '六片式拼接设计，具备出众耐用性', '刺绣孔眼，提升透气效果', '背面可调扣带设计，缔造定制般的舒适体验', '产品细节', '面料：100% 棉。 里料：100% 聚酯纤维。', '手洗', '显示颜色： 黑/白色', '款式： 905706-010', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ekn5p97is1xukb3h6cdr/sb-10-medicom-h86-可调节运动帽-1qTbMZ89.jpg'],可调节运动帽,6,男子,1,https://www.nike.com/cn/t/sb-10-medicom-h86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-1qTbMZ89
Nike SB S+ Dunk Heritage 86,905704-101,￥169,￥0,白色/苍野灰,['all'],"['赛场内外，舒适无拘', 'Nike SB S+ Dunk Heritage 86 可调节运动帽，沿用经典裁剪设计，续写运动传奇，遮挡烈日骄阳，畅快滑板竞技，惬意休闲玩乐，尽皆适宜。', '其他细节', '背面可调式扣带打造个性化的贴合感', '经典六片式拼接设计，经久耐用', '刺绣孔眼营造出色的空气流通效果', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/苍野灰', '款式： 905704-101', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/fwchvxwkanmbmlhjocrl/sb-s-dunk-heritage-86-可调节运动帽-2xbG2p.jpg'],可调节运动帽,7,男子,1,https://www.nike.com/cn/t/sb-s-dunk-heritage-86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-2xbG2p/905704-101
Nike SB S+ Dunk Heritage 86,905704-011,￥169,￥0,黑/苍野灰,['all'],"['赛场内外，舒适无拘', 'Nike SB S+ Dunk Heritage 86 可调节运动帽，沿用经典裁剪设计，续写运动传奇，遮挡烈日骄阳，畅快滑板竞技，惬意休闲玩乐，尽皆适宜。', '其他细节', '背面可调式扣带打造个性化的贴合感', '经典六片式拼接设计，经久耐用', '刺绣孔眼营造出色的空气流通效果', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 黑/苍野灰', '款式： 905704-011', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/wzan0k2lzzbypilipbtr/sb-s-dunk-heritage-86-可调节运动帽-2xbG2p.jpg'],可调节运动帽,7,男子,1,https://www.nike.com/cn/t/sb-s-dunk-heritage-86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-2xbG2p/905704-011
Nike SB Performance,629243-103,￥169,￥0,白色/黑/黑/黑,['all'],"['经典造型，非凡透气', 'Nike SB Performance 运动帽采用凸起刺绣元素巧搭开放式网眼拼接和平檐剪裁，缔造经典风格和非凡透气性。', '其他细节', '六片式拼接设计配搭衬里镶边，舒适贴合', '刺绣式孔眼搭配网眼拼接设计带来出色透气性', '背面按扣设计，可随头围调节贴合感', '正面刺绣标志突显时尚气息', '产品细节', '面料/拼接背面部分：100% 聚酯纤维。前片拼接（背面）：92% 聚酯纤维/8% 棉。', '手洗', '显示颜色： 白色/黑/黑/黑', '款式： 629243-103', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/fkdv9bw71rexe3oihpjb/sb-performance-运动帽-NHzG2P.jpg'],运动帽,8,男子,1,https://www.nike.com/cn/t/sb-performance-%E8%BF%90%E5%8A%A8%E5%B8%BD-NHzG2P
NikeCourt RF AeroBill H86,AH6985-100,￥169,￥0,白色/白色/黑,['all'],"['轻盈舒适', 'NikeCourt RF AeroBill H86 可调节运动帽采用轻盈速干面料，助你畅享清凉干爽、非凡舒适体验。', '其他细节', '产品细节', '面料/里料/帽檐：100% 聚酯纤维', '\n', '手洗', '显示颜色： 白色/白色/黑', '款式： AH6985-100', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/xlypszqou3jhmdgtcc7f/nikecourt-rf-aerobill-h86-可调节运动帽-7DbFLh.jpg'],可调节运动帽,10,男子,1,https://www.nike.com/cn/t/nikecourt-rf-aerobill-h86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-7DbFLh/AH6985-100
NikeCourt RF AeroBill H86,AH6985-010,￥169,￥0,黑/黑/白色,['all'],"['轻盈舒适', 'NikeCourt RF AeroBill H86 可调节运动帽采用轻盈速干面料，助你畅享清凉干爽、非凡舒适体验。', '其他细节', '产品细节', '面料/里料/帽檐：100% 聚酯纤维', '\n', '手洗', '显示颜色： 黑/黑/白色', '款式： AH6985-010', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/g2pbri9tdbj4fwylq9dj/nikecourt-rf-aerobill-h86-可调节运动帽-7DbFLh.jpg'],可调节运动帽,10,男子,1,https://www.nike.com/cn/t/nikecourt-rf-aerobill-h86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-7DbFLh/AH6985-010
NikeCourt RF AeroBill H86,AH6985-654,￥169,￥0,浅落日黄/白色,['all'],"['轻盈舒适', 'NikeCourt RF AeroBill H86 可调节运动帽采用轻盈速干面料，助你畅享清凉干爽、非凡舒适体验。', '其他细节', '产品细节', '面料/里料/帽檐：100% 聚酯纤维', '\n', '手洗', '显示颜色： 浅落日黄/白色', '款式： AH6985-654', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/rwr7lvtvmhptq2oqc2y1/nikecourt-rf-aerobill-h86-可调节运动帽-7DbFLh.jpg'],可调节运动帽,10,男子,1,https://www.nike.com/cn/t/nikecourt-rf-aerobill-h86-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-7DbFLh/AH6985-654
NikeCourt Featherlight,679421-100,￥159,￥0,白色/黑/白色/黑,['all'],"['透气舒适，激战制霸', 'NikeCourt Featherlight 可调节网球运动帽采用黑色下帽檐设计，有效减少刺眼光线，赋予你心无旁骛的凉爽运动体验。', '其他细节', 'Dri-FIT 面料助你保持干爽舒适', '网眼布拼接与打孔式衬里拼接相结合，塑就出色透气性', '黑色下帽檐设计减少炫光', '背面魔术贴粘扣搭配反光提拉设计，可定制专属贴合感与出色的视觉可见度', '产品细节', '面料/里料：100% 聚酯纤维', '手洗', '显示颜色： 白色/黑/白色/黑', '款式： 679421-100', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/c1distcx60p7ehawjube/nikecourt-featherlight-可调节网球运动帽-s5FrTG.jpg'],可调节网球运动帽,11,男子,1,https://www.nike.com/cn/t/nikecourt-featherlight-%E5%8F%AF%E8%B0%83%E8%8A%82%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-s5FrTG
