产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Scope Cap,1080-0348-OS,$29.99,$0,Heathered Grey,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Custom Herschel Supply Co. embroidered felt patch']","['https://herschel.com/content/dam/herschel/products/1080/1080-0348-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0348-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0348-OS_03.jpg']",1,men,1,https://herschel.com/shop/headwear/scope-cap?v=1080-0348-OS
Scope Cap,1080-0487-OS,$29.99,$0,Khaki,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Custom Herschel Supply Co. embroidered felt patch']","['https://herschel.com/content/dam/herschel/products/1080/1080-0487-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0487-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0487-OS_03.jpg']",1,men,1,https://herschel.com/shop/headwear/scope-cap?v=1080-0487-OS
Scope Cap,1080-0629-OS,$29.99,$0,Khaki,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Custom Herschel Supply Co. embroidered felt patch']","['https://herschel.com/content/dam/herschel/products/1080/1080-0629-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0629-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0629-OS_03.jpg']",1,men,1,https://herschel.com/shop/headwear/scope-cap?v=1080-0629-OS
Scope Cap,1080-0078-OS,$29.99,$0,Windsor Wine,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Custom Herschel Supply Co. embroidered felt patch']","['https://herschel.com/content/dam/herschel/products/1080/1080-0078-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0078-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0078-OS_03.jpg']",1,men,1,https://herschel.com/shop/headwear/scope-cap?v=1080-0078-OS
Scope Cap,1080-0520-OS,$29.99,$0,Surf the Web,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Custom Herschel Supply Co. embroidered felt patch']","['https://herschel.com/content/dam/herschel/products/1080/1080-0520-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0520-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0520-OS_03.jpg']",1,men,1,https://herschel.com/shop/headwear/scope-cap?v=1080-0520-OS
Scope Cap,1080-0612-OS,$29.99,$0,Black,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Custom Herschel Supply Co. embroidered felt patch']","['https://herschel.com/content/dam/herschel/products/1080/1080-0612-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0612-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0612-OS_03.jpg']",1,men,1,https://herschel.com/shop/headwear/scope-cap?v=1080-0612-OS
Scope Cap,1080-0605-OS,$29.99,$0,Aegean Blue,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Custom Herschel Supply Co. embroidered felt patch']","['https://herschel.com/content/dam/herschel/products/1080/1080-0605-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0605-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1080/1080-0605-OS_03.jpg']",1,men,1,https://herschel.com/shop/headwear/scope-cap?v=1080-0605-OS
TM Cap,1079-0001-OS,$29.99,$0,Black,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Custom Herschel Supply Company embroidered felt patch']","['https://herschel.com/content/dam/herschel/products/1079/1079-0001-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1079/1079-0001-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1079/1079-0001-OS_03.jpg']",2,men,1,https://herschel.com/shop/headwear/tm-cap?v=1079-0001-OS
TM Cap,1079-0348-OS,$29.99,$0,Heather Grey/Black,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Custom Herschel Supply Company embroidered felt patch']","['https://herschel.com/content/dam/herschel/products/1079/1079-0348-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1079/1079-0348-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1079/1079-0348-OS_03.jpg']",2,men,1,https://herschel.com/shop/headwear/tm-cap?v=1079-0348-OS
