产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
International 6 Panel Snapback,100580160-Khaki,$29.0,$0,Khaki,['One Size'],"['Unstructured 6 panel snapback hat', 'Brushed twill hat', 'Mid profile crown height, curved visor, direct logo embroidery', 'Plastic snap closure', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100580160_KHA_1.jpg?v=1539735946', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100580160_KHA_2.jpg?v=1539735951']",1,men,1,https://obeyclothing.com/products/obey-international-6-panel-snapback?variant=12885756510269
Borrego Beanie,100030135-Black,$22.0,$0,Black,['One Size'],"['Tall height cuffed beanie', 'Jersey knit construction with direct logo embroidery', '100% Acrylic']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100030135_BLK_1.jpg?v=1539735791', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100030135_BLK_2.jpg?v=1539735796']",2,men,1,https://obeyclothing.com/products/obey-borrego-beanie?variant=12885756444733
Union Beanie,100030131-Dusty Coral,$22.0,$0,Dusty Coral,['One Size'],"['Medium height cuffed beanie', 'Features jersey knit construction with direct logo embroidery', '100% ACRYLIC']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100030131_DCRL_1.jpg?v=1539735689', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100030131_DCRL_2.jpg?v=1539735693']",3,men,1,https://obeyclothing.com/products/obey-union-beanie?variant=12885756379197
Union Beanie,100030131-Tapenade,$22.0,$0,Tapenade,['One Size'],"['Medium height cuffed beanie', 'Features jersey knit construction with direct logo embroidery', '100% ACRYLIC']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100030131_TAP_1.jpg?v=1539735699', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100030131_TAP_2.jpg?v=1539735704']",3,men,1,https://obeyclothing.com/products/obey-union-beanie?variant=12885756411965
Jumble Bar Trucker Hat,100500016-Black,$29.0,$0,Black,['One Size'],"['Structured 5 panel trucker hat', 'Classic profile crown height with flat visor, screen printed logo and plastic snap closure', '100% Polyester']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100500016_BLK_1.jpg?v=1533053905', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100500016_BLK_2.jpg?v=1533053910']",4,men,1,https://obeyclothing.com/products/obey-jumble-bar-trucker-hat?variant=9051231551549
Jumble Bar Trucker Hat,100500016-Pine,$29.0,$0,Pine,['One Size'],"['Structured 5 panel trucker hat', 'Classic profile crown height with flat visor, screen printed logo and plastic snap closure', '100% Polyester']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100500016_PNE_1.jpg?v=1533053917', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100500016_PNE_2.jpg?v=1533053922']",4,men,1,https://obeyclothing.com/products/obey-jumble-bar-trucker-hat?variant=9051231584317
International Strapback,100570081-Khaki,$31.0,$0,Khaki,['One Size'],"['Unstructured 5 panel strapback hat', 'Classic profile crown height with curved visor, direct logo embroidery, and self fabric strap closure', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100570081_KHA_1.jpg?v=1533053649', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100570081_KHA_2.jpg?v=1533053655']",5,men,1,https://obeyclothing.com/products/obey-international-strapback?variant=9051231453245
International Strapback,100570081-Navy,$31.0,$0,Navy,['One Size'],"['Unstructured 5 panel strapback hat', 'Classic profile crown height with curved visor, direct logo embroidery, and self fabric strap closure', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100570081_NVY_1.jpg?v=1533074986', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100570081_NVY_2.jpg?v=1533074993']",5,men,1,https://obeyclothing.com/products/obey-international-strapback?variant=9051231486013
Remain Snapback,100570080-Black,$29.0,$0,Black,['One Size'],"['Unstructured 5 panel snapback hat', 'Classic profile crown height with flat visor, direct logo embroidery, and plastic snap closure', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100570080_BLK_1.jpg?v=1533055439', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100570080_BLK_2.jpg?v=1533055447']",6,men,1,https://obeyclothing.com/products/obey-remain-snapback?variant=9051231223869
Dayton Bucket Hat,100520016-Khaki Multi,$31.0,$0,Khaki Multi,['One Size'],"['Classic fit three panel bucket hat', 'Flat two piece visor', 'Direct logo embroidery embellishment at front panel of hat', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100520016_KHA_1.jpg?v=1533052989', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100520016_KHA_2.jpg?v=1533052995']",7,men,1,https://obeyclothing.com/products/obey-dayton-bucket-hat?variant=9051231158333
Eighty Nine 6 Panel Hat III,100580162-Pine,$29.0,$0,Pine,['One Size'],"['Unstructured 6 panel strapback hat', 'Low profile crown height with curved visor, half face patch and self fabric strap closure', '100% cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100580162_PNE_1.jpg?v=1533053127', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100580162_PNE_2.jpg?v=1533053132']",8,men,1,https://obeyclothing.com/products/obey-eighty-nine-6-panel-hat-iii?variant=9051230699581
Slapper 6 Panel Snapback,100580161-Black,$29.0,$0,Black,['One Size'],"['Unstructured 6 panel snapback hat', 'Brushed twill hat with mid profile crown height, curved visor, direct logo embroidery, and plastic snap closure', '100%\xa0Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100580161_BLK_1.jpg?v=1533055737', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100580161_BLK_2.jpg?v=1533055763']",9,men,1,https://obeyclothing.com/products/obey-slapper-6-panel-snapback?variant=9051230666813
Runnin Trucker Hat,100500014-Safety Green,$26.0,$0,Safety Green,['One Size'],"['Poly / Cotton twill 6 panel trucker hat', 'Direct embroidery', 'Plastic snap closure', 'Woven flag label', '65% Cotton / 35% Polyester']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100500014_GRN_1.jpg?v=1525292481', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100500014_GRN_2.jpg?v=1525292486']",10,men,1,https://obeyclothing.com/products/obey-runnin-trucker-hat?variant=2935530717194
Worldwide Propaganda II Snapback,100570073-Black,$29.0,$0,Black,['One Size'],"['Cotton twill 5 panel snapback', 'Direct embroidery', 'Plastic snap closure', 'Woven flag label', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100570073_BLK_1.jpg?v=1525286786', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100570073_BLK_2.jpg?v=1525286786']",11,men,1,https://obeyclothing.com/products/obey-worldwide-propaganda-ii-snapback?variant=2935530160138
Worldwide Propaganda II Snapback,100570073-Navy,$29.0,$0,Navy,['One Size'],"['Cotton twill 5 panel snapback', 'Direct embroidery', 'Plastic snap closure', 'Woven flag label', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100570073_NVY_1.jpg?v=1525286786', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100570073_NVY_2.jpg?v=1525286786']",11,men,1,https://obeyclothing.com/products/obey-worldwide-propaganda-ii-snapback?variant=2935530192906
Out There Snapback,100570076-White,$29.0,$0,White,['One Size'],"['Cotton twill 5 panel snapback', 'Custom screen print', 'Plastic snap closure', 'Woven flag label', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100570076_WHT_1.jpg?v=1526422845', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100570076_WHT_2.jpg?v=1526422845']",12,men,1,https://obeyclothing.com/products/obey-out-there-snapback?variant=2935530323978
Out There Snapback,100570076-Black,$29.0,$0,Black,['One Size'],"['Cotton twill 5 panel snapback', 'Custom screen print', 'Plastic snap closure', 'Woven flag label', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100570076_BLK_1.jpg?v=1526422845', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100570076_BLK_2.jpg?v=1526422845']",12,men,1,https://obeyclothing.com/products/obey-out-there-snapback?variant=2935530291210
Burden Snapback,100570074-Black,$29.0,$0,Black,['One Size'],"['Cotton twill 5 panel snapback', 'Embroidered patch', 'Plastic snap closure', 'Woven flag label', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100570074_BLK_1.jpg?v=1525286907', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100570074_BLK_2.jpg?v=1525286912']",13,men,1,https://obeyclothing.com/products/obey-burden-snapback?variant=2935530258442
Classic Patch Snapback,100510054-Black,$26.0,$0,Black,['One Size'],"['Cotton / polyester twill 6 panel snapback', 'Embroidered patch', 'Plastic snap closure', 'Woven flag label', '60% Cotton / 40% Polyester']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100510054_BLK_1.jpg?v=1525286549', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100510054_BLK_2.jpg?v=1525286555']",14,men,1,https://obeyclothing.com/products/obey-classic-patch-snapback?variant=2935530029066
Classic Patch Snapback,100510054-Burgundy,$26.0,$0,Burgundy,['One Size'],"['Cotton / polyester twill 6 panel snapback', 'Embroidered patch', 'Plastic snap closure', 'Woven flag label', '60% Cotton / 40% Polyester']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100510054_BUR_1.jpg?v=1525286566', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100510054_BUR_2.jpg?v=1525286571']",14,men,1,https://obeyclothing.com/products/obey-classic-patch-snapback?variant=2935530061834
Classic Patch Snapback,100510054-Olive,$26.0,$0,Olive,['One Size'],"['Cotton / polyester twill 6 panel snapback', 'Embroidered patch', 'Plastic snap closure', 'Woven flag label', '60% Cotton / 40% Polyester']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100510054_OLV_1.jpg?v=1525286580', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100510054_OLV_2.jpg?v=1525286585']",14,men,1,https://obeyclothing.com/products/obey-classic-patch-snapback?variant=2935530094602
Respect Bucket Hat,100520014-Coral,$31.0,$0,Coral,['One Size'],"['Washed cotton twill bucket hat', 'Direct embroidery', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100520014_CRL_1.jpg?v=1525111275', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100520014_CRL_2.jpg?v=1525111279']",15,men,1,https://obeyclothing.com/products/obey-respect-bucket-hat?variant=2935529963530
Respect Bucket Hat,100520014-Natural,$31.0,$0,Natural,['One Size'],"['Washed cotton twill bucket hat', 'Direct embroidery', '100% Cotton']","['https://cdn.shopify.com/s/files/1/0832/5243/products/100520014_NAT_1.jpg?v=1525111461', 'https://cdn.shopify.com/s/files/1/0832/5243/products/100520014_NAT_2.jpg?v=1525111469']",15,men,1,https://obeyclothing.com/products/obey-respect-bucket-hat?variant=2935529996298
