产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品评论,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Expedition II Trucker,#GB71719011-BLKVEG,$14.95,$0,black vegas,['1Sz'],"['Cotton / polyester mixed fabrication.', 'Flat bill.', 'Front woven patch.', 'Snapback closure.', 'One size fits all.']",['https://cdn.shopify.com/s/files/1/2516/3312/products/Globe_Brand_clothing_gb71719011_blkveg_2048x.jpg?v=1529109222'],1,all,1,https://us.globebrand.com/collections/hats/products/globe-brand-expedition-ii-trucker-hat
Blazed Beanie,#GB71839008-CRRT,$14.95,$0,carrot,['1Sz'],"['Acrylic fine gauge knit.', 'Woven patch detail.', 'One size fits all.']",['https://cdn.shopify.com/s/files/1/2516/3312/products/Globe_Brand_clothing_gb71839008_crrt_2048x.jpg?v=1533335733'],9,all,1,https://us.globebrand.com/collections/hats/products/globe-brand-blazed-beanie-carrot
Halladay Beanie,#GB71139016-WINEMRL,$14.95,$0,wine marle,['Single'],"['Acrylic rib knit.', 'One size fits all.']",['https://cdn.shopify.com/s/files/1/2516/3312/products/Globe_Brand_clothing_gb71139016_winemrl_2048x.jpg?v=1529108170'],10,all,1,https://us.globebrand.com/collections/hats/products/globe-brand-halladay-beanie
Ryley Beanie,#GB71339009-ARMNEP,$14.95,$0,army nep,['1Sz'],"['Wool / polyester rib knit.', 'Short fit.', 'One size fits all.']",['https://cdn.shopify.com/s/files/1/2516/3312/products/Globe_Brand_clothing_gb71339009_armnep_2048x.jpg?v=1529108332'],11,all,1,https://us.globebrand.com/collections/hats/products/globe-brand-ryley-army-nep-beanie
Blazed Beanie,#GB71839008-BLK,$14.95,$0,black,['1Sz'],"['Acrylic fine gauge knit.', 'Woven patch detail.', 'One size fits all.']",['https://cdn.shopify.com/s/files/1/2516/3312/products/Globe_Brand_clothing_gb71839008_blk_2048x.jpg?v=1533335471'],8,all,1,https://us.globebrand.com/collections/hats/products/globe-brand-blazed-beanie-black
