产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品评论,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Woman Script Embroidered Cap,DZZ22554-black,£6.00,£8.00,black,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", 'ONE SIZE']","['https://i1.adis.ws/i/boohooamplience/dzz22554_black_xl', 'https://i1.adis.ws/i/boohooamplience/dzz22554_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/dzz22554_black_xl_2']",25,womens,2,https://www.boohoo.com/woman-script-embroidered-cap/DZZ22554.html
Cable Knit Hat & Scarf Set,DZZ03475-pale pink,£13.50,£18.00,pale pink,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", 'ONE SIZE.']","['https://i1.adis.ws/i/boohooamplience/dzz03475_pale pink_xl', 'https://i1.adis.ws/i/boohooamplience/dzz03475_pale pink_xl_1']",16,womens,2,https://www.boohoo.com/cable-knit-hat-scarf-set/DZZ03475.html
All Over Leopard Bakerboy,DZZ04702-natural,£7.50,£10.00,natural,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", 'ONESIZE.']","['https://i1.adis.ws/i/boohooamplience/dzz04702_natural_xl', 'https://i1.adis.ws/i/boohooamplience/dzz04702_natural_xl_1', 'https://i1.adis.ws/i/boohooamplience/dzz04702_natural_xl_2', 'https://i1.adis.ws/i/boohooamplience/dzz04702_natural_xl_3']",31,womens,2,https://www.boohoo.com/all-over-leopard-bakerboy/DZZ04702.html
Ribbon Trim Fedora Hat,DZZ87213-black,£7.50,£10.00,black,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", '90% Polyester 10% Cotton. Head circumference: 59cm/23.25"". Total brim circumference: 106cm/41.75"". Machine Washable. One size']","['https://i1.adis.ws/i/boohooamplience/dzz87213_black_xl', 'https://i1.adis.ws/i/boohooamplience/dzz87213_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/dzz87213_black_xl_2', 'https://i1.adis.ws/i/boohooamplience/dzz87213_black_xl_3']",22,womens,2,https://www.boohoo.com/ribbon-trim-fedora-hat/DZZ87213.html
Cable Knit Hat & Scarf Set,DZZ03476-red,£13.50,£18.00,red,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", 'ONE SIZE.']","['https://i1.adis.ws/i/boohooamplience/dzz03476_red_xl', 'https://i1.adis.ws/i/boohooamplience/dzz03476_red_xl_2', 'https://i1.adis.ws/i/boohooamplience/dzz03476_red_xl_3']",34,womens,2,https://www.boohoo.com/cable-knit-hat-scarf-set/DZZ03476.html
