产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品评论,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Baker boy cap,0644977005,£15,£0,Brown and blue plaid,['ONESIZE'],"['Extra, Extra! Get that retro wibe with this timeless newsboy cap or baker boy hat (call it what you will). This look is more than newsworthy.', 'Cotton 100%']","['https://lp.monki.com/app002prod?set=source[02_0644977_005_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[1.0]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0644977_005_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0644977_005_995],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",3,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-brown.0644977005.html"
Peek-a-boo beanie,0499152004,£6,£0,Sports car red,['ONESIZE'],"[""Feelin' cold? This beanie says it all for you. With a super soft blend feel and statement eye embroidery."", 'Acrylic 100%']","['https://lp.monki.com/app002prod?set=source[02_0499152_004_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",1,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.peek-a-boo-beanie-red.0499152004.html"
Baker boy cap,0644977001,£15,£0,Black magic,['ONESIZE'],"['Extra, Extra! Get that retro wibe with this timeless newsboy cap or baker boy hat (call it what you will). This look is more than newsworthy.', 'Cotton 99%; Elastane 1%']","['https://lp.monki.com/app002prod?set=source[02_0644977_001_102],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",3,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-black.0644977001.html"
Baker boy cap,0644977004,£15,£0,Blue denim,['ONESIZE'],"['Extra, Extra! Get that retro wibe with this timeless newsboy cap or baker boy hat (call it what you will). This look is more than newsworthy.', 'Wool 60%; Polyester 30%; Other fibres 10%']","['https://lp.monki.com/app002prod?set=source[02_0644977_004_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[1.0]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0644977_004_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",3,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-blue.0644977004.html"
Super-soft knitted beanie,0628416005,£8,£0,Grey rocks,['ONESIZE'],"['Put a hat on! Keep that amazing brain of yours warm with this knitted beanie.', 'Polyester 100%']","['https://lp.monki.com/app002prod?set=source[02_0628416_005_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",5,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.knitted-beanie-grey.0628416005.html"
Peek-a-boo beanie,0499152001,£6,£0,Black magic,['ONESIZE'],"[""Feelin' cold? This beanie says it all for you. With a super soft blend feel and statement eye embroidery."", 'Acrylic 100%']","['https://lp.monki.com/app002prod?set=source[02_0499152_001_001],type[PRODUCT],device[hdpi],quality[80],ImageVersion[null]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0499152_001_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",1,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.peek-a-boo-beanie-black.0499152001.html"
Baker boy cap,0644977007,£15,£0,Black magic,['ONESIZE'],"['Extra, Extra! Get that retro wibe with this timeless newsboy cap or baker boy hat (call it what you will). This look is more than newsworthy.', 'Wool 60%; Polyester 30%; Other fibres 10%']","['https://lp.monki.com/app002prod?set=source[02_0644977_007_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",3,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-black.0644977007.html"
Baker boy cap,0644977003,£15,£0,Dusty pink,['ONESIZE'],"['Extra, Extra! Get that retro wibe with this timeless newsboy cap or baker boy hat (call it what you will). This look is more than newsworthy.', 'Cotton 99%; Elastane 1%']","['https://lp.monki.com/app002prod?set=source[02_0644977_003_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0644977_003_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",3,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-pink.0644977003.html"
Super-soft knitted beanie,0628416004,£8,£0,Black magic,['ONESIZE'],"['Put a hat on! Keep that amazing brain of yours warm with this knitted beanie.', 'Polyester 100%']","['https://lp.monki.com/app002prod?set=source[02_0628416_004_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",5,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.knitted-beanie-black.0628416004.html"
