产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
COLLUSION Unisex fisherman rib beanie in neon green,11182687,¥36.04,¥0,neon-green,"['xl', 'l']","['For head-to-toe looks', 'Turn-up brim', 'Small logo detail', 'Unisex style', 'Ribbed knit', 'Ticks all your comfort boxes', 'Main: 100% Acrylic.']","['https:https://images.asos-media.com/products/collusion-unisex-fisherman-rib-beanie-in-neon-green/11182687-1-neongreen?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/collusion-unisex-fisherman-rib-beanie-in-neon-green/11182687-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/collusion-unisex-fisherman-rib-beanie-in-neon-green/11182687-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/collusion-unisex-fisherman-rib-beanie-in-neon-green/11182687-4?$XXL$&wid=870&fit=constrain']",1,women,1,https://www.asos.com/collusion/collusion-unisex-fisherman-rib-beanie-in-neon-green/prd/11182687?clr=neon-green
Burton Snowboards Kactusbunch Beanie in Green,10455352,¥207.20,¥0,green,"['xl', 'l']","['Welcome to the cosy life', 'Plain design', 'Turn-up brim', 'Branded tab', 'Stretch knit', 'Soft-touch style', 'Body: 100% Acrylic.']","['https:https://images.asos-media.com/products/burton-snowboards-kactusbunch-beanie-in-green/10455352-1-green?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/burton-snowboards-kactusbunch-beanie-in-green/10455352-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/burton-snowboards-kactusbunch-beanie-in-green/10455352-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/burton-snowboards-kactusbunch-beanie-in-green/10455352-4?$XXL$&wid=870&fit=constrain']",13,women,1,https://www.asos.com/burton-snowboards/burton-snowboards-kactusbunch-beanie-in-green/prd/10455352?clr=green
Burton Snowboards Kactusbunch Beanie in Beige,10455339,¥207.20,¥0,stone,"['xl', 'l']","['Welcome to the cosy life', 'Plain design', 'Turn-up brim', 'Branded tab', 'Stretch knit', 'Soft-touch style', 'Body: 100% Acrylic.']","['https:https://images.asos-media.com/products/burton-snowboards-kactusbunch-beanie-in-beige/10455339-1-stone?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/burton-snowboards-kactusbunch-beanie-in-beige/10455339-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/burton-snowboards-kactusbunch-beanie-in-beige/10455339-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/burton-snowboards-kactusbunch-beanie-in-beige/10455339-4?$XXL$&wid=870&fit=constrain']",14,women,1,https://www.asos.com/burton-snowboards/burton-snowboards-kactusbunch-beanie-in-beige/prd/10455339?clr=stone
Billabong Snowball Beanie in White,10458820,¥270.27,¥0,white,"['xl', 'l']","['Throw this on when the temperature dips', 'Turn-up brim', 'Billabong tab', 'Pom-pom top', 'Cute, right?', 'Stretch knit', 'Soft-touch style', 'Fabric: 100% Acrylic.']","['https:https://images.asos-media.com/products/billabong-snowball-beanie-in-white/10458820-1-white?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/billabong-snowball-beanie-in-white/10458820-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/billabong-snowball-beanie-in-white/10458820-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/billabong-snowball-beanie-in-white/10458820-4?$XXL$&wid=870&fit=constrain']",10,women,1,https://www.asos.com/billabong/billabong-snowball-beanie-in-white/prd/10458820?clr=white
