产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Reversible Retro Beanie,17710-1528,$30.00,$0,Steel Onyx/Denim,['ONE'],"[""This double-layer hat has two sides, but luckily they're both relaxed and fun."", 'Reversible', 'Double Layer Knit', '100% Acrylic', '0lbs 2.47oz (70g)']","['https://s7d2.scene7.com/is/image/marmot/17710_1528_f?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/17710_1528_alt2?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/17710_1528_alt3?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/17710_1528_alt4?hei=1200&wid=1000&resMode=sharp&qlt=94']",1,men,1,https://www.marmot.com/reversible-retro-beanie/17710.html?dwvar_17710_size=0085ONE&dwvar_17710_color=1528
Watch Cap,15420-6005,$30.00,$0,Sienna Red,['ONE'],"[""The Watch Cap is forever on the lookout for wholesome winter diversions. The hat's acrylic fabric is durable and warm and features an updated double layer knit. Marmot logo is situated on the side."", 'Ribbed Knit With Cuff', '100% Acrylic', '0lbs 2.2oz (62.4g)']","['https://s7d2.scene7.com/is/image/marmot/15420_6005_f?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/15420_6005_alt1?hei=1200&wid=1000&resMode=sharp&qlt=94']",2,men,1,https://www.marmot.com/watch-cap/15420.html?dwvar_15420_color=6005&dwvar_15420_size=0085ONE
Spike Hat,1586-1913,$20.00,$0,Grey Storm/Steel Onyx,['ONE'],"['Soft, wool blend fabric defines this super-comfy skullcap, ready for winter, and available in six cool color combos.', 'Micro-Fleece Headband Lining', '70% Acrylic 30% Wool', 'Micro Fleece', '0lbs 1.8oz (51g)']","['https://s7d2.scene7.com/is/image/marmot/1586_1913_f?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/1586_1913_alt1?hei=1200&wid=1000&resMode=sharp&qlt=94']",5,men,1,https://www.marmot.com/spike-hat/1586.html?dwvar_1586_color=1913&dwvar_1586_size=0000ONE
Watch Cap,15420-2772,$30.00,$0,Sapphire,['ONE'],"[""The Watch Cap is forever on the lookout for wholesome winter diversions. The hat's acrylic fabric is durable and warm and features an updated double layer knit. Marmot logo is situated on the side."", 'Ribbed Knit With Cuff', '100% Acrylic', '0lbs 2.2oz (62.4g)']","['https://s7d2.scene7.com/is/image/marmot/15420_2772_f?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/15420_2772_alt1?hei=1200&wid=1000&resMode=sharp&qlt=94']",2,men,1,https://www.marmot.com/watch-cap/15420.html?dwvar_15420_color=2772&dwvar_15420_size=0085ONE
Retro Pom Hat,17410-2772,$30.00,$0,Sapphire,['ONE'],"['This old-school look is a classic. The Retro Pom Hat steals the show as a causal snowsports hat.', '2.5"" Rib-knit Cuff with Pom-pom Styling', '100% Acrylic', '0lbs 2.4oz (68g)']","['https://s7d2.scene7.com/is/image/marmot/17410_2772_f?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/17410_2772_alt1?hei=1200&wid=1000&resMode=sharp&qlt=94']",6,men,1,https://www.marmot.com/retro-pom-hat/17410.html?dwvar_17410_color=2772&dwvar_17410_size=0085ONE
