产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Southeast Hat,Style #2354-BLK,$30.00,$0,Black,['onesize'],"[""Part of HippyTree's Nature Photography Collective"", 'Five panel mid-profile design with mesh back', 'Adjustable snap back', 'Sublimated photo print on crown', 'Debossed leather label on crown', 'Woven label on back', 'Printed interior taped seams', '50% organic cotton, 50% polyester']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/southeast-hat-black-1-b1b6/49f0460b77c4003bbefb2d17c6880b50.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/southeast-hat-black-2-d2dd/06276e159302b1f58ef1f030326eeaa2.jpg']",9,all,1,https://www.hippytree.com/shop/new-arrivals/southeast-hat/black/
Preserve Hat,Style #2365-ARM,$36.00,$0,Army,['onesize'],"['Unstructured six panel mid-profile design', 'Heavy weight brushed twill exterior', 'Adjustable strap back with clip closure', 'Debossed leather patch on crown', 'Woven label on back', 'Embroidered eyelet vents', 'Printed interior taped seams', '100% cotton']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-army-1-5353/e3ff59655ad33078f44563a493ba0aae.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-army-2-33df/ef16cbfa6ee0b59ca83e8de8427ca962.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-army-3-5e75/2ff3c3e315ad6c983f2d805acc019bc2.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/preserve-hat-army-4-ec60/fd5a7b1c1ed8d5477e2df41cfb0e4cbc.jpg']",5,all,1,https://www.hippytree.com/shop/new-arrivals/preserve-hat/army/
Peaks Hat,Style #2367-ORN,$36.00,$0,Orange,['onesize'],"['Five panel mid-profile design with flex visor', 'Eco twill exterior', 'Adjustable strap back with clip closure', 'Printed twill patch on crown', 'Woven label on back', 'Embroidered eyelet vents', 'Custom braid', 'Printed interior taped seams', '65% recycled polyester, 35% organic cotton']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-orange-1-aa39/d481594765e84cc53fb2ffddf03a21af.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-orange-2-7f21/407c6b8639aa770e6b453670ca6d72fe.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-orange-3-359e/9fc29784c6a4a364204c510586062c4f.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-orange-4-8d2c/c4f7a4de771737a59d39af0b8be9d89e.jpg']",7,all,1,https://www.hippytree.com/shop/new-arrivals/peaks-hat/orange/
Peaks Hat,Style #2367-NVY,$36.00,$0,Navy,['onesize'],"['Five panel mid-profile design with flex visor', 'Eco twill exterior', 'Adjustable strap back with clip closure', 'Printed twill patch on crown', 'Woven label on back', 'Embroidered eyelet vents', 'Custom braid', 'Printed interior taped seams', '65% recycled polyester, 35% organic cotton']","['https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-navy-1-43e5/1064d03b6a1be4646f9289b881a678b2.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-navy-2-91d4/345beebfee0378dd16a83f38865a1cd3.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-navy-3-6104/31e9bb45cbf547978be6f5a03d393721.jpg', 'https://d13parxpvzk8pe.cloudfront.net/media/CACHE/images/products/peaks-hat-navy-4-2a01/8552147c2989c527d4c09a7f60a6868e.jpg']",6,all,1,https://www.hippytree.com/shop/new-arrivals/peaks-hat/navy/
