产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Black Pom Pom Knitted Beret,598834001,£6.99,£9.99,Black,['onesize'],"['Bring up your casual looks with this black knitted beret.', 'Pom pom detail top', 'Knitted design', 'Soft touch', 'Body:100% Acrylic.', 'Trim: Artificial Fur Pile 62% Modacrylic, 38% Acrylic.', 'Artificial fur backing: 100% Polyester.', 'Hand wash only.']","['https://media3.newlookassets.com/i/newlook/598834001.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/598834001D1.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/598834001D2.jpg?strip=true&qlt=80&w=1400']",15,womens,1,https://www.newlook.com/uk/womens/accessories/hats/black-pom-pom-knitted-beret/p/598834001
Yellow Chain Print Ribbon Floppy Hat ,607275189,£12.99,£0,Orange/Yellow Pattern,['onesize'],"['Channel ladylike elegance in this floppy hat.', 'Woven straw finish', 'Chain print ribbon', 'Wide floppy design', 'Whole: 62% Paper, 38% Polyester.', 'Upper: 100% Polyester.']","['https://media2.newlookassets.com/i/newlook/607275189.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/607275189D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/607275189D2.jpg?strip=true&qlt=80&w=1400']",1,womens,1,https://www.newlook.com/uk/womens/accessories/hats/yellow-chain-print-ribbon-floppy-hat-/p/607275189
Brown Faux Leopard Fur Lined Trapper Hat,608183029,£10.49,£14.99,Brown Pattern,['onesize'],"['Keep your ears warm this winter with this lined trapper hat.', 'Faux leopard fur lining', 'Tie strings', 'Trapper style', 'Soft knitted exterior', '100% Polyester.', 'Hand wash only.']","['https://media3.newlookassets.com/i/newlook/608183029.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/608183029D1.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/608183029D2.jpg?strip=true&qlt=80&w=1400']",8,womens,1,https://www.newlook.com/uk/womens/accessories/hats/brown-faux-leopard-fur-lined-trapper-hat/p/608183029
Black Bouclé Borg Bucket Hat,614749101,£9.09,£12.99,Black,['onesize'],"['Step up your casual looks in this sassy bucket hat. Style with a black borg jacket to complement.', 'Bouclé borg finish', 'Wide brim', 'Slouch style', 'Outer and Lining: 100% Polyester.', 'Machine washable.']","['https://media3.newlookassets.com/i/newlook/614749101.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/614749101D1.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/614749101D2.jpg?strip=true&qlt=80&w=1400']",9,womens,1,https://www.newlook.com/uk/womens/accessories/hats/black-boucl%C3%A9-borg-bucket-hat/p/614749101
White Stripe Band Floppy Hat,600054469,£12.99,£0,Red Pattern,['onesize'],"['Stay stylish and shaded from this sun in this floppy hat.', 'Woven straw finish', 'Stripe band design', 'Wide floppy design', '62% Paper, 38% Polyester']","['https://media3.newlookassets.com/i/newlook/600054469.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/600054469M1.jpg?strip=true&qlt=80&w=1400']",6,womens,1,https://www.newlook.com/uk/womens/accessories/hats/red-stripe-band-floppy-hat/p/600054469
