产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Palm Angels Classic Logo Cap,PMLB003S192240131001,$122.0,$0,Black / White,['OS'],"['Cotton fabric', 'span>Embroidered logo on front and back', 'Back adjustable buckled stra', 'Style:  PMLB003S192240131001', 'Color: Black / White', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/PMLB003S192240131001-1.jpg?v=1547594077', 'http://cdn.shopify.com/s/files/1/0094/2252/products/PMLB003S192240131001-2.jpg?v=1547594077', 'http://cdn.shopify.com/s/files/1/0094/2252/products/PMLB003S192240131001-3.jpg?v=1547594077']",1,men,1,https://kith.com/products/palm-angels-classic-logo-cap-black-white
Palm Angels Rainbow Cap,PMLB003S192240571088,$131.0,$0,Black / Multi,['OS'],"['100% cotton', 'span>Adjustable strap on the back', 'span>Embroidered logo to the rear', 'span>Flat peak', 'Style:  PMLB003S192240571088', 'Color: Black / Multi', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/PMLB003S192240571088-1.jpg?v=1547594057', 'http://cdn.shopify.com/s/files/1/0094/2252/products/PMLB003S192240571088-2.jpg?v=1547594057', 'http://cdn.shopify.com/s/files/1/0094/2252/products/PMLB003S192240571088-3.jpg?v=1547594057']",2,men,1,https://kith.com/products/palm-angels-rainbow-cap-black-multi
Kith x Tommy Hilfiger Crest Beanie,KH5180-106,$50.0,$0.0,Forest,"['N/A', 'OS']","['Cotton fabric', 'Classic rib knit', 'Embroidered crest logo on front', 'Style: KH5180-106', 'Color: Forest', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_8837_1a754710-da50-4baa-b395-3f0ce1f0e0bd.jpg?v=1536342906', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_8838_216f5dd6-18ba-462c-8414-a306d4a1b739.jpg?v=1536342908', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_8839.jpg?v=1536342910']",3,men,1,https://kith.com/products/kith-x-tommy-hilfiger-crest-beanie-forest
Kith x Tommy Hilfiger Crest Beanie,KH5180-102,$50.0,$0.0,Navy,"['N/A', 'OS']","['Cotton fabric', 'Classic rib knit', 'Embroidered crest logo on front', 'Style: KH5180-102', 'Color: Navy', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_8834_782f5954-17f0-436f-a4a2-e6ffb8e52bf8.jpg?v=1536342938', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_8835_58196c08-d824-455e-ab23-8e912f6a6613.jpg?v=1536342939', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_8836_d24dd246-4a18-4ab5-9d20-7533e1873ce1.jpg?v=1536342943']",4,men,1,https://kith.com/products/kith-x-tommy-hilfiger-crest-beanie-navy
Kith x Tommy Hilfiger Crest Beanie,KH5180-109,$50.0,$0.0,Burgundy,"['N/A', 'OS']","['Cotton fabric', 'Classic rib knit', 'Embroidered crest logo on front', 'Style: KH5180-109', 'Color: Burgundy', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_8845_230ba568-2631-41c9-8470-bc44afd5c6f4.jpg?v=1536342844', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_8846_0afad0d8-d182-4455-b391-52a9f328c43d.jpg?v=1536342845', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_8847.jpg?v=1536342850']",5,men,1,https://kith.com/products/kith-x-tommy-hilfiger-crest-beanie-burgundy
Heron Preston Racing Baseball Cap,HMLB001S197660671020,$130.0,$0.0,Black,['OS'],"['Cotton fabric', '6-panel construction', 'Embroidered Heron logo on front', 'Adjustable strapback closure with metal hardware', 'Style: HMLB001S197660671020', 'Color: Black', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/HMLB001S197660671020-1.jpg?v=1546442424', 'http://cdn.shopify.com/s/files/1/0094/2252/products/HMLB001S197660671020-2.jpg?v=1546442424', 'http://cdn.shopify.com/s/files/1/0094/2252/products/HMLB001S197660671020-3.jpg?v=1546442424']",6,men,1,https://kith.com/products/heron-preston-racing-baseball-cap-black
Heron Preston x Carhartt Beanie,HMLC002F187200352496,$256.0,$0.0,Bordeaux Crystal,['OS'],"['Cotton fabric', 'Ribbed beanie', 'Carhartt and Heron Preston patch on front', 'Style: HMLC002F187200352496', 'Color: Bordeaux Crystal', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/prestoncarhart-29.jpg?v=1545166222', 'http://cdn.shopify.com/s/files/1/0094/2252/products/prestoncarhart-28.jpg?v=1545166222', 'http://cdn.shopify.com/s/files/1/0094/2252/products/prestoncarhart-32.jpg?v=1545166222']",7,men,1,https://kith.com/products/hp-x-carhartt-beanie-bordeaux-crystal
Heron Preston x Carhartt Beanie,HMLC002F187200351096,$256.0,$0.0,Black Crystal,['OS'],"['Cotton fabric', 'Ribbed beanie', 'Carhartt and Heron Preston patch on front', 'Style: HMLC002F187200351096', 'Color: Black Crystal', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/prestoncarhart-31.jpg?v=1545166275', 'http://cdn.shopify.com/s/files/1/0094/2252/products/prestoncarhart-30.jpg?v=1545166275', 'http://cdn.shopify.com/s/files/1/0094/2252/products/prestoncarhart-33.jpg?v=1545166275']",8,men,1,https://kith.com/products/hp-x-carhartt-beanie-black-crystal
Kith Serif Beanie,KH9290-106,$50.0,$0.0,Forest,['OS'],"['Acrylic fabric', 'Embroidered Kith serif logo on front', 'Style: KH9290-106', 'Color: Forest', 'Material: 100% Acrylic']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_3802_a8a44e18-0318-43db-a648-8d3d8b70fb1e.jpg?v=1544740272', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_3803_c3dd2535-c276-410a-a95f-ebfd91c3b923.jpg?v=1544740274']",9,men,1,https://kith.com/products/kith-serif-beanie-forest
Kith Serif Beanie,KH9290-105,$50.0,$0.0,Shark,['OS'],"['Acrylic fabric', 'Embroidered Kith serif logo on front', 'Style: KH9290-105', 'Color: Shark', 'Material: 100% Acrylic']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_3804.jpg?v=1544740292', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_3805_7c659158-1ef2-4a6b-8e66-c7bf39bc8ef7.jpg?v=1544740295']",10,men,1,https://kith.com/products/kith-serif-beanie-shark
Kith Serif Beanie,KH9290-100,$50.0,$0.0,Black,['OS'],"['Acrylic fabric', 'Embroidered Kith serif logo on front', 'Style: KH9290-100', 'Color: Black', 'Material: 100% Acrylic']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_3804-2.jpg?v=1544740249', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_3805-2.jpg?v=1544740252']",11,men,1,https://kith.com/products/kith-serif-beanie-black
Kith Crest Flat Cap,KH5188-110,$60.0,$0.0,Navy / Red,['OS'],"['Cotton twill fabric', 'Plaid crown and brim', 'Embroidered logo', 'Strap back closure', 'Gold hardware', 'Style: KH5188-110', 'Color: Navy / Red', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1155_bb04b097-7727-4aff-bf6f-3610f173beb9.jpg?v=1540494665', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1156_affcdafa-ab5a-448e-b62d-1357c2d697b1.jpg?v=1540494667', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1157_ed48607c-b599-495e-95b3-aea3e1c809c4.jpg?v=1540494669']",12,men,1,https://kith.com/products/kith-crest-flat-cap-navy-red
Kith Crest Flat Cap,KH5188-102,$60.0,$0.0,Navy / Blue,['OS'],"['Cotton twill fabric', 'Plaid crown and brim', 'Embroidered logo', 'Strap back closure', 'Gold hardware', 'Style: KH5188-102', 'Color: Navy / Blue', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1159_adbae6bb-21b5-4319-8ebd-68743f21001a.jpg?v=1540477429', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1160_fc37d6dc-9143-4f3f-95ac-082e23654a3f.jpg?v=1540477431', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1161_de77a7c3-a294-40ab-b678-109b49265380.jpg?v=1540477433']",13,men,1,https://kith.com/products/kith-crest-flat-cap-navy-blue
Kith Wreath Blackwatch Cap,KH5183-109,$60.0,$0.0,Navy / Blue,['OS'],"['Cotton twill fabric', 'Plaid crown and brim', 'Custom woven patch', 'Gold hardware', 'Style: KH5183-109', 'Color: Navy / Blue', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1141_eaf2acac-307e-425d-89c5-95bb849586f4.jpg?v=1540498326', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1142_a3de4112-4d17-4bea-9574-46457cc15467.jpg?v=1540498328', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1143_d2d7a3b4-111a-4d28-ab4d-e237b31e3b63.jpg?v=1540498330']",14,men,1,https://kith.com/products/kith-wreath-blackwatch-cap-navy-blue
