产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Peek-a-boo beanie,0499152001,£6,£0,Black magic,['ONESIZE'],"[""Feelin' cold? This beanie says it all for you. With a super soft blend feel and statement eye embroidery."", 'Acrylic 100%']","['https://lp.monki.com/app002prod?set=source[02_0499152_001_001],type[PRODUCT],device[hdpi],quality[80],ImageVersion[null]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0499152_001_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",1,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.peek-a-boo-beanie-black.0499152001.html"
Faux shearling beret,0662507001,£18,£0,Milk tea beige,['ONESIZE'],"['This faux shearling beret adds some heat to your look (and your head). Perfect for when you want to channel chic French style, but don&rsquo;t want to compromise your style because of the cold.', 'Acrylic 46%; Modacrylic 36%; Polyester 20%']","['https://lp.monki.com/app002prod?set=source[02_0662507_001_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0662507_001_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",7,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.faux-shearling-beret-beige.0662507001.html"
Peek-a-boo beanie,0499152004,£6,£0,Sports car red,['ONESIZE'],"[""Feelin' cold? This beanie says it all for you. With a super soft blend feel and statement eye embroidery."", 'Acrylic 100%']","['https://lp.monki.com/app002prod?set=source[02_0499152_004_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",1,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.peek-a-boo-beanie-red.0499152004.html"
Baker boy cap,0644977007,£15,£0,Black magic,['ONESIZE'],"['Extra, Extra! Get that retro wibe with this timeless newsboy cap or baker boy hat (call it what you will). This look is more than newsworthy.', 'Wool 60%; Polyester 30%; Other fibres 10%']","['https://lp.monki.com/app002prod?set=source[02_0644977_007_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",4,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-black.0644977007.html"
Baker boy cap,0644977006,£15,£0,Checked to perfection,['ONESIZE'],"['Extra, Extra! Get that retro wibe with this timeless newsboy cap or baker boy hat (call it what you will). This look is more than newsworthy.', 'Cotton 100%']","['https://lp.monki.com/app002prod?set=source[02_0644977_006_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[1.0]&call=url[file:/product/main]']",4,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-white.0644977006.html"
Classic beret,0559910012,£8,£0,Golden beige,['ONESIZE'],"['This classic wool beret will add a touch of je ne sais quoi to any outfit. Looks great in black and white, preferably with subtitles.&nbsp; colour:', 'Wool 90%; Polyamide 10%']","['https://lp.monki.com/app002prod?set=source[02_0559910_012_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",3,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beret-beige.0559910012.html"
