产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Chunky Knit Bobble Beanie,MZZ57657-black,£3.50,£5.00,black,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", '100% Acrylic. Chunky Knit Beanie. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz57657_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz57657_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz57657_black_xl_2']",7,mens,1,https://www.boohoo.com/chunky-knit-bobble-beanie/MZZ57657.html?color=105
Red MAN Script Embroidered Cap,MZZ54766-black,£5.60,£8.00,black,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", '100% Cotton. Red MAN Script Embroidered Cap. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz54766_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz54766_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz54766_black_xl_2']",1,mens,1,https://www.boohoo.com/red-man-script-embroidered-cap/MZZ54766.html
Rib Knit Beanie Hat,MZZ57663-black,£3.50,£5.00,black,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", '100% Acrylic. Rib Knit Beanie Hat. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz57663_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz57663_black_xl_1']",9,mens,1,https://www.boohoo.com/rib-knit-beanie-hat/MZZ57663.html?color=105
Mesh Back Trucker Cap with Snap Adjuster,MZZ63334-black,£4.20,£6.00,black,['onesize'],"['Bring your accessories a-game with boohooMAN', ""Add attitude to your look with the latest from our accessories edit. Give a heads up to slogan snapbacks and beanies, layer up in a statement scarf or snood and carry your everyday essentials in a heavy duty backpack. Fashion's finishing touches are all in the accessories."", '100% Polyester. Mesh Back Trucker Cap with Snap Adjuster. Black Panels with Black Mesh. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz63334_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz63334_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz63334_black_xl_2']",8,mens,1,https://www.boohoo.com/mesh-back-trucker-cap-with-snap-adjuster/MZZ63334.html
Tartan Cap,MZZ55713-red,£4.00,£8.00,red,['onesize'],"['Bring your accessories a-game with boohooMAN', ""Add attitude to your look with the latest from our accessories edit. Give a heads up to slogan snapbacks and beanies, layer up in a statement scarf or snood and carry your everyday essentials in a heavy duty backpack. Fashion's finishing touches are all in the accessories."", '100% Polyester. Tartan Cap. Size ONESIZE.']","['https://i1.adis.ws/i/boohooamplience/mzz55713_red_xl', 'https://i1.adis.ws/i/boohooamplience/mzz55713_red_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz55713_red_xl_2']",13,mens,1,https://www.boohoo.com/tartan-cap/MZZ55713.html
