产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
ITTY BITTY TRUCKER HAT,SP9196013|OLV|ONE,$25.00,$0,OLIVE,['ONE SIZE'],"['O-Neill Men-s trucker hat', 'Mid-profile, 5 panel design', 'Structured foam design with back mesh panels', 'Snapback closure', 'Front printed label', 'Rear flag label', '65% Cotton, 35% Poly\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/ittybitty_SP9196013_olv_f_381e917d-8c68-4d41-8d5f-2745a9832450.jpg?v=1545169574'],1,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196013-olv-itty-bitty
ITTY BITTY TRUCKER HAT,SP9196013|DCH|ONE,$25.00,$0,ASPHALT,['ONE SIZE'],"['O-Neill Men-s trucker hat', 'Mid-profile, 5 panel design', 'Structured foam design with back mesh panels', 'Snapback closure', 'Front printed label', 'Rear flag label', '65% Cotton, 35% Poly\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/ittybitty_SP9196013_dch_f_829476e9-6eeb-4eef-a72c-64ed72273507.jpg?v=1545169573'],2,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196013-dch-itty-bitty
COUNTRY TRUCKER HAT,SP9196011|BLK|ONE,$28.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s trucker hat', 'Mid-profile, 6 panel design', 'Structured foam design with back mesh panels', 'Snapback closure', 'Front logo art', 'Rear flag label', '65% Cotton, 35% Poly\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/countrytrucker_SP9196011_blk_f_0ee79d1c-8e6b-4973-9c9d-ba6ea84946be.jpg?v=1545169566'],3,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196011-blk-country-trucker
COUNTRY TRUCKER HAT,SP9196011|OCN|ONE,$28.00,$0,DARK OCEAN,['ONE SIZE'],"['O-Neill Men-s trucker hat', 'Mid-profile, 6 panel design', 'Structured foam design with back mesh panels', 'Snapback closure', 'Front logo art', 'Rear flag label', '65% Cotton, 35% Poly\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/countrytrucker_SP9196011_ocn_f_312d4209-4040-4060-951a-b8e937d5a718.jpg?v=1545169567'],4,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196011-ocn-country-trucker
SONOMA HAT,15192004|NAT|ONE,$19.50,$0,NATURAL,['ONE'],"['O-Neill Men-s lifeguard hat', 'Triple stack logo patch', 'Drawcord with cord lock', 'Brim across: 17', '100% Sea straw']","['https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_f.jpg?v=1548186241', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_3.jpg?v=1548186241', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonoma_15192004_nat_f.jpg?v=1548186241', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomahat_15192004_nat_1.jpg?v=1548186241']",5,mens,1,https://us.oneill.com/collections/mens-hats/products/15192004-nat-sonoma-hat
SONOMA PRINTS HAT,SP8192003|ACA|ONE,$28.00,$0,ACAI,['ONE SIZE'],"['O-Neill Men-s straw lifeguard hat', 'Front logo patch', 'Printed upper visor detail', 'Drawcord with cord lock', '100% Straw ']","['https://cdn.shopify.com/s/files/1/2034/7683/products/sonomaprints_SP8192003_aca_f_4e34f559-7ec1-45c7-8b0f-21fa92808703.jpg?v=1545168560', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomaprints_SP8192003_aca_b.jpg?v=1547840292']",6,mens,1,https://us.oneill.com/collections/mens-hats/products/sp8192003-aca-sonoma-prints
SONOMA PRINTS HAT,SP8192003|OLV|ONE,$28.00,$0,OLIVE,['ONE SIZE'],"['O-Neill Men-s straw lifeguard hat', 'Front logo patch', 'Printed upper visor detail', 'Drawcord with cord lock', '100% Straw\n ']","['https://cdn.shopify.com/s/files/1/2034/7683/products/sonomaprints_SP8192003_olv_f_4ce0c973-2320-48fe-a315-08483975ae8c.jpg?v=1545168562', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomaprints_SP8192003_olv_b.jpg?v=1547840341', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sonomaprints_SP8192003_cam_f.jpg?v=1548186215']",7,mens,1,https://us.oneill.com/collections/mens-hats/products/sp8192003-olv-sonoma-prints
SUNS OUT HAT,SP8792001|NAT|ONE,$26.00,$0,NATURAL,['ONE'],"['Jack O-Neill lifeguard hat', 'Logo patch', 'Drawcord with cord lock', '100% Sea straw']","['https://cdn.shopify.com/s/files/1/2034/7683/products/sunsout_SP8792001_nat_f.jpg?v=1548186269', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sunsout_SP8792001_nat_1.jpg?v=1548186269', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sunsout_SP8792001_nat_3.jpg?v=1548186269', 'https://cdn.shopify.com/s/files/1/2034/7683/products/sunsout_SP8792001_nat_2.jpg?v=1548186269']",8,mens,1,https://us.oneill.com/collections/mens-hats/products/suns-out-hat
CLEAN & MEAN HAT,SP9196003|BUR|S/M,$26.00,$0,BURGUNDY,"['S/M', 'L/XL']","['O-Neill Men-s Flexfit hat', 'Structured, 6 panel design', '3D front logo embroidery', 'Rear word mark embroidery', '98% Cotton, 2% Elastane\n']","['https://cdn.shopify.com/s/files/1/2034/7683/products/clean_mean_SP9196003_bur_f_765a854c-6d3c-416e-b1b7-78f29b85db7f.jpg?v=1545169551', 'https://cdn.shopify.com/s/files/1/2034/7683/products/clean_mean_SP9196003_bur_b.jpg?v=1545262281']",9,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196003-bur-clean-mean
CLEAN & MEAN HAT,SP9196003|BLK|S/M,$26.00,$0,BLACK,"['S/M', 'L/XL']","['O-Neill Men-s Flexfit hat', 'Structured, 6 panel design', '3D front logo embroidery', 'Rear word mark embroidery', '98% Cotton, 2% Elastane\n']","['https://cdn.shopify.com/s/files/1/2034/7683/products/clean_mean_SP9196003_blk_f_30a38d97-02ef-481c-b74c-d10886449723.jpg?v=1545169550', 'https://cdn.shopify.com/s/files/1/2034/7683/products/clean_mean_SP9196003_blk_b.jpg?v=1545262276']",10,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196003-blk-clean-mean
