产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Kith x Versace Monogram Cap,VSICAP004-IT03395-I7,$325.00,$0,Black / White,['OS'],"['Cotton fabric', '6-panel construction', 'Metallic Gold printed cap', 'Kith and Versace Medusa logo botton on top', 'Greek-key design on strapback', 'Style:VSICAP004-IT03395-I7', 'Color:Black / White', 'Material:Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_5244_05b15653-ee0c-4d21-9cab-88e14361f32b_2048x.jpg?v=1550688873', 'https://cdn.shopify.com/s/files/1/0094/2252/products/Shot10_036_2048x.jpg?v=1550688873', 'https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_5245_7c2af0fc-42ca-4d9c-bd55-2f6e86a6bbcd_2048x.jpg?v=1550688873', 'https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_5249_cd68b8ca-585c-4dbf-adf7-7874be021a39_2048x.jpg?v=1550688873']",1,men,1,https://kith.com/collections/mens-accessories-hats/products/vsicap004-it03395-i7
Palm Angels Rainbow Cap,PMLB003S192240571088,$131.00,$0,Black / Multi,['OS'],"['100% cotton', 'Adjustable strap on the back', 'Embroidered logo to the rear', 'Flat peak', 'Style:PMLB003S192240571088', 'Color: Black / Multi', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/PMLB003S192240571088-1_2048x.jpg?v=1547594057', 'https://cdn.shopify.com/s/files/1/0094/2252/products/PMLB003S192240571088-2_2048x.jpg?v=1547594057', 'https://cdn.shopify.com/s/files/1/0094/2252/products/PMLB003S192240571088-3_2048x.jpg?v=1547594057']",7,men,1,https://kith.com/collections/mens-accessories-hats/products/palm-angels-rainbow-cap-black-multi
Nike NSW Beanie ACG,NKAV4775.010,$18.00,$0,Black,['OS'],"['Acrylic and woolblendfabric', 'Cuffed design for a snug fit', 'Folded rim', 'ACG logo', 'Style:NKAV4775.010', 'Color: Black', 'Material:70% Acrylic / 30% Wool']","['https://cdn.shopify.com/s/files/1/0094/2252/products/NKAV4775.010-1_2048x.jpg?v=1544626439', 'https://cdn.shopify.com/s/files/1/0094/2252/products/NKAV4775.010-2_2048x.jpg?v=1544626441']",12,men,1,https://kith.com/collections/mens-accessories-hats/products/nike-u-nsw-beanie-acg-black
Heron Preston x Carhartt Beanie,HMLC002F187200352496,$256.00,$0,Bordeaux Crystal,['OS'],"['Cotton fabric', 'Ribbed beanie', 'Carhartt and Heron Preston patch on front', 'Style: HMLC002F187200352496', 'Color:Bordeaux Crystal', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/prestoncarhart-29_2048x.jpg?v=1545166222', 'https://cdn.shopify.com/s/files/1/0094/2252/products/prestoncarhart-28_2048x.jpg?v=1545166222', 'https://cdn.shopify.com/s/files/1/0094/2252/products/prestoncarhart-32_2048x.jpg?v=1545166222']",8,men,1,https://kith.com/collections/mens-accessories-hats/products/hp-x-carhartt-beanie-bordeaux-crystal
Kith Serif Beanie,KH9290-105,$50.00,$0,Shark,['OS'],"['Acrylic fabric', 'Embroidered Kith serif logo onfront', 'Style: KH9290-105', 'Color: Shark', 'Material: 100% Acrylic']","['https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_3804_2048x.jpg?v=1544740292', 'https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_3805_7c659158-1ef2-4a6b-8e66-c7bf39bc8ef7_2048x.jpg?v=1544740295']",11,men,1,https://kith.com/collections/mens-accessories-hats/products/kith-serif-beanie-shark
