goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
ASOS DESIGN straw matador hat,11275506,¥144.14,¥0,natural,"['xl', 'l']","['Who else is feeling that summer state of mind?', 'Dipped crown', 'Plain design', 'Wide brim', 'Woven paper straw', 'Some fabrics just scream summer', 'Main: 100% Paper, Band: 100% Polyester.']","['https:https://images.asos-media.com/products/asos-design-straw-matador-hat/11275506-1-natural?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-straw-matador-hat/11275506-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-straw-matador-hat/11275506-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-straw-matador-hat/11275506-4?$XXL$&wid=870&fit=constrain']",1,women,1,https://www.asos.com/asos-design/asos-design-straw-matador-hat/prd/11275506?clr=natural
Stradivarius straw round hat in beige,11836538,¥117.03,¥0,beige,"['xl', 'l']","['Tops things off nicely', 'Domed crown', 'Wide brim', 'Plain design', 'When less is more', 'Main: 71% Cellulose, 29% Polyester.']","['https:https://images.asos-media.com/products/stradivarius-straw-round-hat-in-beige/11836538-1-beige?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/stradivarius-straw-round-hat-in-beige/11836538-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/stradivarius-straw-round-hat-in-beige/11836538-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/stradivarius-straw-round-hat-in-beige/11836538-4?$XXL$&wid=870&fit=constrain']",16,women,1,https://www.asos.com/stradivarius/stradivarius-straw-round-hat-in-beige/prd/11836538?clr=beige
ASOS DESIGN straw cowboy hat with trim,11270647,¥180.18,¥0,natural,"['xl', 'l']","['Ranch dressing', 'Pinched crown', 'Contrast textile band', 'Curved brim', 'Woven straw', 'Some fabrics just scream summer', 'Main: 100% Straw, Band: 100% Polyester.']","['https:https://images.asos-media.com/products/asos-design-straw-cowboy-hat-with-trim/11270647-1-natural?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-straw-cowboy-hat-with-trim/11270647-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-straw-cowboy-hat-with-trim/11270647-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-straw-cowboy-hat-with-trim/11270647-4?$XXL$&wid=870&fit=constrain']",13,women,1,https://www.asos.com/asos-design/asos-design-straw-cowboy-hat-with-trim/prd/11270647?clr=natural
ASOS DESIGN mini fisherman beanie,12039557,¥72.07,¥0,black,"['xl', 'l']","['Tops things off nicely', 'Plain design', 'Turn-up brim', 'Stretch knit', 'Does what it says on the tin', 'Main: 100% Acrylic.']","['https:https://images.asos-media.com/products/asos-design-mini-fisherman-beanie/12039557-1-black?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-mini-fisherman-beanie/12039557-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-mini-fisherman-beanie/12039557-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-mini-fisherman-beanie/12039557-4?$XXL$&wid=870&fit=constrain']",15,women,1,https://www.asos.com/asos-design/asos-design-mini-fisherman-beanie/prd/12039557?clr=black
ASOS DESIGN straw wrap around visor,10907892,¥108.11,¥0,black,"['xl', 'l']","['Tops things off nicely', 'Open top', 'Curved peak', 'Adjustable back', 'Main: 88% Paper, 12% Polyester, Band: 100% Polyester.']","['https:https://images.asos-media.com/products/asos-design-straw-wrap-around-visor/10907892-1-black?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-straw-wrap-around-visor/10907892-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-straw-wrap-around-visor/10907892-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-straw-wrap-around-visor/10907892-4?$XXL$&wid=870&fit=constrain']",14,women,1,https://www.asos.com/asos-design/asos-design-straw-wrap-around-visor/prd/10907892?clr=black
South Beach black boater hat with black band,11637201,¥90.09,¥0,black,"['xl', 'l']","['For head-to-toe style', 'Flat top', 'Bow detail', 'Wide brim', 'Exclusive to ASOS']","['https:https://images.asos-media.com/products/south-beach-black-boater-hat-with-black-band/11637201-1-black?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/south-beach-black-boater-hat-with-black-band/11637201-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/south-beach-black-boater-hat-with-black-band/11637201-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/south-beach-black-boater-hat-with-black-band/11637201-4?$XXL$&wid=870&fit=constrain']",10,women,1,https://www.asos.com/south-beach/south-beach-black-boater-hat-with-black-band/prd/11637201?clr=black
ASOS DESIGN monogram bucket hat,11311865,¥126.12,¥0,multi,"['xl', 'l']","['Tops things off nicely', 'Printed design', 'Flat top', 'Wide brim', 'Durable canvas', 'Actually just cotton, who knew?', 'Lining: 96% Polyester, 4% Cotton, Main: 100% Cotton.']","['https:https://images.asos-media.com/products/asos-design-monogram-bucket-hat/11311865-1-multi?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-monogram-bucket-hat/11311865-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-monogram-bucket-hat/11311865-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/asos-design-monogram-bucket-hat/11311865-4?$XXL$&wid=870&fit=constrain']",11,women,1,https://www.asos.com/asos-design/asos-design-monogram-bucket-hat/prd/11311865?clr=multi
River Island natural fedora in beige,11882027,¥144.14,¥0,beige,"['xl', 'l']","['For head-to-toe looks', 'Pinched top', 'Wide brim', 'Faux-leather trim', 'Snakeskin print', 'Gold-tone detail', 'Main: 100% Paper.']","['https:https://images.asos-media.com/products/river-island-natural-fedora-in-beige/11882027-1-beige?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/river-island-natural-fedora-in-beige/11882027-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/river-island-natural-fedora-in-beige/11882027-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/river-island-natural-fedora-in-beige/11882027-4?$XXL$&wid=870&fit=constrain']",8,women,1,https://www.asos.com/river-island/river-island-natural-fedora-in-beige/prd/11882027?clr=beige
Champion Bucket Hat,11294084,¥495.49,¥0,navy,"['xl', 'l']","['Tops things off nicely', 'Domed top', 'Branded design', 'Wide brim', 'Durable ripstop', 'Tightly wove, tear-resistant fabric', 'Main: 100% Polyester.']","['https:https://images.asos-media.com/products/champion-bucket-hat/11294084-1-navy?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/champion-bucket-hat/11294084-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/champion-bucket-hat/11294084-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/champion-bucket-hat/11294084-4?$XXL$&wid=870&fit=constrain']",12,women,1,https://www.asos.com/champion/champion-bucket-hat/prd/11294084?clr=navy
River Island sun hat with gold detail in white,11881574,¥144.14,¥0,white,"['xl', 'l']","['For head-to-toe looks', 'Pinched top', 'Wide brim', 'Faux-leather trim', 'Gold-tone detail', 'Main: 100% Paper.']","['https:https://images.asos-media.com/products/river-island-sun-hat-with-gold-detail-in-white/11881574-1-white?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/river-island-sun-hat-with-gold-detail-in-white/11881574-2?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/river-island-sun-hat-with-gold-detail-in-white/11881574-3?$XXL$&wid=870&fit=constrain', 'https:https://images.asos-media.com/products/river-island-sun-hat-with-gold-detail-in-white/11881574-4?$XXL$&wid=870&fit=constrain']",9,women,1,https://www.asos.com/river-island/river-island-sun-hat-with-gold-detail-in-white/prd/11881574?clr=white
