goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Cord Cap,#GB71819017-MSTD,$19.95,$0,mustard,['1Sz'],"['Cotton corduroy', 'Slight curved bill', 'Unstructured low rise fit', 'Direct front & back embroidery', 'Self fabric adjustable strap', 'One size']",['https://cdn.shopify.com/s/files/1/2516/3312/products/gb71819017_mstd_2048x.jpg?v=1548894655'],1,all,1,https://us.globebrand.com/collections/hats/products/cord-cap-mustard
Outfield Cap,#GB71819018-FDGRN,$19.95,$0,field green,['1Sz'],"['Cotton twill', 'Curved bill', 'Front patch', 'Pigment dye wash', 'Snap back closure']",['https://cdn.shopify.com/s/files/1/2516/3312/products/gb71819018_fdgrn_2048x.jpg?v=1549410815'],4,all,1,https://us.globebrand.com/collections/hats/products/outfield-cap-field-green
Bar Cap,#GB71839026-WHT,$14.95,$0,white,['1Sz'],"['Cotton twill', 'Flat bill', 'Unstructured low rise fit', 'Woven patch', 'One size']",['https://cdn.shopify.com/s/files/1/2516/3312/products/gb71839026_wht_2048x.jpg?v=1549399778'],2,all,1,https://us.globebrand.com/collections/hats/products/bar-cap-white
Bar Cap,#GB71839026-TAN,$14.95,$0,tan,['1Sz'],"['Cotton twill', 'Flat bill', 'Unstructured low rise fit', 'Woven patch', 'One size']",['https://cdn.shopify.com/s/files/1/2516/3312/products/gb71839026_tan_2048x.jpg?v=1549410065'],3,all,1,https://us.globebrand.com/collections/hats/products/bar-cap-tan
Scorpio Cap,#GB71819016-WBLK,$19.95,$0,washed black,['1Sz'],"['Cotton washed twill', 'Slight curved bill', 'Unstructured low rise fit', 'Direct front embroidery', 'Self fabric adjustable strap', 'One size']",['https://cdn.shopify.com/s/files/1/2516/3312/products/gb71819016_wblk_2048x.jpg?v=1549409706'],6,all,1,https://us.globebrand.com/collections/hats/products/scorpio-cap-washed-black
Gladstone II Snap Back,#GB71729003-CRI,$19.95,$0,crimson,['1Sz'],"['Cotton twill', 'Suede flat bill', 'Front leather patch', 'Snapback closure', 'One size']",['https://cdn.shopify.com/s/files/1/2516/3312/products/gb71729003_cri_2048x.jpg?v=1549411107'],7,all,1,https://us.globebrand.com/collections/hats/products/gladstone-ii-snap-back-crimson
Gladstone II Snap Back,#GB71729003-HEAGRY,$19.95,$0,heather grey,['1Sz'],"['Cotton twill', 'Suede flat bill', 'Front leather patch', 'Snapback closure', 'One size']",['https://cdn.shopify.com/s/files/1/2516/3312/products/gb71729003_heagry_2048x.jpg?v=1549411219'],8,all,1,https://us.globebrand.com/collections/hats/products/gladstone-ii-snap-back-heather-grey
Scorpio Cap,#GB71819016-WSHSAND,$19.95,$0,washed sand,['1Sz'],"['Cotton washed twill', 'Slight curved bill', 'Unstructured low rise fit', 'Direct front embroidery', 'Self fabric adjustable strap', 'One size']",['https://cdn.shopify.com/s/files/1/2516/3312/products/gb71819016_wshsand_2048x.jpg?v=1549409594'],5,all,1,https://us.globebrand.com/collections/hats/products/scorpio-cap-washed-sand
Expedition II Trucker,#GB71719011-BLK,$19.95,$0,black,['1Sz'],"['Cotton / polyester mixed fabrication', 'Flat bill', 'Yardage printed bill, mesh back', 'Front woven patch', 'Snap back closure', 'One size']",['https://cdn.shopify.com/s/files/1/2516/3312/products/gb71719011_blk_2048x.jpg?v=1549331898'],9,all,1,https://us.globebrand.com/collections/hats/products/expedition-ii-trucker-black
Ryley Beanie,#GB71339009-IND,$14.95,$0,indigo,['1Sz'],"['Wool / polyester rib knit.', 'Short fit.', 'One size fits all.']",['https://cdn.shopify.com/s/files/1/2516/3312/products/Globe_Brand_clothing_gb71339009_ind_2048x.jpg?v=1529108563'],10,all,1,https://us.globebrand.com/collections/hats/products/globe-brand-ryley-indigo-beanie
