goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Alpine Soft Mesh Trucker Hat,alpine-soft-mesh-trucker-hat-13420-4861,$25.00,$0,Altitude Rosin Green,['ONE'],"['Pay tribute to the outdoor life you live and love with the Alpine Soft Mesh Trucker Hat. This 6-panel unstructured hat features a curved bill, supersoft breathable mesh for comfort, and an adjustable snapback closure for a great fit. Features a Leave No Trace Seven Principles imprint on the inside of the cap.', '6-panel, Unstructured', 'Curved Bill, Adjustable Snap-back Closure', 'Super-soft Mesh for Comfort and Breathability', 'Leave No Trace Seven Principles Interior Imprint', '70% Cotton, 30% Polyester']","['https://s7d2.scene7.com/is/image/marmot/13420_4861_front_alpine_soft_mesh?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13420_4861_back_alpine_soft_mesh?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13420_4861_front_angle_left_alpine?hei=1200&wid=1000&resMode=sharp&qlt=94']",2,women,2,https://www.marmot.com/alpine-soft-mesh-trucker-hat-13420.html?dwvar_13420_size=0085ONE&dwvar_13420_color=4861
Women's Kira Trucker Hat,womens-kira-trucker-hat-13400-4570,$25.00,$0,Pond Green,['ONE'],"[""The Women's Kira Trucker Hat pairs well with cozy flannel shirts and cool nights around the campfire. An unstructured 6-panel design with curved bill and adjustable snap-back closure make for a comfortable fit. Embroidered logo patch at front."", 'Unstructured 6 Panel w/ Curved Bill', 'Adjustable Snap-Back Closure', 'Embroidered Logo Patch', '100% Cotton | 100% Polyester Mesh']","['https://s7d2.scene7.com/is/image/marmot/13400_4570_front_wms_kira_trucker?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13400_4570_back_wms_kira_trucker?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13400_4570_front_angle_left_wms?hei=1200&wid=1000&resMode=sharp&qlt=94']",1,women,2,https://www.marmot.com/womens-kira-trucker-hat-13400.html?dwvar_13400_color=4570&dwvar_13400_size=0060ONE
PreCip Eco Baseball Cap,precip-eco-baseball-cap-13970-001,$35.00,$0,Black,['ONE'],"[""We've taken the same water-repelling and breathable fabric that you love about our rainwear and added it to the PreCip Eco Baseball Hat. Meet the environmentally conscious and high-performing next generation of protection—for your head. The waterproof/breathable, PFC-free Marmot NanoPro™ recycled nylon face fabric lasts longer than ever, thanks to the advanced technology of our microporous coating. The DriClime® sweatband wicks away sweat so you stay dry and comfortable, while the seam sealing prevents leaks. 7 panels and a VELCRO® back closure ensure you get a great fit."", '7 Panel Hat for a Great Fit', 'DriClime® Sweatband', 'Seamsealed for Waterproof Protection', 'Velcro® Closure', 'NanoPro™ Eco 100% Recycled Nylon Ripstop 2.4 oz/yd', 'DriClime® 100% Polyester Lining 2.7 oz/yd | 100% Polyester Mesh Lining 2.0 oz/yd']","['https://s7d2.scene7.com/is/image/marmot/13970_001_front_precip_eco_plus?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13970_001_back_precip_eco_plus?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13970_001_front_angle_left_precip?hei=1200&wid=1000&resMode=sharp&qlt=94']",6,women,2,https://www.marmot.com/precip-eco-baseball-cap-13970.html?dwvar_13970_color=001&dwvar_13970_size=0000ONE
Cadence Trucker Hat,cadence-trucker-hat-13450-7263,$30.00,$0,Burgundy/Dark Purple,['ONE'],"[""Go ahead and pick up the pace—the lightweight Cadence Trucker Hat is made for high-intensity activity. From the breathable Power-mesh to the moisture-wicking headband, you'll stay dry and comfortable. Adjust the bill and hook-and-loop back closure to find your fit."", 'Made with Breathable Power-mesh', '5-panel, Adjustable Hook and Loop Closure', 'Adjustable Bill', 'Moisture Wicking Sweatband', 'Ultra-lightweight for High Intensity Activities', '100% Polyester', '0lbs 2.36oz (66.9g)']","['https://s7d2.scene7.com/is/image/marmot/13450_7263_front_cadence_trucker?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13450_7263_back_cadence_trucker?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13450_7263_front_angle_left_cadence?hei=1200&wid=1000&resMode=sharp&qlt=94']",4,women,2,https://www.marmot.com/cadence-trucker-hat-13450.html?dwvar_13450_color=7263&dwvar_13450_size=0085ONE
Alpine Soft Mesh Trucker Hat,alpine-soft-mesh-trucker-hat-13420-8267,$25.00,$0,Beams Vintage Navy,['ONE'],"['Pay tribute to the outdoor life you live and love with the Alpine Soft Mesh Trucker Hat. This 6-panel unstructured hat features a curved bill, supersoft breathable mesh for comfort, and an adjustable snapback closure for a great fit. Features a Leave No Trace Seven Principles imprint on the inside of the cap.', '6-panel, Unstructured', 'Curved Bill, Adjustable Snap-back Closure', 'Super-soft Mesh for Comfort and Breathability', 'Leave No Trace Seven Principles Interior Imprint', '70% Cotton, 30% Polyester']","['https://s7d2.scene7.com/is/image/marmot/13420_8267_front_alpine_soft_mesh?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13420_8267_front_angle_left_alpine?hei=1200&wid=1000&resMode=sharp&qlt=94']",2,women,2,https://www.marmot.com/alpine-soft-mesh-trucker-hat-13420.html?dwvar_13420_size=0085ONE&dwvar_13420_color=8267
Marmot Angles Trucker Hat,marmot-angles-trucker-hat-13470-4570,$25.00,$0,Pond Green,['ONE'],"['Add style points to your next adventure—or at least the road trip on the way there—with the structured, 6-paneled Marmot Angles Trucker Hat. Mesh back panels provide enhanced breathability and comfort, and the adjustable snap-back closure and semicurved bill give you the flexibility to find your favorite fit. Embroidered logo patch at the front.', '6-Panel, Structured', 'Semi-curved Bill, Adjustable Snap-back Closure', 'Embroidered Logo Patch', '100% Polyester', '0lbs 2.22oz (62.9g)']","['https://s7d2.scene7.com/is/image/marmot/13470_4570_front_marmot_angles_trucker?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13470_4570_back_marmot_angles_trucker?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13470_4570_front_angle_left_marmot?hei=1200&wid=1000&resMode=sharp&qlt=94']",3,women,2,https://www.marmot.com/marmot-angles-trucker-hat-13470.html?dwvar_13470_size=0085ONE&dwvar_13470_color=4570
Cadence Trucker Hat,cadence-trucker-hat-13450-1135,$30.00,$0,Dark Steel/Black,['ONE'],"[""Go ahead and pick up the pace—the lightweight Cadence Trucker Hat is made for high-intensity activity. From the breathable Power-mesh to the moisture-wicking headband, you'll stay dry and comfortable. Adjust the bill and hook-and-loop back closure to find your fit."", 'Made with Breathable Power-mesh', '5-panel, Adjustable Hook and Loop Closure', 'Adjustable Bill', 'Moisture Wicking Sweatband', 'Ultra-lightweight for High Intensity Activities', '100% Polyester', '0lbs 2.36oz (66.9g)']","['https://s7d2.scene7.com/is/image/marmot/13450_1135_front_cadence_trucker?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13450_1135_back_cadence_trucker?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13450_1135_front_angle_left_cadence?hei=1200&wid=1000&resMode=sharp&qlt=94']",4,women,2,https://www.marmot.com/cadence-trucker-hat-13450.html?dwvar_13450_color=1135&dwvar_13450_size=0085ONE
Marmot Angles Trucker Hat,marmot-angles-trucker-hat-13470-1620,$25.00,$0,Grey Storm,['ONE'],"['Add style points to your next adventure—or at least the road trip on the way there—with the structured, 6-paneled Marmot Angles Trucker Hat. Mesh back panels provide enhanced breathability and comfort, and the adjustable snap-back closure and semicurved bill give you the flexibility to find your favorite fit. Embroidered logo patch at the front.', '6-Panel, Structured', 'Semi-curved Bill, Adjustable Snap-back Closure', 'Embroidered Logo Patch', '100% Polyester', '0lbs 2.22oz (62.9g)']","['https://s7d2.scene7.com/is/image/marmot/13470_1620_front_marmot_angles_trucker?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13470_1620_back_marmot_angles_trucker?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13470_1620_front_angle_left_marmot?hei=1200&wid=1000&resMode=sharp&qlt=94']",3,women,2,https://www.marmot.com/marmot-angles-trucker-hat-13470.html?dwvar_13470_size=0085ONE&dwvar_13470_color=1620
Alpine Soft Mesh Trucker Hat,alpine-soft-mesh-trucker-hat-13420-7265,$25.00,$0,Sunsetter Burgundy,['ONE'],"['Pay tribute to the outdoor life you live and love with the Alpine Soft Mesh Trucker Hat. This 6-panel unstructured hat features a curved bill, supersoft breathable mesh for comfort, and an adjustable snapback closure for a great fit. Features a Leave No Trace Seven Principles imprint on the inside of the cap.', '6-panel, Unstructured', 'Curved Bill, Adjustable Snap-back Closure', 'Super-soft Mesh for Comfort and Breathability', 'Leave No Trace Seven Principles Interior Imprint', '70% Cotton, 30% Polyester']","['https://s7d2.scene7.com/is/image/marmot/13420_7265_front_alpine_soft_mesh?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13420_7265_back_alpine_soft_mesh?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13420_7265_front_angle_left_alpine?hei=1200&wid=1000&resMode=sharp&qlt=94']",2,women,2,https://www.marmot.com/alpine-soft-mesh-trucker-hat-13420.html?dwvar_13420_size=0085ONE&dwvar_13420_color=7265
Marmot Angles Trucker Hat,marmot-angles-trucker-hat-13470-2975,$25.00,$0,Arctic Navy,['ONE'],"['Add style points to your next adventure—or at least the road trip on the way there—with the structured, 6-paneled Marmot Angles Trucker Hat. Mesh back panels provide enhanced breathability and comfort, and the adjustable snap-back closure and semicurved bill give you the flexibility to find your favorite fit. Embroidered logo patch at the front.', '6-Panel, Structured', 'Semi-curved Bill, Adjustable Snap-back Closure', 'Embroidered Logo Patch', '100% Polyester', '0lbs 2.22oz (62.9g)']","['https://s7d2.scene7.com/is/image/marmot/13470_2975_front_marmot_angles_trucker?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13470_2975_back_marmot_angles_trucker?hei=1200&wid=1000&resMode=sharp&qlt=94', 'https://s7d2.scene7.com/is/image/marmot/13470_2975_front_angle_left_marmot?hei=1200&wid=1000&resMode=sharp&qlt=94']",3,women,2,https://www.marmot.com/marmot-angles-trucker-hat-13470.html?dwvar_13470_size=0085ONE&dwvar_13470_color=2975
