goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Rose Embroidered Cap,MZZ64977-black,£5.60,£8.00,black,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", '100% Cotton. Rose Embroidered Cap. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz64977_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz64977_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz64977_black_xl_2', 'https://i1.adis.ws/i/boohooamplience/mzz64977_black_xl_3']",8,mens,1,https://www.boohoo.com/rose-embroidered-cap/MZZ64977.html
Faux Suede 6 Panel Cap With MAN Embroidery,MZZ63343-stone,£5.60,£8.00,stone,['onesize'],"['Bring your accessories a-game with boohooMAN', ""Add attitude to your look with the latest from our accessories edit. Give a heads up to slogan snapbacks and beanies, layer up in a statement scarf or snood and carry your everyday essentials in a heavy duty backpack. Fashion's finishing touches are all in the accessories."", '100% Polyester. Stone Faux Suede 6 Panel Cap With MAN Embroidery. Adjustable Clip Fastening. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz63343_stone_xl', 'https://i1.adis.ws/i/boohooamplience/mzz63343_stone_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz63343_stone_xl_2', 'https://i1.adis.ws/i/boohooamplience/mzz63343_stone_xl_3']",9,mens,1,https://www.boohoo.com/faux-suede-6-panel-cap-with-man-embroidery/MZZ63343.html?color=165
Los Angeles Embroidered Cap,MZZ53585-black,£5.60,£8.00,black,['onesize'],"['Bring your accessories a-game with boohooMAN', ""Add attitude to your look with the latest from our accessories edit. Give a heads up to slogan snapbacks and beanies, layer up in a statement scarf or snood and carry your everyday essentials in a heavy duty backpack. Fashion's finishing touches are all in the accessories."", '100% Cotton. Los Angeles Embroidered Cap. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz53585_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz53585_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz53585_black_xl_2']",4,mens,1,https://www.boohoo.com/los-angeles-embroidered-cap/MZZ53585.html
Red MAN Script Embroidered Cap,MZZ54766-black,£5.60,£8.00,black,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", '100% Cotton. Red MAN Script Embroidered Cap. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz54766_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz54766_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz54766_black_xl_2']",7,mens,1,https://www.boohoo.com/red-man-script-embroidered-cap/MZZ54766.html
Chunky Knit Bobble Beanie,MZZ57655-grey,£3.50,£5.00,grey,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", '100% Acrylic. Chunky Knit Bobble Beanie. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz57655_grey_xl', 'https://i1.adis.ws/i/boohooamplience/mzz57655_grey_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz57655_grey_xl_2']",3,mens,1,https://www.boohoo.com/chunky-knit-bobble-beanie/MZZ57655.html?color=131
MAN Care Label Embroidered Cap,MZZ53914-black,£5.60,£8.00,black,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", '100% Cotton. MAN Care Label Embroidered Cap. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz53914_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz53914_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz53914_black_xl_2', 'https://i1.adis.ws/i/boohooamplience/mzz53914_black_xl_3']",5,mens,1,https://www.boohoo.com/man-care-label-embroidered-cap/MZZ53914.html
Sneaker Mesh 6 Panel Cap,MZZ63338-black,£4.20,£6.00,black,['onesize'],"['Bring your accessories a-game with boohooMAN', ""Add attitude to your look with the latest from our accessories edit. Give a heads up to slogan snapbacks and beanies, layer up in a statement scarf or snood and carry your everyday essentials in a heavy duty backpack. Fashion's finishing touches are all in the accessories."", 'Front: 100% Cotton, Back: 100% Polyester. Black Sneaker Mesh 6 Panel Cap. Adjustable Velcro Fastening. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz63338_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz63338_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz63338_black_xl_2', 'https://i1.adis.ws/i/boohooamplience/mzz63338_black_xl_3']",1,mens,1,https://www.boohoo.com/sneaker-mesh-6-panel-cap/MZZ63338.html
MAN Slogan Knitted Bobble Beanie,MZZ56523-grey,£2.80,£4.00,grey,['onesize'],"['Add attitude with accessories for those fashion-forward finishing touches', ""It's all about accessories for injecting individuality into your look. Find your festival favourites from fedora hats and floral crowns to bumbags and body glitter, play up your partywear with a pop of pastel nail polish and make a statement in oversized sunglasses. Forget less is more, this season we're all for out-there hair, beauty and jewellery."", '100% Acrylic. MAN Slogan Knitted Bobble Beanie. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz56523_grey_xl', 'https://i1.adis.ws/i/boohooamplience/mzz56523_grey_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz56523_grey_xl_2']",20,mens,1,https://www.boohoo.com/man-slogan-knitted-bobble-beanie/MZZ56523.html
Neon Knitted Beanie,MZZ50014-neon-yellow,£4.20,£6.00,neon-yellow,['onesize'],"['Bring your accessories a-game with boohooMAN', ""Add attitude to your look with the latest from our accessories edit. Give a heads up to slogan snapbacks and beanies, layer up in a statement scarf or snood and carry your everyday essentials in a heavy duty backpack. Fashion's finishing touches are all in the accessories."", '100% Acrylic. Neon Knitted Beanie. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz50014_neon-yellow_xl', 'https://i1.adis.ws/i/boohooamplience/mzz50014_neon-yellow_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz50014_neon-yellow_xl_2']",6,mens,1,https://www.boohoo.com/neon-knitted-beanie/MZZ50014.html
6 Panel Cotton Front Trucker Cap,MZZ63349-black,£5.60,£8.00,black,['onesize'],"['Bring your accessories a-game with boohooMAN', ""Add attitude to your look with the latest from our accessories edit. Give a heads up to slogan snapbacks and beanies, layer up in a statement scarf or snood and carry your everyday essentials in a heavy duty backpack. Fashion's finishing touches are all in the accessories."", 'Main: 100% Cotton. Black 6 Panel Cotton Front Trucker Cap. Adjustable Fastening. One Size.']","['https://i1.adis.ws/i/boohooamplience/mzz63349_black_xl', 'https://i1.adis.ws/i/boohooamplience/mzz63349_black_xl_1', 'https://i1.adis.ws/i/boohooamplience/mzz63349_black_xl_2', 'https://i1.adis.ws/i/boohooamplience/mzz63349_black_xl_3']",50,mens,1,https://www.boohoo.com/6-panel-cotton-front-trucker-cap/MZZ63349.html
