goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Gipson Dad Hat,15919222718538,$36,$0,Black,['O/S'],"['Bull Denim 6-panel unstructured (heavyweight, rigid, durable)', 'Slant logo with tail embroidered on front panels', 'Snapback closure with Solid Bomb woven label on back left side', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106035_SB_Black_Side_960x.jpg?v=1551130970', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106035_SB_Black_Front_960x.jpg?v=1551130970', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106035_SB_Black_Back_960x.jpg?v=1551130970']",1,all,1,https://thehundreds.com/collections/dad-hats/products/gipson-snapback
Gipson Dad Hat,15919222784074,$36,$0,Green,['O/S'],"['Bull Denim 6-panel unstructured (heavyweight, rigid, durable)', 'Slant logo with tail embroidered on front panels', 'Snapback closure with Solid Bomb woven label on back left side', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106035_SB_Green_Side_960x.jpg?v=1551130970', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106035_SB_Green_Front_960x.jpg?v=1551130970', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106035_SB_Green_Back_960x.jpg?v=1551130970']",1,all,1,https://thehundreds.com/collections/dad-hats/products/gipson-snapback
Gipson Dad Hat,15919222751306,$36,$0,Dusty Purple,['O/S'],"['Bull Denim 6-panel unstructured (heavyweight, rigid, durable)', 'Slant logo with tail embroidered on front panels', 'Snapback closure with Solid Bomb woven label on back left side', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106035_SB_DustyPurple_Side_960x.jpg?v=1551130970', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106035_SB_DustyPurple_Front_960x.jpg?v=1551130970', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106035_SB_DustyPurple_Back_960x.jpg?v=1551130970']",1,all,1,https://thehundreds.com/collections/dad-hats/products/gipson-snapback
Deal Strapback,13610260103242,$36,$0,Dark Red,['O/S'],"['Cotton twill 6-panel unstructured strapback', 'Rich logo embroidered on front panels', 'Strapback clamp closure', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_RED_SIDE_960x.jpg?v=1548107864', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_RED_FRONT_960x.jpg?v=1548107864', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_RED_BACK_960x.jpg?v=1548107864']",2,all,1,https://thehundreds.com/collections/dad-hats/products/deal-strapback
Deal Strapback,13610260037706,$36,$0,Black,['O/S'],"['Cotton twill 6-panel unstructured strapback', 'Rich logo embroidered on front panels', 'Strapback clamp closure', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_BLACK_SIDE_960x.jpg?v=1548107864', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_BLACK_FRONT_960x.jpg?v=1548107864', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_BLACK_BACK_960x.jpg?v=1548107864']",2,all,1,https://thehundreds.com/collections/dad-hats/products/deal-strapback
Deal Strapback,13610260070474,$36,$0,Dark Mint,['O/S'],"['Cotton twill 6-panel unstructured strapback', 'Rich logo embroidered on front panels', 'Strapback clamp closure', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_MINT_SIDE_960x.jpg?v=1548107864', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_MINT_FRONT_960x.jpg?v=1548107864', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18W106064_MINT_BACK_960x.jpg?v=1548107864']",2,all,1,https://thehundreds.com/collections/dad-hats/products/deal-strapback
Bolt Dad Hat,16168227635274,$36,$0,Black,['O/S'],"['Cotton Flannel and Poly Cotton 6-panel unstructured', 'The Hundreds woven label sewn on front panel', 'Strapback adjustable closure with Solid Bomb woven label on back left side', 'One Size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106025_SB_Black_Side_23841212-c646-46ef-a352-681129349e20_960x.jpg?v=1551923844', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106025_SB_Black_Front_5c0d0ca5-ef42-4430-ad57-284dd1f9e3e1_960x.jpg?v=1551923844', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106025_SB_Black_Back_f36ae598-3a7a-498a-b42e-74bef2b3ffb3_960x.jpg?v=1551923844']",3,all,1,https://thehundreds.com/collections/dad-hats/products/bolt-dad-hat
Bolt Dad Hat,16168227668042,$36,$0,Red,['O/S'],"['Cotton Flannel and Poly Cotton 6-panel unstructured', 'The Hundreds woven label sewn on front panel', 'Strapback adjustable closure with Solid Bomb woven label on back left side', 'One Size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106025_SB_Red_Side_d94cd8c7-7d15-4df6-b6c0-85e8f0db610f_960x.jpg?v=1551923844', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106025_SB_Red_Front_6750bf23-330f-4e54-84c1-6831caf26174_960x.jpg?v=1551923844', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106025_SB_Red_Back_8800b681-79e2-49aa-8616-df0416dd17cb_960x.jpg?v=1551923844']",3,all,1,https://thehundreds.com/collections/dad-hats/products/bolt-dad-hat
Locust Snapback,12401189716042,$39,$0,Black,['O/S'],"['Acrylic wool 5-panel New Era snapback', 'The Hundreds Bar logo embroidered on front panel', 'Cut n sewn panels sewn on panel', ""New Era logo embroidered on wearer's left"", 'Snapback closure with Solid Bomb woven label on back left side', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T18F106024_BLACK_SB_SIDE_960x.jpg?v=1552518073', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T18F106024_BLACK_SB_FRONT_960x.jpg?v=1552518073']",1,all,3,https://thehundreds.com/collections/new-era-hats/products/locust-snapback
United Beanie,15919223701578,$34,$0,Cobalt,['O/S'],"['100% Acrylic waffle knit 6-seam beanie', '100%acrylic fine knit beanie', 'The Hundreds bar logo high density print on crown', 'Sizes: One size fits most']","['https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106041_B_Cobalt_Front_9b457fb0-8f15-448c-b008-c31979df2fd7_960x.jpg?v=1551130989', 'https://cdn.shopify.com/s/files/1/1520/5960/products/T19P106041_B_Cobalt_Back_2f210e80-40fa-40c0-ac53-48ee3d3e98e9_960x.jpg?v=1551130989']",2,all,4,https://thehundreds.com/collections/beanies/products/united-beanie
