goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Kith BL Twill Cap,KH5190-109,$55.00,$0,Medium Indigo,['OS'],"['Washed cotton twill fabric', '6-panel construction', 'Kith classic logo onfront', 'Strapback closure with metal hardware', 'Style: KH5190-109', 'Color:Medium Indigo', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_8030_630bd08d-47e4-43c4-bf54-3a5b5400d449_2048x.jpg?v=1555628962', 'https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_8032_fb6731d4-4e87-48f3-b8ab-ef01405a2627_2048x.jpg?v=1555628962', 'https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_8031_98e3bcee-d6eb-413d-94c6-7b6f3b3a4ab3_2048x.jpg?v=1555628962']",1,men,1,https://kith.com/collections/mens-accessories-hats/products/kith-bl-twill-cap-medium-indigo
Ader Error Logo Cap,AE19ASSCA03-BEG,$100.00,$0,Khaki,['OS'],"['Cotton fabric', '6-panel construction', 'Embroideredade logo on front', 'Buckle closure on rear', 'Style: AE19ASSCA03-BEG', 'Color: Khaki', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA03.BEG-1_2048x.jpg?v=1555449418', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA03.BEG-2_2048x.jpg?v=1555449418', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA03.BEG-3_2048x.jpg?v=1555449418']",6,men,1,https://kith.com/collections/mens-accessories-hats/products/ader-error-logo-cap-khaki
Rhude US Rhude Design Cap,RH03ACA05901,$176.00,$0,Blue,['OS'],[],"['https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA05901-1_2048x.jpg?v=1555451293', 'https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA05901-3_2048x.jpg?v=1555451293', 'https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA05901-2_2048x.jpg?v=1555451293']",11,men,1,https://kith.com/collections/mens-accessories-hats/products/rh03aca05901
Ader Error Logo Cap,AE19ASSCA02-BLK,$100.00,$0,Black,['OS'],"['Cotton fabric', '6-panel construction', 'Ader Error patch on front', 'Buckle closure on rear', 'Embroidered Arrow on rear', 'Style:AE19ASSCA02-BLK', 'Color:Black', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA02.BLK--1_2048x.jpg?v=1555446934', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA02.BLK--3_2048x.jpg?v=1555446934', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA02.BLK--2_2048x.jpg?v=1555446934']",8,men,1,https://kith.com/collections/mens-accessories-hats/products/ae19assca02-blk
Ader Error Logo Cap,AE19ASSCA02IV-BEG,$100.00,$0,White,['OS'],"['Cotton fabric', '6-Panel construction', 'Curved peak', 'Ader Error logo on front', 'Rear buckle closure', 'Style:AE19ASSCA02IV-BEG', 'Color:White', 'Material: 100% Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA02IV.BEG--1_2048x.jpg?v=1555447779', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA02IV.BEG--3_2048x.jpg?v=1555447779', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA02IV.BEG--2_2048x.jpg?v=1555447779']",7,men,1,https://kith.com/collections/mens-accessories-hats/products/ae19assca02iv-beg
Rhude Racing Cap,RH03ACA06101,$176.00,$0,Black,['OS'],"['Cotton fabric', '6-Panels construction', 'Rhude Racing embroidered branding on front', 'Rear adjustable strap', 'Style:RH03ACA06101', 'Color: Black', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA06101-1_2048x.jpg?v=1555450996', 'https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA06101-3_2048x.jpg?v=1555450996', 'https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA06101-2_2048x.jpg?v=1555450996']",9,men,1,https://kith.com/collections/mens-accessories-hats/products/rh03aca06101
Rhude Cap,RH03ACA05801,$176.00,$0,Burgundy,['OS'],"['Cotton fabric', '6-panel construction', 'Embroidered Rhude logo on front', 'Snapback closure', 'Style: RH03ACA05801', 'Color: Burgundy', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA05801-1_2048x.jpg?v=1555450880', 'https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA05801-3_2048x.jpg?v=1555450880', 'https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA05801-2_2048x.jpg?v=1555450880']",12,men,1,https://kith.com/collections/mens-accessories-hats/products/rhude-cap-burgundy
Rhude Cap,RH03ACA06001,$176.00,$0,Black,['OS'],"['Cotton fabric', 'Rhude embroiderylogo on front', 'Flat peak', 'Rear strap closure', 'Style:RH03ACA06001', 'Color:Black', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA06001-1_2048x.jpg?v=1555450848', 'https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA06001-3_2048x.jpg?v=1555450848', 'https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA06001-2_2048x.jpg?v=1555450848']",10,men,1,https://kith.com/collections/mens-accessories-hats/products/rh03aca06001
Ader Error Logo Cap,AE19ASSCA03-NVY,$100.00,$0,Navy,['OS'],"['Cotton fabric', '6-panel construction', 'Embroideredade logo onfront', 'Buckle closure on rear', 'Style: AE19ASSCA03-NVY', 'Color: Navy', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA03.NVY-1_2048x.jpg?v=1555447756', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA03.NVY-3_2048x.jpg?v=1555447756', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA03.NVY-2_2048x.jpg?v=1555447756']",5,men,1,https://kith.com/collections/mens-accessories-hats/products/ader-error-logo-cap-navy
Ader Error Logo Cap,AE19ASSCA05-BLK,$90.00,$0,Black,['OS'],"['Cotton fabric', '6-panel construction', 'Embroidered Arrow logo on front', 'Embroidered Arrow on brim', 'Buckle closure on rear', 'Embroidered A on rear strap', 'Style: AE19ASSCA05-BLK', 'Color: Black', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA05.BLK--1_2048x.jpg?v=1555447103', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA05.BLK-3_2048x.jpg?v=1555447103', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA05.BLK--2_2048x.jpg?v=1555447103']",4,men,1,https://kith.com/collections/mens-accessories-hats/products/ader-error-logo-cap-black
Kith Kids Striped Beanie,KHK5014-108,$35.00,$0,Brown,['OS'],"['Acrylic fabric', 'Heavyweight', 'IntarsiaKith logo on front', 'Pom-pom on top of head', 'Style: KHK5014-108', 'Color: Brown', 'Material: 100% Acrylic']","['https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_6340_e010201e-5ae9-4a0e-8312-c9b9a096e728_2048x.jpg?v=1510877969', 'https://cdn.shopify.com/s/files/1/0094/2252/products/DSC_6341_60436de7-c206-4bd1-bc61-a6900e384d6f_2048x.jpg?v=1510877971']",11,kid,2,https://kith.com/collections/kids-accessories/products/kidset-kith-striped-beanie-brown
Kith Kids Camper Hat,KHK5015-102,$35.00,$0,Navy,['OS'],"['5 panel camper hat', 'Cotton twill fabric', 'Embroidered Kith logo on front', 'Polyester webbing with center push buckle', 'Kids fit', 'Style: KHK5015-102', 'Color: Navy', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/CFC235B7-8C0B-4C97-8864-082DEB03FA88_2048x.jpeg?v=1544376503', 'https://cdn.shopify.com/s/files/1/0094/2252/products/EE6FF79E-C585-49B4-B85D-217BE2036870_2048x.jpeg?v=1544376506', 'https://cdn.shopify.com/s/files/1/0094/2252/products/6BEF483E-4E61-41A8-B4AD-AC75F0292098_2048x.jpeg?v=1544376513']",10,kid,2,https://kith.com/collections/kids-accessories/products/kids-camper-hat-navy
Ader Error Nylon Logo Cap,AE19ASSCA06-BLK,$113.00,$0,Black,['OS'],"['Nylon fabric', 'Paneled construction', 'Embroidered ade logo on front', 'Snapback closure', 'Style:AE19ASSCA06-BLK', 'Color:Black', 'Material: Nylon']","['https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA06.BLK-Nylon-1_2048x.jpg?v=1555510437', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA06.BLK-Nylon-3_2048x.jpg?v=1555510437', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA06.BLK-Nylon-2_2048x.jpg?v=1555510437']",3,men,1,https://kith.com/collections/mens-accessories-hats/products/ae19assca06-blk
