goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
【男女同款】JP Baseball HPS,10017015639,¥169.00,¥0,漂白珊瑚红/橙色,['all'],"['棒球帽的帽顶饰有Jack Purcell文字', '固定弧形帽檐', '经典6片式拼接外观', '100%棉']","['https://image.converse.com.cn/resources/product/10017015639/10017015639_1L_NEW.png?20190305121100', 'https://image.converse.com.cn/resources/product/10017015639/10017015639_2S_NEW.png?20190305121100']",1,men,1,https://www.converse.com.cn/product/10017015639/detail.htm
【男女同款】JP Baseball HPS,10017015506,¥169.00,¥0,水洗紫丁香色/灰绿色,['all'],"['棒球帽的帽顶饰有Jack Purcell文字', '固定弧形帽檐', '经典6片式拼接外观', '100%棉']","['https://image.converse.com.cn/resources/product/10017015506/10017015506_1L_NEW.png?20190305121100', 'https://image.converse.com.cn/resources/product/10017015506/10017015506_2S_NEW.png?20190305121100']",2,men,1,https://www.converse.com.cn/product/10017015506/detail.htm
【男女同款】JP Baseball HPS,10017015001,¥169.00,¥0,黑色,['all'],"['棒球帽的帽顶饰有Jack Purcell文字', '固定弧形帽檐', '经典6片式拼接外观', '100%棉']","['https://image.converse.com.cn/resources/product/10017015001/10017015001_1L_NEW.png?20190305121100', 'https://image.converse.com.cn/resources/product/10017015001/10017015001_2S_NEW.png?20190305121100']",3,men,1,https://www.converse.com.cn/product/10017015001/detail.htm
【男女同款】Converse x Hello Kitty Repeat Dad帽子,10017648001,¥199.00,¥0,黑色,['all'],[],"['https://image.converse.com.cn/resources/product/10017648001/10017648001_1L_NEW.png?20190305121100', 'https://image.converse.com.cn/resources/product/10017648001/10017648001_2S_NEW.png?20190305121100']",4,men,1,https://www.converse.com.cn/product/10017648001/detail.htm
【男女同款】Baseball hat,10008476502,¥109.00,¥0,粉紫色,['all'],"['棒球帽饰有经典Chuck Taylor All Star贴片', '固定弧形帽檐', '经典6片式拼接外观', '100%棉']","['https://image.converse.com.cn/resources/product/10008476502/10008476502_1L_NEW.png?20190305121100', 'https://image.converse.com.cn/resources/product/10008476502/10008476502_2S_NEW.png?20190305121100']",5,men,1,https://www.converse.com.cn/product/10008476502/detail.htm
【男女同款】Baseball hat,10008476473,¥109.00,¥0,浅绿色,['all'],"['棒球帽饰有经典Chuck Taylor All Star贴片', '固定弧形帽檐', '经典6片式拼接外观', '100%棉']","['https://image.converse.com.cn/resources/product/10008476473/10008476473_1L_NEW.png?20190305121100', 'https://image.converse.com.cn/resources/product/10008476473/10008476473_2S_NEW.png?20190305121100']",6,men,1,https://www.converse.com.cn/product/10008476473/detail.htm
【男女同款】Chuck 70 Baseball,10009126001,¥199.00,¥0,黑色,['all'],['Chuck 70棒球帽'],"['https://image.converse.com.cn/resources/product/10009126001/10009126001_1L_NEW.png?20190305121100', 'https://image.converse.com.cn/resources/product/10009126001/10009126001_2S_NEW.png?20190305121100']",7,men,1,https://www.converse.com.cn/product/10009126001/detail.htm
【男女同款】Chuck 70 Baseball,10009126281,¥199.00,¥0,米白色,['all'],['Chuck 70棒球帽'],"['https://image.converse.com.cn/resources/product/10009126281/10009126281_1L_NEW.png?20190305121100', 'https://image.converse.com.cn/resources/product/10009126281/10009126281_2S_NEW.png?20190305121100']",8,men,1,https://www.converse.com.cn/product/10009126281/detail.htm
"【男女同款】Converse ""Metal CONS"" Cap",10017493001,¥259.00,¥0,黑色,['all'],['“Metal Cons”休闲6片式拼接'],"['https://image.converse.com.cn/resources/product/10017493001/10017493001_1L_NEW.png?20190305121100', 'https://image.converse.com.cn/resources/product/10017493001/10017493001_2S_NEW.png?20190305121100']",9,men,1,https://www.converse.com.cn/product/10017493001/detail.htm
【男女同款】Tipoff Chuck Patch Baseball HPS,10008476001,¥109.00,¥0,墨黑色,['all'],"['棒球帽饰有经典Chuck Taylor All Star贴片', '固定弧形帽檐', '经典6片式拼接外观', '100%棉']","['https://image.converse.com.cn/resources/product/10008476001/10008476001_1L_NEW.png?20190305121100', 'https://image.converse.com.cn/resources/product/10008476001/10008476001_2S_NEW.png?20190305121100']",10,men,1,https://www.converse.com.cn/product/10008476001/detail.htm
【男女同款】Tipoff Chuck Patch Baseball HPS,10008476102,¥109.00,¥0,白色,['all'],"['棒球帽饰有经典Chuck Taylor All Star贴片', '固定弧形帽檐', '经典6片式拼接外观', '100%棉']","['https://image.converse.com.cn/resources/product/10008476102/10008476102_1L_NEW.png?20190305121100', 'https://image.converse.com.cn/resources/product/10008476102/10008476102_2S_NEW.png?20190305121100']",11,men,1,https://www.converse.com.cn/product/10008476102/detail.htm
