goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Leary Bucket Hat,leary-bucket-hat-225-black,$50.00,$0,Black,"['S/M', 'L/XL']","['Standard fit bucket hat with an embroidered design and downward facing brim.', 'Embroidered eyelets', 'Crown liner ', '100% Cotton', 'Imported']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/132924_BLAC_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/132924_BLAC_2.jpg']",1,all,1,https://www.stussy.com/us/leary-bucket-hat?color_hat=225
Leary Bucket Hat,leary-bucket-hat-287-orange,$50.00,$0,Orange,"['S/M', 'L/XL']","['Standard fit bucket hat with an embroidered design and downward facing brim.', 'Embroidered eyelets', 'Crown liner ', '100% Cotton', 'Imported']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/132924_ORAN_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/132924_ORAN_2.jpg']",1,all,1,https://www.stussy.com/us/leary-bucket-hat?color_hat=225
Suiting Low Pro Cap,suiting-low-pro-cap-117513-238-charcoal,$40.00,$0,Charcoal,['all'],"['Low profile structured 6 panel cap with an embroidered logo.', 'Curved Bill', 'Adjustable strapback closure', '49% Rayon/ 42% Polyester/ 6% Nylon /3% Elastane', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131884_CHAR_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131884_CHAR_2.jpg']",2,all,1,https://www.stussy.com/us/suiting-low-pro-cap-117513?color_hat=287
Suiting Low Pro Cap,suiting-low-pro-cap-117513-260-green,$40.00,$0,Green,['all'],"['Low profile structured 6 panel cap with an embroidered logo.', 'Curved Bill', 'Adjustable strapback closure', '49% Rayon/ 42% Polyester/ 6% Nylon /3% Elastane', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131884_GREN_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131884_GREN_2.jpg']",2,all,1,https://www.stussy.com/us/suiting-low-pro-cap-117513?color_hat=287
Suiting Low Pro Cap,suiting-low-pro-cap-117513-287-orange,$40.00,$0,Orange,['all'],"['Low profile structured 6 panel cap with an embroidered logo.', 'Curved Bill', 'Adjustable strapback closure', '49% Rayon/ 42% Polyester/ 6% Nylon /3% Elastane', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131884_ORAN_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131884_ORAN_2.jpg']",2,all,1,https://www.stussy.com/us/suiting-low-pro-cap-117513?color_hat=287
Washed 2-Tone Strapback,washed-2-tone-strapback-cap-225-black,$40.00,$0,Black,['all'],"['Mid Crown 6 panel silhouette with stitched brim, embroidered logo and eyelets.', 'Adjustable snapback closure', '65% Polyester/ 35% Nylon', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131890_BLAC_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131890_BLAC_2.jpg']",3,all,1,https://www.stussy.com/us/washed-2-tone-strapback-cap?color_hat=225
Washed 2-Tone Strapback,washed-2-tone-strapback-cap-285-olive,$40.00,$0,Olive,['all'],"['Mid Crown 6 panel silhouette with stitched brim, embroidered logo and eyelets.', 'Adjustable snapback closure', '65% Polyester/ 35% Nylon', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131890_OLIV_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131890_OLIV_2.jpg']",3,all,1,https://www.stussy.com/us/washed-2-tone-strapback-cap?color_hat=225
Washed 2-Tone Strapback,washed-2-tone-strapback-cap-325-yellow,$40.00,$0,Yellow,['all'],"['Mid Crown 6 panel silhouette with stitched brim, embroidered logo and eyelets.', 'Adjustable snapback closure', '65% Polyester/ 35% Nylon', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131890_YELO_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131890_YELO_2.jpg']",3,all,1,https://www.stussy.com/us/washed-2-tone-strapback-cap?color_hat=225
Noa Wash Low Pro Cap (Wmns),noa-wash-low-pro-cap-238-charcoal,$35.00,$0,Charcoal,['all'],"[""Women's low profile cap with a patched logo. "", '100% Cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/232223_CHAR_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/232223_CHAR_2.jpg']",4,all,1,https://www.stussy.com/us/noa-wash-low-pro-cap?color_hat=238
Noa Wash Low Pro Cap (Wmns),noa-wash-low-pro-cap-586-lime,$35.00,$0,Lime,['all'],"[""Women's low profile cap with a patched logo. "", '100% Cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/232223_LIME_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/232223_LIME_2.jpg']",4,all,1,https://www.stussy.com/us/noa-wash-low-pro-cap?color_hat=238
