goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
KENZO 'Roses' logo cap,F955AC201F35.70.TU,€125,€0,cobalt,['all'],"['This jacquard cap breathes spring into all your looks with its floral pattern highlighted by a contrasting background. KENZO signs this creation with an XXL print of the sports logo. This is a piece with an original design that successfully combines sportswear and chic style.', 'KENZO logo cap.', 'Printed KENZO logo.', ""'Roses' pattern woven all over the material."", 'Adjustable back strap.', 'One size.', '92% polyester, 8% polyamide.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw83e39aea/F955AC201F35.70_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwcb8d9393/F955AC201F35.70_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwb0873727/F955AC201F35.70_P_03.jpg?sw=750&sh=1200']",0,all,1,https://www.kenzo.com/eu/en/kenzo--roses--logo-cap/F955AC201F35.70.TU.html?cgid=acc-hats-gloves-f-1
KENZO mesh logo cap,F955AC201F36.17.TU,€95,€0,medium orange,['all'],"['A sportswear look and summer trend meet with this mesh cap designed with micro-ventilated material typical of sportswear. A pop version with its bright colours that will make all your looks sparkle in the blink of an eye, even your more understated looks. The black version will bring a touch of sportswear style to any outfit. The KENZO logo enhances the sporty chic side of this piece while also giving it a unique charm.', 'KENZO Sport mesh cap.', 'Contrasting KENZO logo.', 'Adjustable back strap.', 'One size.', '100% polyester.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw682f8e0f/F955AC201F36.17_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwba7add43/F955AC201F36.17_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw4d9c6e6b/F955AC201F36.17_P_03.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw053ae9f5/F955AC201F36.17_H_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwea9fd5e4/F955AC201F36.17_H_02.jpg?sw=750&sh=1200']",2,all,1,https://www.kenzo.com/eu/en/kenzo-mesh-logo-cap/F955AC201F36.17.TU.html?cgid=acc-hats-gloves-f-1
'Colorblock Tiger' cap,F955AC301BO5.77.TU,€95,€0,midnight blue,['all'],"['Adopt the bold and casual KENZO signature style with this canvas cap. It mischievously sports the emblematic Tiger on the front, whose bright colours make it the main part of the accessory. The adjustment tab is embroidered with KENZO logo letters that add a modern, urban touch to the it.', 'Tiger canvas cap.', 'Tiger embroidery on the front and KENZO logo on the adjustment tab on the back.', 'One size.', '100% nylon.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw3a921a48/F955AC301BO5.77_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw3605b856/F955AC301BO5.77_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw17217ca9/F955AC301BO5.77_P_03.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwe07c3eda/F955AC301BO5.77_F_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwae324ca1/F955AC301BO5.77_H_01.jpg?sw=750&sh=1200']",6,all,1,https://www.kenzo.com/eu/en/-colorblock-tiger--cap/F955AC301BO5.77.TU.html?cgid=acc-hats-gloves-f-1
'Dragon' cap,F955AC201FO4.99.TU,€95,€0,black,['all'],"['A must-have piece for fans of the streetwear trend, this baseball cap is the perfect finishing touch for any urban outfit. In keeping with the classic codes of this accessory, with its rounded lines and adjustable tab, this design stands out thanks to its embroidery.', ""'Dragon' baseball cap."", 'Kenzo annd Dragon embroidered on the front.', 'Adjustable closure on the back.', 'One size only.', '100% nylon.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw55b2b39f/F955AC201FO4.99_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw3d36a80a/F955AC201FO4.99_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw305621a2/F955AC201FO4.99_P_03.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwfc877458/F955AC201FO4.99_F_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwebdc60d1/F955AC201FO4.99_H_01.jpg?sw=750&sh=1200']",1,all,1,https://www.kenzo.com/eu/en/-dragon--cap/F955AC201FO4.99.TU.html?cgid=acc-hats-gloves-f-1
Neoprene Tiger cap,F855AC301F21.21.TU,€95,€0,medium red,['all'],"[""The KENZO Tiger, iconic to the brand, is brought to life with it's very first range of accessories, suitable for both men and women."", 'Neoprene cap with Tiger embroidery on the the front.', 'Adjustable hook-and-loop closure.', 'KENZO embroidery on the closure strap.', 'This model is unisex.', 'One size.', 'Adjustable strap in the back.', '75% rubber, 25% polyester.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw75544935/F855AC301F21.21_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw2d96d0cf/F855AC301F21.21_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwceaa1e4f/F855AC301F21.21_P_03.jpg?sw=750&sh=1200']",14,all,1,https://www.kenzo.com/eu/en/neoprene-tiger-cap/F855AC301F21.21.TU.html?cgid=acc-hats-gloves-f-1
Neon KENZO logo cap,F955AC201F38.99.TU,€95,€0,black,['all'],"['Inspired by sportswear, this sleek cap is a the perfect ally for sunny days. The KENZO logo with graphic accents brings a touch of colour to its simple, classic design, brightening a discreet outfit. This headgear easily adjusts with a back tab.', 'KENZO logo cap.', 'Reflective neon KENZO logo.', 'Adjustable tab with a silver metal buckle on the back.', 'One size.', '100% nylon.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwe4b6bd7d/F955AC201F38.99_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw9fe320c9/F955AC201F38.99_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw8abd9afb/F955AC201F38.99_P_03.jpg?sw=750&sh=1200']",4,all,1,https://www.kenzo.com/eu/en/neon-kenzo-logo-cap/F955AC201F38.99.TU.html?cgid=acc-hats-gloves-f-1
KENZO mesh logo cap,F955AC201F36.99.TU,€95,€0,black,['all'],"['A sportswear look and summer trend meet with this mesh cap designed with micro-ventilated material typical of sportswear. A pop version with its bright colours that will make all your looks sparkle in the blink of an eye, even your more understated looks. The black version will bring a touch of sportswear style to any outfit. The KENZO logo enhances the sporty chic side of this piece while also giving it a unique charm.', 'KENZO Sport mesh cap.', 'Contrasting KENZO logo.', 'Adjustable back strap.', 'One size.', '100% polyester.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwab6ba090/F955AC201F36.99_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw7c6fe481/F955AC201F36.99_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw025f21d7/F955AC201F36.99_P_03.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwadf8f69b/F955AC201F36.99_H_01.jpg?sw=750&sh=1200']",3,all,1,https://www.kenzo.com/eu/en/kenzo-mesh-logo-cap/F955AC201F36.99.TU.html?cgid=acc-hats-gloves-f-1
Tiger baseball cap 'High Summer Capsule collection',F965AC301FO8.99.TU,€85,€0,black,['all'],"[""To celebrate the arrival of summer, the 'High Summer' capsule collection showcases pop colours and summery styles. The collection's T-shirts, sweatshirts, dresses and skirts are perfect for the season."", ""A must-have piece for fans of the streetwear trend, this baseball cap is the perfect finishing touch for any urban outfit. In keeping with the classic codes of this accessory, with its rounded lines and adjustable tab, this design stands out thanks to its embroidery. The brand's emblematic Tiger gives it a rebellious, original spirit."", 'Tiger canvas baseball cap.', 'Tiger embroidery on the front and KENZO logo on adjustable tab on the back.', 'Adjustable Velcro closure on the back.', 'One size only.', 'One size.', '100% nylon.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw9ba1365c/F965AC301FO8.99_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw1b9ecd2b/F965AC301FO8.99_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw07afdbf1/F965AC301FO8.99_P_03.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw880b6d17/F965AC301FO8.99_F_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwf7d08416/F965AC301FO8.99_H_01.jpg?sw=750&sh=1200']",5,all,1,https://www.kenzo.com/eu/en/tiger-baseball-cap--high-summer-capsule-collection-/F965AC301FO8.99.TU.html?cgid=acc-hats-gloves-f-1
Neoprene Tiger cap,F855AC301F21.99.TU,€95,€0,black,['all'],"[""The KENZO Tiger, iconic to the brand, is brought to life with it's very first range of accessories, suitable for both men and women."", 'Neoprene cap with Tiger embroidery on the the front.', 'Adjustable hook-and-loop closure.', 'KENZO embroidery on the closure strap.', 'This model is unisex.', 'One size.', 'Adjustable strap in the back.', '75% rubber, 25% polyester.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwfce919b8/F765AC301F21.99_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwbaf5b8e8/F765AC301F21.99_P_02.jpg?sw=750&sh=1200']",13,all,1,https://www.kenzo.com/eu/en/neoprene-tiger-cap/F855AC301F21.99.TU.html?cgid=acc-hats-gloves-f-1
Canvas Tiger cap 'Exclusive Capsule',F955AC301FO2.99.TU,€95,€0,black,['all'],"['Complete your look with this limited-edition cap that has been designed without the iconic brand colouring. The emblematic Tiger head is embroidered on the front bringing all its character and originality. Wear it with a t-shirt and matching trousers for perfect style.', 'Canvas Tiger cap.', 'Embroidered Tiger on front and KENZO logo on the adjustable tab.', 'Shaped visor.', 'Adjustable back fastening.', 'One size', '72% polyester, 28% nylon.']","['https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw2182e4b6/F955AC301FO2.99_P_01.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dwf0951950/F955AC301FO2.99_P_02.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw14ccee9a/F955AC301FO2.99_P_03.jpg?sw=750&sh=1200', 'https://www.kenzo.com/dw/image/v2/AAUH_PRD/on/demandware.static/-/Sites-kenzo-master/default/dw1ee6d383/F955AC301FO2.99_F_01.jpg?sw=750&sh=1200']",9,all,1,https://www.kenzo.com/eu/en/canvas-tiger-cap--exclusive-capsule-/F955AC301FO2.99.TU.html?cgid=acc-hats-gloves-f-1
