goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Fabric and Plexiglas hat,1HC137_BS2_F0002,$340.0,$0,BLACK,"['4XL', '5XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL', 'XXXL']","['Cotton canvas, Plexiglas', 'Fabric patch with screen-printed logo', 'This fabric and Plexiglas hat decorated on the side with a screen-printed fabric Prada logo has a contemporary attitude.']","['https://www.prada.com/content/dam/prada_products/1/1HC/1HC137/BS2F0002/1HC137_BS2_F0002_SLF.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC137/BS2F0002/1HC137_BS2_F0002_MDL.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC137/BS2F0002/1HC137_BS2_F0002_SLQ.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg']",1,women,2,https://www.prada.com/us/en/women/accessories/hats/products.fabric_and_plexiglas_hat.1HC137_BS2_F0002.html
Canvas hat with logo,1HC137_2B8S_F0T79,$340.0,$0,BLACK/PINK,"['4XL', '5XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL', 'XXXL']","['Cotton', 'Enameled metal triangle logo', 'Canvas hat defined by the enameled metal triangle logo.']","['https://www.prada.com/content/dam/prada_products/1/1HC/1HC137/2B8SF0T79/1HC137_2B8S_F0T79_SLF.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC137/2B8SF0T79/1HC137_2B8S_F0T79_MDL.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC137/2B8SF0T79/1HC137_2B8S_F0T79_SLQ.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg']",10,women,2,https://www.prada.com/us/en/women/accessories/hats/products.canvas_hat_with_logo.1HC137_2B8S_F0T79.html
Canvas hat with logo,1HC137_2B8S_F0NJI,$340.0,$0,BLACK/LIME,"['4XL', '5XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL', 'XXXL']","['Cotton', 'Enameled metal triangle logo', 'Canvas hat defined by the enameled metal triangle logo.']","['https://www.prada.com/content/dam/prada_products/1/1HC/1HC137/2B8SF0NJI/1HC137_2B8S_F0NJI_SLF.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC137/2B8SF0NJI/1HC137_2B8S_F0NJI_MDL.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC137/2B8SF0NJI/1HC137_2B8S_F0NJI_SLQ.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg']",9,women,2,https://www.prada.com/us/en/women/accessories/hats/products.canvas_hat_with_logo.1HC137_2B8S_F0NJI.html
Crocheted raffia hat,1HC178_2CA9_F0W6F,$570.0,$0,BEIGE/CORAL,"['4XL', '5XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL', 'XXS', 'XXXL']","['Crocheted raffia', 'Silk satin ribbon', 'Silk satin bow on the back', 'This crocheted raffia hat has country charm. The accessory, with a wide fringed brim, is decorated with a silk satin ribbon that closes on the back with a feminine bow.']","['https://www.prada.com/content/dam/prada_products/1/1HC/1HC178/2CA9F0W6F/1HC178_2CA9_F0W6F_SLF.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC178/2CA9F0W6F/1HC178_2CA9_F0W6F_MDL.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC178/2CA9F0W6F/1HC178_2CA9_F0W6F_SLQ.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg']",5,women,2,https://www.prada.com/us/en/women/accessories/hats/products.crocheted_raffia_hat.1HC178_2CA9_F0W6F.html
Crocheted raffia hat,1HC176_2CA9_F0I55,$595.0,$0,TAN/BLACK,"['4XL', '5XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL', 'XXS', 'XXXL']","['Crocheted raffia', 'Silk satin ribbon', 'Silk satin bow on the back', 'The striking wide brim with fringe defines the design of this crocheted raffia hat. The accessory is decorated with a satin ribbon with bow on the back.']","['https://www.prada.com/content/dam/prada_products/1/1HC/1HC176/2CA9F0I55/1HC176_2CA9_F0I55_SLF.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC176/2CA9F0I55/1HC176_2CA9_F0I55_MDL.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC176/2CA9F0I55/1HC176_2CA9_F0I55_SLQ.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg']",3,women,2,https://www.prada.com/us/en/women/accessories/hats/products.crocheted_raffia_hat.1HC176_2CA9_F0I55.html
Raffia hat with band and bow,1HC149_2CBD_F0FQ8,$650.0,$0,CAMEL/LIME,"['4XL', '5XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL', 'XXXL']","['Raffia', 'Decorated with printed band and bow', 'Raffia hat with printed band and bow.']","['https://www.prada.com/content/dam/prada_products/1/1HC/1HC149/2CBDF0FQ8/1HC149_2CBD_F0FQ8_SLF.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC149/2CBDF0FQ8/1HC149_2CBD_F0FQ8_MDL.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC149/2CBDF0FQ8/1HC149_2CBD_F0FQ8_SLQ.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg']",11,women,2,https://www.prada.com/us/en/women/accessories/hats/products.raffia_hat_with_band_and_bow.1HC149_2CBD_F0FQ8.html
Raffia hat with band and bow,1HC149_2CBD_F0U07,$650.0,$0,CAMEL/PINK,"['4XL', '5XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL', 'XXXL']","['Raffia', 'Decorated with printed band and bow', 'Raffia hat with printed band and bow.']","['https://www.prada.com/content/dam/prada_products/1/1HC/1HC149/2CBDF0U07/1HC149_2CBD_F0U07_SLF.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC149/2CBDF0U07/1HC149_2CBD_F0U07_MDL.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC149/2CBDF0U07/1HC149_2CBD_F0U07_SLQ.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg']",12,women,2,https://www.prada.com/us/en/women/accessories/hats/products.raffia_hat_with_band_and_bow.1HC149_2CBD_F0U07.html
Canvas visor with logo,1HV008_2B8S_F0NJI,$280.0,$0,BLACK/LIME,"['4XL', '5XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL', 'XXS', 'XXXL']","['Cotton', 'Enameled metal triangle logo', 'Canvas visor defined by the enameled metal triangle logo.']","['https://www.prada.com/content/dam/prada_products/1/1HV/1HV008/2B8SF0NJI/1HV008_2B8S_F0NJI_SLF.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HV/1HV008/2B8SF0NJI/1HV008_2B8S_F0NJI_MDL.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HV/1HV008/2B8SF0NJI/1HV008_2B8S_F0NJI_SLQ.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg']",8,women,2,https://www.prada.com/us/en/women/accessories/hats/products.canvas_visor_with_logo.1HV008_2B8S_F0NJI.html
Canvas visor with logo,1HV008_2B8S_F0T79,$280.0,$0,BLACK/PINK,"['4XL', '5XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL', 'XXS', 'XXXL']","['Cotton', 'Enameled metal triangle logo', 'Canvas visor defined by the enameled metal triangle logo.']","['https://www.prada.com/content/dam/prada_products/1/1HV/1HV008/2B8SF0T79/1HV008_2B8S_F0T79_SLF.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HV/1HV008/2B8SF0T79/1HV008_2B8S_F0T79_MDL.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HV/1HV008/2B8SF0T79/1HV008_2B8S_F0T79_SLQ.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg']",7,women,2,https://www.prada.com/us/en/women/accessories/hats/products.canvas_visor_with_logo.1HV008_2B8S_F0T79.html
Crocheted raffia hat,1HC178_2CBA_F0002,$770.0,$0,BLACK,"['4XL', '5XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL', 'XXS', 'XXXL']","['Crocheted raffia', 'Metal appliqués', 'Silk satin bow on the back', 'Characterized by the exuberant fringed brim, this crocheted raffia hat is illuminated by unique metal appliqués. The bow on the back adds a feminine touch.']","['https://www.prada.com/content/dam/prada_products/1/1HC/1HC178/2CBAF0002/1HC178_2CBA_F0002_SLF.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC178/2CBAF0002/1HC178_2CBA_F0002_MDL.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg', 'https://www.prada.com/content/dam/prada_products/1/1HC/1HC178/2CBAF0002/1HC178_2CBA_F0002_SLQ.png/_jcr_content/renditions/cq5dam.web.white.1280x1280.jpeg']",6,women,2,https://www.prada.com/us/en/women/accessories/hats/products.crocheted_raffia_hat.1HC178_2CBA_F0002.html
