goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
GREAT HUG NEWBORN PACK,https://www.zara.com/ww/en/great-hug-newborn-pack-p08501513.html,€7.95,€0,Ecru,['XS'],['Newborn pack. Beanie with knot appliqué and print. Mittens with cuffs. Bib with snap-button closure.'],"['https://static.zara.net/photos///2018/I/0/3/p/8501/513/712/9/w/1024/8501513712_2_10_1.jpg?ts=1543916084507', 'https://static.zara.net/photos///2018/I/0/3/p/8501/513/712/9/w/1024/8501513712_1_1_1.jpg?ts=1543916127388', 'https://static.zara.net/photos///2018/I/0/3/p/8501/513/712/9/w/1024/8501513712_2_1_1.jpg?ts=1543916075397', 'https://static.zara.net/photos///2018/I/0/3/p/8501/513/712/9/w/1024/8501513712_2_2_1.jpg?ts=1543916092773', 'https://static.zara.net/photos///2018/I/0/3/p/8501/513/712/9/w/1024/8501513712_2_3_1.jpg?ts=1543916100915', 'https://static.zara.net/photos///2018/I/0/3/p/8501/513/712/9/w/1024/8501513712_2_4_1.jpg?ts=1543916109695']",14,babyboy,6,https://www.zara.com/ww/en/great-hug-newborn-pack-p08501513.html
STRIPED COTTON SNOOD,https://www.zara.com/ww/en/striped-cotton-snood-p00653547.html,€7.95,€0,Blue,['XS'],['Cotton snood with a striped print.'],"['https://static.zara.net/photos///2019/V/0/3/p/0653/547/400/2/w/1024/0653547400_1_1_1.jpg?ts=1548414803661', 'https://static.zara.net/photos///2019/V/0/3/p/0653/547/400/2/w/1024/0653547400_2_1_1.jpg?ts=1548414784608', 'https://static.zara.net/photos///2019/V/0/3/p/0653/547/400/2/w/1024/0653547400_2_2_1.jpg?ts=1548414794234']",11,babyboy,6,https://www.zara.com/ww/en/striped-cotton-snood-p00653547.html
BEANIE WITH INSPIRE LABEL,https://www.zara.com/ww/en/beanie-with-inspire-label-p00653546.html,€7.95,€0,Blue,"['12-24months', '2-4years']",['Beanie featuring ties and a printed label on the front.'],"['https://static.zara.net/photos///2019/V/0/3/p/0653/546/400/2/w/1024/0653546400_1_1_1.jpg?ts=1548335351947', 'https://static.zara.net/photos///2019/V/0/3/p/0653/546/400/2/w/1024/0653546400_2_1_1.jpg?ts=1548335328741', 'https://static.zara.net/photos///2019/V/0/3/p/0653/546/400/2/w/1024/0653546400_2_2_1.jpg?ts=1548335340699']",12,babyboy,6,https://www.zara.com/ww/en/beanie-with-inspire-label-p00653546.html
STAR PRINT COTTON SNOOD,https://www.zara.com/ww/en/star-print-cotton-snood-p00653548.html,€7.95,€0,Blue,['XS'],['Cotton snood with a star print.'],"['https://static.zara.net/photos///2019/V/0/3/p/0653/548/400/2/w/1024/0653548400_1_1_1.jpg?ts=1548414858625', 'https://static.zara.net/photos///2019/V/0/3/p/0653/548/400/2/w/1024/0653548400_2_1_1.jpg?ts=1548414836596', 'https://static.zara.net/photos///2019/V/0/3/p/0653/548/400/2/w/1024/0653548400_2_2_1.jpg?ts=1548414848138']",13,babyboy,6,https://www.zara.com/ww/en/star-print-cotton-snood-p00653548.html
STRAW HAT WITH WOVEN BAND,https://www.zara.com/ww/en/straw-hat-with-woven-band-p07150547.html,€9.95,€0,camel,"['6-12months(48cm)', '12-24months(50cm)', '2-4years(51cm)']",['Straw hat with coloured woven band.'],"['https://static.zara.net/photos///2019/V/0/3/p/7150/547/707/2/w/1024/7150547707_1_1_1.jpg?ts=1551378389137', 'https://static.zara.net/photos///2019/V/0/3/p/7150/547/707/2/w/1024/7150547707_2_1_1.jpg?ts=1551378381308']",8,babyboy,6,https://www.zara.com/ww/en/straw-hat-with-woven-band-p07150547.html
DENIM HAT WITH BAND,https://www.zara.com/ww/en/denim-hat-with-band-p00653549.html,€7.95,€0,Blue,"['6-12months(48cm)', '12-24months(50cm)', '2-4years(51cm)']",['Denim hat with band detail.'],"['https://static.zara.net/photos///2019/V/0/3/p/0653/549/400/2/w/1024/0653549400_1_1_1.jpg?ts=1548076011453', 'https://static.zara.net/photos///2019/V/0/3/p/0653/549/400/2/w/1024/0653549400_2_1_1.jpg?ts=1547815697404']",10,babyboy,6,https://www.zara.com/ww/en/denim-hat-with-band-p00653549.html
BUTTON RAIN HAT,https://www.zara.com/ww/en/button-rain-hat-p05946540.html,€7.95,€0,Tobacco,"['6-12months(48cm)', '12-24months(50cm)', '2-4years(51cm)']",['Rain hat with button appliqué and ties. '],"['https://static.zara.net/photos///2019/V/0/3/p/5946/540/705/2/w/1024/5946540705_1_1_1.jpg?ts=1556885659363', 'https://static.zara.net/photos///2019/V/0/3/p/5946/540/705/2/w/1024/5946540705_2_1_1.jpg?ts=1556885646265']",1,babyboy,6,https://www.zara.com/ww/en/button-rain-hat-p05946540.html
STRAW HAT WITH WOVEN BAND,https://www.zara.com/ww/en/straw-hat-with-woven-band-p07150547.html,€9.95,€0,camel,"['6-12months(48cm)', '12-24months(50cm)', '2-4years(51cm)']",['Straw hat with coloured woven band.'],"['https://static.zara.net/photos///2019/V/0/3/p/7150/547/707/2/w/1024/7150547707_1_1_1.jpg?ts=1551378389137', 'https://static.zara.net/photos///2019/V/0/3/p/7150/547/707/2/w/1024/7150547707_2_1_1.jpg?ts=1551378381308']",8,babyboy,6,https://www.zara.com/ww/en/straw-hat-with-woven-band-p07150547.html
©SNOOPY CAP,https://www.zara.com/ww/en/%C2%A9snoopy-cap-p03920541.html,€7.95,€0,Ecru,"['12-24months(50cm)', '2-4years(51cm)']",['Cap with adjustable fastening in the back and embroidered ©SNOOPY motifs on the front. '],"['https://static.zara.net/photos///2019/V/0/3/p/3920/541/712/2/w/1024/3920541712_1_1_1.jpg?ts=1557913538648', 'https://static.zara.net/photos///2019/V/0/3/p/3920/541/712/2/w/1024/3920541712_2_1_1.jpg?ts=1554986111826', 'https://static.zara.net/photos///2019/V/0/3/p/3920/541/712/2/w/1024/3920541712_2_2_1.jpg?ts=1554986120374']",7,babyboy,6,https://www.zara.com/ww/en/%C2%A9snoopy-cap-p03920541.html
GREAT HUG NEWBORN PACK,https://www.zara.com/ww/en/great-hug-newborn-pack-p08501513.html,€7.95,€0,Ecru,['XS'],['Newborn pack. Beanie with knot appliqué and print. Mittens with cuffs. Bib with snap-button closure.'],"['https://static.zara.net/photos///2018/I/0/3/p/8501/513/712/9/w/1024/8501513712_2_10_1.jpg?ts=1543916084507', 'https://static.zara.net/photos///2018/I/0/3/p/8501/513/712/9/w/1024/8501513712_1_1_1.jpg?ts=1543916127388', 'https://static.zara.net/photos///2018/I/0/3/p/8501/513/712/9/w/1024/8501513712_2_1_1.jpg?ts=1543916075397', 'https://static.zara.net/photos///2018/I/0/3/p/8501/513/712/9/w/1024/8501513712_2_2_1.jpg?ts=1543916092773', 'https://static.zara.net/photos///2018/I/0/3/p/8501/513/712/9/w/1024/8501513712_2_3_1.jpg?ts=1543916100915', 'https://static.zara.net/photos///2018/I/0/3/p/8501/513/712/9/w/1024/8501513712_2_4_1.jpg?ts=1543916109695']",29,babygirl,5,https://www.zara.com/ww/en/great-hug-newborn-pack-p08501513.html
