goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Online Exclusive GG baseball hat with snakeskin,5779003HH399266,$690,$0,ivory/green GG raffia,"['x-small', 'small', 'medium', 'large']","[""A recognizable Gucci accessory, the baseball hat is presented in a combination of ivory and vivid green GG raffia for Pre-Fall 2019. An online exclusive, the style features the House's monogram motif. First used in the 1970s, the GG logo is an evolution of the original Gucci rhombi design. New shapes and signature Gucci lines are reimagined in a mix of fabrics and trims imbued with an inherently summer feel."", 'Ivory and green GG raffia', 'Green snakeskin detail at the back', 'Cotton lining', 'Adjustable hook and loop closure', 'Made in Italy', '']","['https://media.gucci.com/style/White_South_0_160_1200x1200/1552937406/577900_3HH39_9266_002_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1552937406/577900_3HH39_9266_003_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_20_316x395/1556627410/577900_3HH39_9266_008_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1560237303/577900_3HH39_9266_015_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1552937406/577900_3HH39_9266_001_100_0000_Light.jpg']",1,men,0,https://www.gucci.com/us/en/pr/men/mens-accessories/mens-hats-gloves/mens-baseball-caps/online-exclusive-gg-baseball-hat-with-snakeskin-p-5779003HH399266
GG fedora hat with snakeskin,5779053HH389260,$750,$0,ivory/black GG raffia,"['x-small', 'small', 'medium', 'large', 'x-large']","[""An unexpected combination of refined materials and streetwear inspired styles, this fedora is crafted from raffia with the House's monogram motif. As accessories continue to come to the forefront of Gucci's collection, the snakeskin trim adds a precious note. New shapes and signature Gucci lines are reimagined in a mix of fabrics and trims imbued with an inherently summer feel."", 'Ivory and black GG raffia', 'Black snakeskin trim', 'Cotton lining', 'Made in Italy']","['https://media.gucci.com/style/White_South_0_160_1200x1200/1552936504/577905_3HH38_9260_002_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1552936504/577905_3HH38_9260_003_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_20_316x395/1560243604/577905_3HH38_9260_008_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1552936504/577905_3HH38_9260_001_100_0000_Light.jpg']",5,men,0,https://www.gucci.com/us/en/pr/men/mens-accessories/mens-hats-gloves/mens-fedoras-sun-hats/gg-fedora-hat-with-snakeskin-p-5779053HH389260
Online Exclusive GG fedora hat with snakeskin,5779053HH399266,$750,$0,ivory/green GG raffia,"['x-small', 'small', 'medium', 'large', 'x-large']","[""A recognizable Gucci accessory, the fedora is presented in a combination of ivory and vivid green GG raffia for Pre-Fall 2019. An online exclusive, the style features the House's monogram motif. First used in the 1970s, the GG logo is an evolution of the original Gucci rhombi design. New shapes and signature Gucci lines are reimagined in a mix of fabrics and trims imbued with an inherently summer feel."", 'Ivory and green GG raffia', 'Green snakeskin trim', 'Cotton lining', 'Made in Italy']","['https://media.gucci.com/style/White_South_0_160_1200x1200/1552936505/577905_3HH39_9266_002_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1552936505/577905_3HH39_9266_003_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_20_316x395/1560243605/577905_3HH39_9266_008_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1560237304/577905_3HH39_9266_015_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1552936505/577905_3HH39_9266_001_100_0000_Light.jpg']",6,men,0,https://www.gucci.com/us/en/pr/men/mens-accessories/mens-hats-gloves/mens-fedoras-sun-hats/online-exclusive-gg-fedora-hat-with-snakeskin-p-5779053HH399266
GG canvas fedora,5765874HG622564,$530,$0,beige/brown GG canvas,"['small', 'medium', 'large', 'x-large', 'xx-large']","[""Crafted from monogram canvas, this fedora hat is completed by a tonal leather trim. Enhanced by the historic Double G detail on the side, both the archival references and the shape speak to the vintage feel that permeates the House's design narrative."", 'Beige/brown GG canvas', 'Brown leather trim', 'Cotton lining', 'Double G', 'Made in Italy']","['https://media.gucci.com/style/White_South_0_160_1200x1200/1556558104/576587_4HG62_2564_002_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1556558105/576587_4HG62_2564_003_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_20_316x395/1557851404/576587_4HG62_2564_008_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1556558104/576587_4HG62_2564_001_100_0000_Light.jpg']",7,men,0,https://www.gucci.com/us/en/pr/gifts/gifts-for-men/gg-canvas-fedora-p-5765874HG622564
Children's cotton hat with G patch,5324623HG815668,$420,$0,fuchsia cotton,"['small', 'medium', 'large']","[""The classic canvas baseball cap is reinterpreted through the Gucci lens with embroidered patches that tie into the House narrative. The varsity inspired G patch at the front is a reference to House name, while the winged skull on the side is influenced by the men's and women's Cruise 2019 runway show."", 'Fuchsia cotton', 'Varsity G patch on the front', 'Winged skull patch on the side', 'Elastic Web back strap', 'Made in Italy']",['https://media.gucci.com/style/White_South_0_160_1200x1200/1539362703/532462_3HG81_5668_002_100_0000_Light.jpg'],1,girls,3,https://www.gucci.com/us/en/pr/children/boys/soft-accessories/childrens-cotton-hat-with-g-patch-p-5324623HG815668
Children's GG wool silk tie,5293204K5154177,$100,$0,navy/white wool silk,"['small', 'medium']","['', 'Navy wool silk with white GG pattern jacquard', '70% wool and 30% silk', 'Made in Italy']",['https://media.gucci.com/style/White_South_0_160_1200x1200/1526905806/529320_4K515_4177_002_100_0000_Light.jpg'],1,boys,2,https://www.gucci.com/us/en/pr/children/boys/soft-accessories/childrens-gg-wool-silk-tie-p-5293204K5154177
Fedora with Web,5763744HG859664,$690,$0,beige vintage canvas,"['small', 'medium|Findinstore', 'large|Findinstore', 'medium', 'large', 'x-large']","[""This fedora is crafted from a woven canvas which undergoes a digital printing process to achieve a particular vintage appearance. Inspired by a piece from the archives, the fabric speaks to the House's fascination with other times and places. The hat is completed by the classic House Web and Interlocking G detail. New shapes and signature Gucci lines are reimagined in a mix of fabrics and trims imbued with an inherently summer feel."", 'Beige vintage canvas with dark brown leather trim', 'Green and red Web', 'Gold-toned hardware', 'Cotton lining', 'Interlocking G', 'Made in Italy']","['https://media.gucci.com/style/White_South_0_160_1200x1200/1556558103/576374_4HG85_9664_002_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1556558103/576374_4HG85_9664_003_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_20_316x395/1556658005/576374_4HG85_9664_008_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1556558103/576374_4HG85_9664_001_100_0000_Light.jpg']",8,men,0,https://www.gucci.com/us/en/pr/men/mens-accessories/mens-hats-gloves/mens-fedoras-sun-hats/fedora-with-web-p-5763744HG859664
GG baseball hat with snakeskin,5779003HH389260,$690,$0,ivory/black GG raffia,"['x-small', 'small', 'medium', 'large', 'x-large']","[""An unexpected combination of refined materials and streetwear inspired styles, this baseball hat is crafted from raffia with the House's monogram motif. As accessories continue to come to the forefront of Gucci's collection, the snakeskin detail at the back adds a precious note. New shapes and signature Gucci lines are reimagined in a mix of fabrics and trims imbued with an inherently summer feel."", 'Ivory and black GG raffia', 'Black snakeskin detail at the back', 'Adjustable hook and loop closure', 'Cotton lining', 'Made in Italy', '']","['https://media.gucci.com/style/White_South_0_160_1200x1200/1552937405/577900_3HH38_9260_002_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1552937405/577900_3HH38_9260_003_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_20_316x395/1556790305/577900_3HH38_9260_008_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1556790306/577900_3HH38_9260_011_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1552937405/577900_3HH38_9260_001_100_0000_Light.jpg']",2,men,0,https://www.gucci.com/us/en/pr/men/mens-accessories/mens-hats-gloves/mens-baseball-caps/gg-baseball-hat-with-snakeskin-p-5779003HH389260
GG visor with snakeskin,5779023HH389260,$490,$0,ivory/black GG raffia,"['x-small', 'small', 'medium', 'large', 'x-large']","[""Channeling the preppy influence that underlays the House's narrative universe, the visor is presented in raffia and decorated with the monogram motif. A historic pattern, the GG logo is inspired by the original Gucci rhombi design from the '30s. The black snakeskin trim adds a precious note. New shapes and signature Gucci lines are reimagined in a mix of fabrics and trims imbued with an inherently summer feel."", 'Ivory and black GG raffia', 'Black snakeskin trim', 'Cotton lining', 'Adjustable hook and loop closure', 'Made in Italy', '']","['https://media.gucci.com/style/White_South_0_160_1200x1200/1553166904/577902_3HH38_9260_002_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1553166905/577902_3HH38_9260_003_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_20_316x395/1560243604/577902_3HH38_9260_008_100_0000_Light.jpg', 'https://media.gucci.com/style/White_South_0_160_1200x1200/1553166904/577902_3HH38_9260_001_100_0000_Light.jpg']",3,men,0,https://www.gucci.com/us/en/pr/men/mens-accessories/mens-hats-gloves/mens-fedoras-sun-hats/gg-visor-with-snakeskin-p-5779023HH389260
Children's GG rainbow star hat,4817573HG528919,$285,$0,GG Supreme rainbow star,"['small|Findinstore', 'medium', 'small', 'large']","['The classic baseball cap is constructed from GG Supreme canvas with a mesh back. Each season, the GG motif is animated with new prints. For Cruise 2019, a spattering of stars in a rainbow of colors stands out against the signature House pattern.', 'Beige/ebony GG Supreme canvas with rainbow star print, a material with low environmental impact', 'Mesh back', 'Adjustable velcro with Web', 'Made in Italy']",['https://media.gucci.com/style/White_South_0_160_1200x1200/1539797404/481757_3HG52_8919_002_100_0000_Light.jpg'],2,girls,3,https://www.gucci.com/us/en/pr/children/boys/soft-accessories/childrens-gg-rainbow-star-hat-p-4817573HG528919
