goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
跑步系列棒球帽,AMYN058-4,￥58,￥99,黑,['all'],"['跑步系列棒球帽，运用简单的色彩搭配，休闲百搭。帽子正面李宁品牌标识设计，精致做工，彰显品牌魅力。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 网料：', '聚酯纤维', '√ 帽檐里料：', '聚酯纤维', '√ 规格：', '56-60cm√ 帽身反光元素设计，提升夜跑安全性√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201804/386042/max_display_386042_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201804/386042/max_display_386042_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201804/386042/max_display_386042_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201804/386042/max_display_386042_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201804/386042/max_display_386042_5.jpg']",1,mens,0,https://store.lining.com/shop/goods-476224.html
【2019新品】韦德系列棒球帽,AMYP164-1,￥129.00,￥139.00,黑,['all'],"['韦德系列棒球帽，运用简单的色彩搭配，休闲百搭。帽子前幅字母印花设计，简约大气，美观时尚。帽子采用可调式设计，可根据自身需求灵活调节松紧度。', '√ 面料1：', '聚酯纤维', '√ 面料2：', '聚酯纤维', '√ 里料：', '聚酯纤维', '√ 帽檐里料：', '棉', '√ 规格：', '56-60cm√ 舒适的帽型设计，运动时尚，将美观与实用相融合']","['https://cdns.lining.com/postsystem/docroot/images/goods/201903/469883/max_display_469883_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/469883/max_display_469883_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/469883/max_display_469883_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/469883/max_display_469883_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/469883/max_display_469883_5.jpg']",2,mens,0,https://store.lining.com/shop/goods-560067.html
跑步系列棒球帽,AMYN058-1,￥58.00,￥99.00,白,['all'],"['跑步系列棒球帽，运用简单的色彩搭配，休闲百搭。帽子正面李宁品牌标识设计，精致做工，彰显品牌魅力。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 网料：', '聚酯纤维', '√ 帽檐里料：', '聚酯纤维', '√ 规格：', '56-60cm√ 帽身反光元素设计，提升夜跑安全性√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201803/383927/max_display_383927_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201803/383927/max_display_383927_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201803/383927/max_display_383927_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201803/383927/max_display_383927_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201803/383927/max_display_383927_5.jpg']",1,mens,0,https://store.lining.com/shop/goods-474109.html
跑步系列棒球帽,AMYN058-2,￥58.00,￥99.00,红,['all'],"['跑步系列棒球帽，运用简单的色彩搭配，休闲百搭。帽子正面李宁品牌标识设计，精致做工，彰显品牌魅力。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 网料：', '聚酯纤维', '√ 帽檐里料：', '聚酯纤维', '√ 规格：', '56-60cm√ 帽身反光元素设计，提升夜跑安全性√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201803/383933/max_display_383933_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201803/383933/max_display_383933_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201803/383933/max_display_383933_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201803/383933/max_display_383933_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201803/383933/max_display_383933_5.jpg']",1,mens,0,https://store.lining.com/shop/goods-474115.html
跑步系列棒球帽,AMYN058-4,￥58,￥99,黑,['all'],"['跑步系列棒球帽，运用简单的色彩搭配，休闲百搭。帽子正面李宁品牌标识设计，精致做工，彰显品牌魅力。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 网料：', '聚酯纤维', '√ 帽檐里料：', '聚酯纤维', '√ 规格：', '56-60cm√ 帽身反光元素设计，提升夜跑安全性√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201804/386042/max_display_386042_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201804/386042/max_display_386042_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201804/386042/max_display_386042_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201804/386042/max_display_386042_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201804/386042/max_display_386042_5.jpg']",1,womens,1,https://store.lining.com/shop/goods-476224.html
跑步系列棒球帽,AMYN058-1,￥58.00,￥99.00,白,['all'],"['跑步系列棒球帽，运用简单的色彩搭配，休闲百搭。帽子正面李宁品牌标识设计，精致做工，彰显品牌魅力。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 网料：', '聚酯纤维', '√ 帽檐里料：', '聚酯纤维', '√ 规格：', '56-60cm√ 帽身反光元素设计，提升夜跑安全性√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201803/383927/max_display_383927_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201803/383927/max_display_383927_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201803/383927/max_display_383927_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201803/383927/max_display_383927_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201803/383927/max_display_383927_5.jpg']",1,womens,1,https://store.lining.com/shop/goods-474109.html
【2019新品】韦德系列棒球帽,AMYP164-1,￥129.00,￥139.00,黑,['all'],"['韦德系列棒球帽，运用简单的色彩搭配，休闲百搭。帽子前幅字母印花设计，简约大气，美观时尚。帽子采用可调式设计，可根据自身需求灵活调节松紧度。', '√ 面料1：', '聚酯纤维', '√ 面料2：', '聚酯纤维', '√ 里料：', '聚酯纤维', '√ 帽檐里料：', '棉', '√ 规格：', '56-60cm√ 舒适的帽型设计，运动时尚，将美观与实用相融合']","['https://cdns.lining.com/postsystem/docroot/images/goods/201903/469883/max_display_469883_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/469883/max_display_469883_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/469883/max_display_469883_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/469883/max_display_469883_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201903/469883/max_display_469883_5.jpg']",2,womens,1,https://store.lining.com/shop/goods-560067.html
巴黎时装周中国李宁系列棒球帽,AMYN139-8,￥199.00,￥199.00,白,['all'],"['巴黎时装周中国李宁系列棒球帽，运用简单的色彩搭配，休闲百搭。帽身上文字设计，精致美观，凸显细节感。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 网料：', '聚酯纤维', '√ 规格：', '56-60cm√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201807/413344/max_display_413344_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201807/413344/max_display_413344_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201807/413344/max_display_413344_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201807/413344/max_display_413344_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201807/413344/max_display_413344_5.jpg']",3,womens,1,https://store.lining.com/shop/goods-503526.html
【2019新品】韦德系列男子棒球帽,AMYP055-1,￥199,￥199,黑,['all'],"['韦德系列棒球帽，运用简单的色彩搭配，休闲百搭。帽子上韦德字母设计，简约大气，潮流时尚。帽子上刺绣英文字母设计，潮流时尚。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '聚酯纤维', '√ 帽檐里料：', '棉', '√ 里料：', '聚酯纤维', '√ 规格：', '56-60cm√ 后幅调节袢设计，可根据头围调整大小']","['https://cdns.lining.com/postsystem/docroot/images/goods/201905/483639/max_display_483639_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201905/483639/max_display_483639_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201905/483639/max_display_483639_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201905/483639/max_display_483639_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201905/483639/max_display_483639_5.jpg']",4,mens,0,https://store.lining.com/shop/goods-573823.html
巴黎时装周中国李宁系列棒球帽,AMYN139-1,￥199,￥199,黑色,['all'],"['纽约时装周中国李宁系列棒球帽，运用简洁的色彩搭配，简单时尚。帽子上的李宁品牌标识设计，精致做工，彰显品牌魅力。舒适的帽型设计，运动时尚，将美观与实用相融合。', '√ 面料：', '97%聚酯纤维 3%氨纶', '√ 粘合材料：', '聚酯纤维', '√ 规格：', '56-60cm√ 帽子采用可调式设计，可根据自身需求灵活调节松紧度']","['https://cdns.lining.com/postsystem/docroot/images/goods/201801/367283/max_display_367283_1.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201801/367283/max_display_367283_2.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201801/367283/max_display_367283_3.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201801/367283/max_display_367283_4.jpg', 'https://cdns.lining.com/postsystem/docroot/images/goods/201801/367283/max_display_367283_5.jpg']",3,womens,1,https://store.lining.com/shop/goods-457463.html
