goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Lilac Gingham Bucket Hat,617206655,£7.99,£0,Lilac,['onesize'],"['Block out the sun with this stylish gingham bucket hat.', 'Gingham print', 'Bucket style', 'Soft finish', '51% Polyester, 39% Viscose', 'Hand wash only.']","['https://media2.newlookassets.com/i/newlook/617206655.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/617206655D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/617206655D2.jpg?strip=true&qlt=80&w=1400']",1,womens,1,https://www.newlook.com/uk/womens/accessories/hats/lilac-gingham-bucket-hat/p/617206655
Rose Gold Woven Straw Effect Floppy Hat,619396694,£14.99,£0,Rose Gold,['onesize'],"['Glam up your look with this metallic floppy hat.', 'Straw effect', 'Metallic finish', 'Wide floppy design', 'Item 1: 82% Polyester, 18% Metallised Fibres.', 'Item 2: 100% Polyester.']","['https://media2.newlookassets.com/i/newlook/619396694.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/619396694D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/619396694D2.jpg?strip=true&qlt=80&w=1400']",22,womens,1,https://www.newlook.com/uk/womens/accessories/hats/rose-gold-woven-straw-effect-floppy-hat/p/619396694
Stone Crochet Straw Bucket Hat,623538916,£8.99,£0,Stone,['onesize'],"['Add that little bit extra to your sunny looks with this crochet bucket hat.', 'Crochet straw finish', 'Tie trim', 'Wide floppy brim', 'Item 1: 100% Straw.', 'Item 2: 100% Polyester.']","['https://media2.newlookassets.com/i/newlook/623538916.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/623538916D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/623538916D2.jpg?strip=true&qlt=80&w=1400']",23,womens,1,https://www.newlook.com/uk/womens/accessories/hats/stone-crochet-straw-bucket-hat/p/623538916
Tan Pom Pom Trim Woven Straw Effect Fedora,617198518,£8.99,£0,Tan,['onesize'],"['Effortlessly add style to your look with this straw-effect fedora.', 'Straw-effect finish', 'Pom pom trim', 'Floppy brim', 'Item 1: 65% Paper, 35% Polyester.', 'Item 2: 100% Polyester.']","['https://media2.newlookassets.com/i/newlook/617198518.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/617198518D1.jpg?strip=true&qlt=80&w=1400']",28,womens,1,https://www.newlook.com/uk/womens/accessories/hats/tan-pom-pom-trim-woven-straw-effect-fedora/p/617198518
Black Woven Straw Boater Hat,617199601,£12.99,£0,Black,['onesize'],"[""Rochelle's Summer Edit"", 'Our brand ambassador Rochelle Humes is back with a brand new edit. Handpicked by the TV and radio star herself, meet the trends heating up summer.', 'Update your warm-weather collection with this bow trim hat.', 'Real straw', 'Bow back detail', 'Broad folded rim', 'Perforated detail', 'Outer: 100% Straw.', 'Band: 100% Polyester', 'Trim: 67% Polyester, 33% Cotton.', 'Do not wear in the rain.']","['https://media3.newlookassets.com/i/newlook/617199601.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/617199601D1.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/617199601D2.jpg?strip=true&qlt=80&w=1400']",25,womens,1,https://www.newlook.com/uk/womens/accessories/hats/black-woven-straw-boater-hat/p/617199601
Black Canvas Cap,617657901,£6.99,£0,Black,['onesize'],"['Offset your outfit with this black canvas cap.', 'Curved peak', '6 panels', 'Canvas finish', 'Rip-tape fastening', 'Outer: 100% Polyester.', 'Band: 100% Polyester.']","['https://media3.newlookassets.com/i/newlook/617657901.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/617657901D1.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/617657901D2.jpg?strip=true&qlt=80&w=1400']",26,womens,1,https://www.newlook.com/uk/womens/accessories/hats/black-canvas-cap/p/617657901
Tan Straw Effect Rope Ribbon Floppy Hat,619399218,£12.99,£0,Tan,['onesize'],"['Weave together plenty of looks with this tan floppy hat', 'Straw-effect finish', 'Rope ribbon detail', 'Wide brim', 'Outer: 89% Paper, 11% Polyester.', 'Band: 100% Polyester.']","['https://media2.newlookassets.com/i/newlook/619399218.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/619399218D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/619399218D2.jpg?strip=true&qlt=80&w=1400']",24,womens,1,https://www.newlook.com/uk/womens/accessories/hats/tan-straw-effect-rope-ribbon-floppy-hat/p/619399218
Stone Woven Straw Effect Shell Trim Cowboy Hat,617199316,£12.99,£0,Stone,['onesize'],"['Update your warm-weather collection with this shell trim hat.', 'Straw effect', 'Shell trim', 'Broad folded rim', 'Cut-out detail', 'Item 1: 100% Paper.', 'Item 2: 100% Polyester.', 'Item 3: 100% Real Shell.']","['https://media2.newlookassets.com/i/newlook/617199316.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/617199316D1.jpg?strip=true&qlt=80&w=1400']",20,womens,1,https://www.newlook.com/uk/womens/accessories/hats/stone-woven-straw-effect-shell-trim-cowboy-hat/p/617199316
Tan Pom Pom Trim Woven Straw Effect Fedora,617198576,£8.99,£0,Bright Pink,['onesize'],"['Effortlessly add style to your look with this straw-effect fedora.', 'Straw-effect finish', 'Pom pom trim', 'Floppy brim', 'Item 1: 65% Paper, 35% Polyester.', 'Item 2: 100% Polyester.']","['https://media2.newlookassets.com/i/newlook/617198576.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/617198576D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/617198576D2.jpg?strip=true&qlt=80&w=1400']",28,womens,1,https://www.newlook.com/uk/womens/accessories/hats/multicoloured-pom-pom-trim-woven-straw-effect-fedora/p/617198576
Black Canvas Cap,617657955,£6.99,£0,Lilac,['onesize'],"['Offset your outfit with this lilac canvas cap.', 'Curved peak', '6 panels', 'Canvas finish', 'Rip-tape fastening', 'Outer: 100% Cotton.', 'Lining: 93% Polyester, 4% Cotton, 3% Viscose.']","['https://media2.newlookassets.com/i/newlook/617657955.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/617657955D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/617657955D2.jpg?strip=true&qlt=80&w=1400']",26,womens,1,https://www.newlook.com/uk/womens/accessories/hats/lilac-canvas-cap/p/617657955
