产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Kith x nonnative Ripstop Runners Cap,KH5708-103,$55.0,$0.0,Grey,"['N/A', 'OS']","['Nylon ripstop fabric', 'Mesh inserts', 'Embroidered Kith classic logo on front', 'Nylon webbing closure with plastic clip adjuster', 'One size fits all', 'Style: KH5708-103', 'Color: Grey', 'Material: Nylon / Mesh']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_2991_280c67f9-f1a5-48cc-8689-1254dd7d8129.jpg?v=1542746852', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_2992_2fab8291-71f8-41ab-88ff-5ec9ec881641.jpg?v=1542746852', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_2993_095a4e39-8f8e-49d1-9a13-61b38d4db64d.jpg?v=1542746852']",1,men,1,https://kith.com/products/kith-x-nonntaive-ripstop-runners-cap-grey
Kith Wreath Blackwatch Cap,KH5183-109,$60.0,$0.0,Navy / Blue,['OS'],"['Cotton twill fabric', 'Plaid crown and brim', 'Custom woven patch', 'Gold hardware', 'Style: KH5183-109', 'Color: Navy / Blue', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1141_eaf2acac-307e-425d-89c5-95bb849586f4.jpg?v=1540498326', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1142_a3de4112-4d17-4bea-9574-46457cc15467.jpg?v=1540498328', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1143_d2d7a3b4-111a-4d28-ab4d-e237b31e3b63.jpg?v=1540498330']",2,men,1,https://kith.com/products/kith-wreath-blackwatch-cap-navy-blue
Kith Wreath Blackwatch Cap,KH5183-106,$60.0,$0.0,Navy / Green,['OS'],"['Cotton twill fabric', 'Plaid crown and brim', 'Custom woven patch', 'Gold hardware', 'Style: KH5183-106', 'Color: Navy / Green', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1137_d9bbcb28-f6ed-4070-a852-c5db63101c18.jpg?v=1540498481', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1138_651f27ad-ae61-47f0-b959-3a25a14ea047.jpg?v=1540498483', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1139_0a4e8df9-a612-4737-bc40-c3a962a29d77.jpg?v=1540498484']",3,men,1,https://kith.com/products/kith-wreath-blackwatch-cap-navy-green
Kith Crest Flat Cap,KH5188-110,$60.0,$0.0,Navy / Red,['OS'],"['Cotton twill fabric', 'Plaid crown and brim', 'Embroidered logo', 'Strap back closure', 'Gold hardware', 'Style: KH5188-110', 'Color: Navy / Red', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1155_bb04b097-7727-4aff-bf6f-3610f173beb9.jpg?v=1540494665', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1156_affcdafa-ab5a-448e-b62d-1357c2d697b1.jpg?v=1540494667', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1157_ed48607c-b599-495e-95b3-aea3e1c809c4.jpg?v=1540494669']",4,men,1,https://kith.com/products/kith-crest-flat-cap-navy-red
Kith Crest Flat Cap,KH5188-102,$60.0,$0.0,Navy / Blue,['OS'],"['Cotton twill fabric', 'Plaid crown and brim', 'Embroidered logo', 'Strap back closure', 'Gold hardware', 'Style: KH5188-102', 'Color: Navy / Blue', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1159_adbae6bb-21b5-4319-8ebd-68743f21001a.jpg?v=1540477429', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1160_fc37d6dc-9143-4f3f-95ac-082e23654a3f.jpg?v=1540477431', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_1161_de77a7c3-a294-40ab-b678-109b49265380.jpg?v=1540477433']",5,men,1,https://kith.com/products/kith-crest-flat-cap-navy-blue
Ader Error Basic Knit Beanie,AE18AFWKO04BK3-BLACK,$102.0,$0.0,Black,['OS'],"['Cotton fabric', 'Ribbed brim', 'Rubberized Ader logo patch', 'Stitch detail on rear', 'Style: AE18AFWKO04BK3-BLACK', 'Color: Black', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWKA04BK3-BLACK-1.jpg?v=1540335290', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWKA04BK3-BLACK-2.jpg?v=1540335293', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWKA04BK3-BLACK-3.jpg?v=1540335296']",6,men,1,https://kith.com/products/ader-error-basic-knit-beanie-black
Ader Error Basic Knit Beanie,AE18AFWKO4BL3,$102.0,$0.0,Blue,['OS'],"['Cotton fabric', 'Ribbed brim', 'Rubberized Ader logo patch', 'Stitch detail on rear', 'Style: AE18AFWKO4BL3', 'Color: Blue', 'Material: Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWKO4BL3-1.jpg?v=1540335206', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWKO4BL3-2.jpg?v=1540335208', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWKO4BL3-3.jpg?v=1540335211']",7,men,1,https://kith.com/products/ader-error-basic-knit-beanie-blue
Ader Error Wide Brim Cap with Deep Girt,AE18AFWCA02NV3,$102.0,$0.0,Navy,['OS'],"['Canvas fabric', 'Embroidered logo on chest', 'Rear strapback closure', 'Metal hardware', 'Style: AE18AFWCA02NV3', 'Color: Navy', 'Material: Canvas']","['http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWCA02NV3-1.jpg?v=1540335062', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWCA02NV3-2.jpg?v=1540335062', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWCA02NV3-3.jpg?v=1540335062']",8,men,1,https://kith.com/products/ader-error-wide-brim-cap-with-deep-girt-navy
Ader Error Wide Brim Cap with Deep Girt,AE18AFWCA02BK3,$102.0,$0.0,Black,['OS'],"['Canvas fabric', 'Embroidered logo on chest', 'Rear strapback closure', 'Metal hardware', 'Style: AE18AFWCA02BK3', 'Color: Black', 'Material: Canvas']","['http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWCA02BK3-1.jpg?v=1540335445', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWCA02BK3-2.jpg?v=1540335447', 'http://cdn.shopify.com/s/files/1/0094/2252/products/AE18AFWCA02BK3-3.jpg?v=1540335448']",9,men,1,https://kith.com/products/ader-error-wide-brim-cap-with-deep-girt-black
Kith x Kangol Wool 504s Driver Hat,KAK3369SM,$98.0,$0.0,Navy,"['S', 'M', 'L', 'XL']","['Wool fabric', '100% seamless design', '1 1/2"" brim', 'Flat crown', '504 name comes from the block number it was made on', 'Embroidered co-branded Kith logo on rear', 'strong>S = 55cm = 6 7/8</strong><br><strong>M = 57cm = 7 1/8</strong><br><strong>L = 59cm = 7 3/8</strong', 'Style: KAK3369SM', 'Color: Navy', 'Material: Wool']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_0704_e5c13b34-8fb9-4866-9ef4-7588e6e7ebec.jpg?v=1538750291', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_0701_5b9f3322-6662-4eae-8506-8da58f6dc878.jpg?v=1538750291', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_0702_53ea5684-d559-4255-8895-e2fac8dd81a5.jpg?v=1538750291']",10,men,1,https://kith.com/products/kith-x-kangol-wool-504s-driver-hat-navy
Kidset Us Logo Hat,KHK5000-102,$36.0,$0.0,Navy,['OS'],"['Snapback hat', 'Wool-acrylic blend', 'Direct embroidered <em>Us</em> logo and left <em>Kith</em> logo</p>\n<ul></ul', 'Style: KHK5000-102', 'Color: Navy', 'Material: Wool / Acrylic']","['http://cdn.shopify.com/s/files/1/0094/2252/products/oct-30--104_7519d4bc-4151-4a46-aa26-5dcf65a96bd3.jpg?v=1476729160', 'http://cdn.shopify.com/s/files/1/0094/2252/products/oct-30--105_3c1ce02a-7903-47c9-8dfb-babfafd052d6.jpg?v=1476729160', 'http://cdn.shopify.com/s/files/1/0094/2252/products/20150702-_MG_9232_69fdcbbb-2921-443d-b031-3557519055c2.jpg?v=1476729160']",1,kid,2,https://kith.com/products/kidset-us-logo-hat-navy
Kidset Kith Logo Beanie,KHK5041-100,$35.0,$0.0,Black,['OS'],"['meta charset=""utf-8"">\n<ul>\n<li>Classic beanie</li>\n<li>Acrylic fabric</li>\n<li>Rib knit construction</li>\n<li>Stitched mini KITH logo</li>\n</ul', 'Style: KHK5041-100', 'Color: Black', 'Material: Acrylic']","['http://cdn.shopify.com/s/files/1/0094/2252/products/PSY31669-2.progressive_cc7ae048-e3b2-44e7-b4a4-3c548b975b26.jpg?v=1476731113', 'http://cdn.shopify.com/s/files/1/0094/2252/products/PSY31670-2.progressive_96ebda82-dcbe-4ddf-94a4-b47b9057e546.jpg?v=1476731113']",2,kid,2,https://kith.com/products/kidset-kith-logo-beanie-black
Kith Kids Striped Beanie,KHK5014-103,$35.0,$0.0,Heather Grey,['OS'],"['Acrylic fabric', 'Heavyweight', 'Intarsia Kith logo on front', 'Pom-pom on top of head', 'Style: KHK5014-103', 'Color: Heather Grey', 'Material: 100% Acrylic']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_6342_1096815c-b097-41ed-bd00-4be61c18208f.jpg?v=1510877979', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_6339_5c206b89-b939-4615-81bc-b5a5f245eba7.jpg?v=1510877979']",3,kid,2,https://kith.com/products/kidset-kith-striped-beanie-heather-grey
Kith Kids Classic Logo Beanie,KHK5002-110,$35.0,$0.0,Red,['OS'],"['Acrylic fabric', 'Heavyweight', 'Embroidered Kith classic logo on front', 'Style: KHK5002-110', 'Color: Red', 'Material: 100% Acrylic']","['http://cdn.shopify.com/s/files/1/0094/2252/products/KH5002-110-1.jpg?v=1510877203', 'http://cdn.shopify.com/s/files/1/0094/2252/products/KH5002-110-2.jpg?v=1510877204', 'http://cdn.shopify.com/s/files/1/0094/2252/products/KH5002-110-3.jpg?v=1510877205']",4,kid,2,https://kith.com/products/kidset-classic-logo-beanie-red
Kith Kids US Beanie,KHK5003-100,$35.0,$0.0,Black,['OS'],"['Acrylic fabric', 'Heavyweight', 'Direct embroidered US logo on front', 'Style: KHK5003-100', 'Color: Black', 'Material: 100% Acrylic']","['http://cdn.shopify.com/s/files/1/0094/2252/products/KH5003-100-1.jpg?v=1510877996', 'http://cdn.shopify.com/s/files/1/0094/2252/products/KH5003-100-2.jpg?v=1510877997', 'http://cdn.shopify.com/s/files/1/0094/2252/products/KH5003-100-3.jpg?v=1510877997']",5,kid,2,https://kith.com/products/kidset-us-beanie-black
Kith Kids US Snapback,KHK5006-110,$35.0,$0.0,Red,['OS'],"['Cotton twill fabric', '6-panel construction', 'Puff US embroidery on front', 'Snapback closure on rear', 'Style: KHK5006-110', 'Color: Red', 'Material: 100% Cotton']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_2652_ac657e33-efdb-4f79-afeb-bf9a7da189fe.jpg?v=1521841139', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_2653_9d53ba1f-ff15-4b0b-a5ea-edeac6738be1.jpg?v=1521841140', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_2654.jpg?v=1521841141']",6,kid,2,https://kith.com/products/kith-kids-us-snapback-red
Kidset Kith Logo Beanie,KHK5041-103,$35.0,$0.0,Grey,['OS'],"['meta charset=""utf-8"">\n<ul>\n<li>Classic beanie</li>\n<li>Acrylic fabric</li>\n<li>Rib knit construction</li>\n<li>Stitched mini KITH logo</li>\n</ul', 'Style: KHK5041-103', 'Color: Grey', 'Material: Acrylic']","['http://cdn.shopify.com/s/files/1/0094/2252/products/PSY31673-2.progressive_22b57d7d-4f24-4553-bf43-c7d92415aad5.jpg?v=1476731096', 'http://cdn.shopify.com/s/files/1/0094/2252/products/PSY31674-2.progressive_af695778-ef93-4975-9fad-9bec07818446.jpg?v=1476731096']",7,kid,2,https://kith.com/products/kidset-kith-logo-beanie-grey
Kith Kids Striped Beanie,KHK5014-102,$35.0,$0.0,Navy,['OS'],"['Acrylic fabric', 'Heavyweight', 'Intarsia Kith logo on front', 'Pom-pom on top of head', 'Style: KHK5014-102', 'Color: Navy', 'Material: 100% Acrylic']","['http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_6336_bbfddd7e-8d49-49d8-84b0-aaf5f7c12eba.jpg?v=1510877989', 'http://cdn.shopify.com/s/files/1/0094/2252/products/DSC_6337_10451ef1-58b0-489d-8707-2bf3030ecc53.jpg?v=1510877990']",8,kid,2,https://kith.com/products/kidset-kith-striped-beanie-navy
