产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品评论,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_comments,goods_url
BASEB CLASS TRE 帽子,EC3603,¥149,0,黑/白,"['OSFW', 'OSFM']",[],"['https:https://img.adidas.com.cn/resources/2018/12/7/15441660972914494_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441661010871243_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/1544166093057856_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441660948558801_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441660907822647_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441660882203005_500X500.jpg']",中性 ORIGINALS,1,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/12/19', 'goods_comment_comment': '帽子很不错，价格也适宜.值得入手.'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/16', 'goods_comment_comment': '我买了，另外两个朋友也买了～ 看似普通，实际效果非常棒'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/16', 'goods_comment_comment': '非常喜欢的帽子，做工很棒，已经推荐我朋友买了2顶了'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/16', 'goods_comment_comment': '这个价格横向对比简直是物有所值，第二顶 下次还会买adidas'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/16', 'goods_comment_comment': '做工精良啊 149买到感觉很赚 性价比很高 喜欢还会购买的'}]",https://www.adidas.com.cn/item/EC3603?locale=zh_CN
HARDEN CAP 运动帽,DW4720,¥229,0,黑/铁灰,"['OSFW', 'OSFM']",[],"['https:https://img.adidas.com.cn/resources/2018/12/7/15441509934483802_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441509859571201_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441509814875268_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441509878657164_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/1544150990914325_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441509784328920_500X500.jpg']",中性 篮球,2,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/12/19', 'goods_comment_comment': '帽子很好 正合适 平时本来就很难买到帽子'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/11', 'goods_comment_comment': '用的阿迪的优惠券购买的，质量非常好，有很多有心的细节。'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/10', 'goods_comment_comment': '样式很好看，积分兑换的，可以的'}]",https://www.adidas.com.cn/item/DW4720?locale=zh_CN
HARDEN CAP 运动帽,DW4719,¥229,0,五度灰/黑,"['OSFW', 'OSFM']",[],"['https:https://img.adidas.com.cn/resources/2018/12/7/15441509258536064_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441509351633383_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441509275071857_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441509233789003_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441509292982475_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441509327576388_500X500.jpg']",中性 篮球,3,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/12/19', 'goods_comment_comment': '帽子很好 正合适 平时本来就很难买到帽子'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/11', 'goods_comment_comment': '用的阿迪的优惠券购买的，质量非常好，有很多有心的细节。'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/10', 'goods_comment_comment': '样式很好看，积分兑换的，可以的'}]",https://www.adidas.com.cn/item/DW4719?locale=zh_CN
CLMLT VISOR 运动帽,DV0862,¥89,0, 粉/ 粉/传奇墨水蓝,['OSFW'],[],"['https:https://img.adidas.com.cn/resources/2018/12/7/15441507601208654_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441507674305746_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441507642621033_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441507617744481_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441507690469118_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441507576508206_500X500.jpg']",中性 网球,4,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/12/18', 'goods_comment_comment': '帽子好看，洋气，颜色也好，夏天或训练带不热还洋气。'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/16', 'goods_comment_comment': '送女朋友的，粉色很好看。赞赞赞赞赞'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/16', 'goods_comment_comment': '还不错,.挺好的,,值得购买.........'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/16', 'goods_comment_comment': '还不错,.挺好的,,值得购买.........'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/15', 'goods_comment_comment': '很适合跑步🏃 ，漂亮，舒适。'}]",https://www.adidas.com.cn/item/DV0862?locale=zh_CN
AC CAP TRE FLAT 帽子,DV0236,¥299,0,黑/白,"['OSFW', 'OSFM']",[],"['https:https://img.adidas.com.cn/resources/2018/12/7/15441656692124877_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441656674956284_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441656773858677_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441656744746532_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441656717009854_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441656792758587_500X500.jpg']",中性 ORIGINALS,5,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/12/16', 'goods_comment_comment': '尺码正好、非常舒适、做工优质。虽然对我来说贵了，但还是忍不住买了。满意'}]",https://www.adidas.com.cn/item/DV0236?locale=zh_CN
AC CAP TRE FLAT 帽子,DV0235,¥299,0,灰粉/白,"['OSFW', 'OSFM']",[],"['https:https://img.adidas.com.cn/resources/2018/12/7/15441657158363213_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441657200707599_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441657182844320_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/1544165721727747_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441657254495613_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441657133056007_500X500.jpg']",中性 ORIGINALS,6,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/12/16', 'goods_comment_comment': '尺码正好、非常舒适、做工优质。虽然对我来说贵了，但还是忍不住买了。满意'}]",https://www.adidas.com.cn/item/DV0235?locale=zh_CN
C40 LINEAR CAP 运动帽,DU8151,¥129,0,黑/白,"['OSFW', 'OSFM']",[],"['https:https://img.adidas.com.cn/resources/2018/12/7/15441508593926964_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441508577708138_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441508560408490_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441508657757473_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441508686082002_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441508611271924_500X500.jpg']",中性 训练,7,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/12/19', 'goods_comment_comment': '好很好好很好好很好好很好好很好好很好'}]",https://www.adidas.com.cn/item/DU8151?locale=zh_CN
6P 3S CAP COTTO 运动帽,DU0197,¥99,0,白/黑/黑,"['OSFW', 'OSFM']","[' 这款帽子采用Climalite面料打造，力求助你保持干爽。背面配可调节按扣，预成型帽檐缀三条纹标志。 ', 'Climalite面料', '中号预成型帽檐缀刺绣三条纹', '背面可调节束带配扣环', '六片式结构', '正面饰adidas绣标', '均码，旨在适合多数人使用']","['https:https://img.adidas.com.cn/resources/2018/12/7/1544150810947236_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441508091772653_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441508071676987_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441507950757669_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441507996583903_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441508043492170_500X500.jpg']",中性 训练,8,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/04/06', 'goods_comment_comment': '时尚潮流非常喜欢，以后常来买衣服鞋子帽子'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/18', 'goods_comment_comment': '质量、款式都很满意，不愧是世界名牌，信任阿迪！'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/14', 'goods_comment_comment': '帽子很帅啊好喜欢之前买过黑色的，这次买顶白色的'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/11', 'goods_comment_comment': '帽子非常不错，很喜欢，很好看，'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/12/10', 'goods_comment_comment': '特别喜欢这一款帽子，值得你拥有，谢谢阿迪达斯。'}]",https://www.adidas.com.cn/item/DU0197?locale=zh_CN
C40 6P 3S CLMLT 运动帽,DT8543,¥149,0,传奇墨水蓝/白,"['OSFW', 'OSFM']","[' 旨在适合户外运动的弹力训练帽。含Climalite汗带。背面按扣搭扣调节。 ', 'Climalite汗带', '中弧度预成型弧形帽檐', '背面可调节束带配扣环', '帽檐缀热塑性聚氨酯橡胶（TPU）三条纹', '正面缀浮面adidas运动徽标']","['https:https://img.adidas.com.cn/resources/2018/12/7/15441510969619994_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441511072415775_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441511021818542_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441511047949414_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441510998604763_500X500.jpg', 'https:https://img.adidas.com.cn/resources/2018/12/7/15441511088779374_500X500.jpg']",中性 训练,9,men,1,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/12/10', 'goods_comment_comment': '帽子面料很好&middot;带着很舒服&middot;男女都好看'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/09/22', 'goods_comment_comment': '很好！很好！很好！很好！很好！很好！很好！'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/09/21', 'goods_comment_comment': '给爸爸买的，他没怎么戴我倒是时不时戴下，还不错，很阿迪的设计'}, {'goods_comment_star': 5, 'goods_comment_time': '2018/01/21', 'goods_comment_comment': '还不错，带起来很舒服也非常合适哦~推荐推荐'}, {'goods_comment_star': 5, 'goods_comment_time': '2017/12/18', 'goods_comment_comment': '还行吧  冬天有点薄了  如果夏天带应该可以'}]",https://www.adidas.com.cn/item/DT8543?locale=zh_CN
