产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Helvetica Label Beanie,helvetica-label-beanie-225-black,$36.00,$0,Black,['all'],"['Ribbed construction', 'Lightweight body', 'Embroidered logo', '100% acrylic', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332083_BLAC_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332083_BLAC_2.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332083_BLAC_3.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332083_BLAC_4.jpg']",1,all,1,https://www.stussy.com/us/helvetica-label-beanie?color_hat=225
Helvetica Label Beanie,helvetica-label-beanie-287-orange,$36.00,$0,Orange,['all'],"['Ribbed construction', 'Lightweight body', 'Embroidered logo', '100% acrylic', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332083_REDD_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332083_REDD_2.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332083_REDD_3.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332083_REDD_4.jpg']",1,all,1,https://www.stussy.com/us/helvetica-label-beanie?color_hat=225
Helvetica Label Beanie,helvetica-label-beanie-325-yellow,$36.00,$0,Yellow,['all'],"['Ribbed construction', 'Lightweight body', 'Embroidered logo', '100% acrylic', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332083_YELO_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332083_YELO_2.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332083_YELO_3.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332083_YELO_4.jpg']",1,all,1,https://www.stussy.com/us/helvetica-label-beanie?color_hat=225
New Wave Low Pro Cap,new-wave-low-pro-cap-225-black,$36.00,$0,Black,['all'],"['Structured 6 panel', 'Embroidered logo', 'Adjustable strapback closure', '68% polyester/28% Rayon/4% Elastane', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/331209_BLAC_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/331209_BLAC_2.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/331209_BLAC_3.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/331209_BLAC_4.jpg']",2,all,1,https://www.stussy.com/us/new-wave-low-pro-cap?color_hat=225
Wmns Arren Felt Beret,arren-felt-beret-225-black,$35.00,$0,Black,"['XS/S', 'M/L']","[""Women's beret"", 'Flat crown', 'Flat bill', 'Embroidered logo', '100% wool', 'Imported', 'XS/S, M/L']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/232197_BLAC_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/232197_BLAC_2.jpg']",3,all,1,https://www.stussy.com/us/arren-felt-beret?color_hat=225
Wmns Arren Felt Beret,arren-felt-beret-586-lime,$35.00,$0,Lime,"['XS/S', 'M/L']","[""Women's beret"", 'Flat crown', 'Flat bill', 'Embroidered logo', '100% wool', 'Imported', 'XS/S, M/L']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/232197_LIME_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/232197_LIME_2.jpg']",3,all,1,https://www.stussy.com/us/arren-felt-beret?color_hat=225
Wmns Arren Felt Beret,arren-felt-beret-605-lavender,$35.00,$0,Lavender,"['XS/S', 'M/L']","[""Women's beret"", 'Flat crown', 'Flat bill', 'Embroidered logo', '100% wool', 'Imported', 'XS/S, M/L']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/232197_LAVE_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/232197_LAVE_2.jpg']",3,all,1,https://www.stussy.com/us/arren-felt-beret?color_hat=225
GORE-TEX Bucket Hat,gore-tex-bucket-hat-225-black,$75.00,$0,Black,"['S/M', 'L/XL']","['Embroidered logo', '100% Seam taped', ' Downward facing brim', '100% Polyester', 'Imported']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332086_BLAC_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332086_BLAC_2.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332086_BLAC_3.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332086_BLAC_4.jpg']",4,all,1,https://www.stussy.com/us/gore-tex-bucket-hat?color_hat=225
GORE-TEX Bucket Hat,gore-tex-bucket-hat-235-camo,$75.00,$0,Camo,"['S/M', 'L/XL']","['Embroidered logo', '100% Seam taped', ' Downward facing brim', '100% Polyester', 'Imported']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332086_CAMO_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332086_CAMO_2.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332086_CAMO_3.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/332086_CAMO_4.jpg']",4,all,1,https://www.stussy.com/us/gore-tex-bucket-hat?color_hat=225
