goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
CIRCLED HAT,SP9196015|BLK|ONE,$26.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s hat', 'Mid-profile, 6 panel design', 'Structured wool design with back mesh panels', 'Snapback closure', 'Front woven label patch', 'Rear flag label', '85% Acrylic, 15% Wool']",['https://cdn.shopify.com/s/files/1/2034/7683/products/circled_SP9196015_blk_f_5a56d6c1-3afa-4ddc-b9d7-0592872e622d.jpg?v=1545169584'],1,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196015-blk-circled
THE 45'S HAT,SP9196007|NVY|ONE,$28.00,$0,NAVY,['ONE SIZE'],"['O-Neill Men-s snapback hat', 'Lo-profile, 6 panel design', 'Soft twill design', 'Front chainstitch logo patch', 'Rear flag label', '100% Cotton\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/the45s_SP9196007_nvy_f_9d13eb43-e6ae-48bb-bb76-c5dc2b0db594.jpg?v=1545169561'],2,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196007-nvy-the-45s
CAMPFIRE HAT,SP9196004|ARM|ONE,$30.00,$0,ARMY,['ONE SIZE'],"['O-Neill Men-s snapback hat', 'Lo-profile, 6 panel design', 'Light, cotton slub design', 'Front canvas patch label', 'Rear flag label', '100% Cotton\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/campfire_SP9196004_arm_f_5c245459-8fbf-4432-bfbe-59fc8d23d7c2.jpg?v=1545169556'],3,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196004-arm-campfire
ROCKWOOD DAD HAT,SP9196009|BUR|ONE,$26.00,$0,BURGUNDY,['ONE SIZE'],"['O-Neill Men-s Flexfit dad hat', 'Unstructured, pigment washed design', 'Snapback closure', 'Front logo art embroidery', 'Rear flag label', '100% Cotton\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/rockwooddadhat_SP9196009_bur_f_abb5b016-a7dd-4a43-8325-d9abeba5efe8.jpg?v=1545169563'],4,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196009-bur-rockwood-dad-hat
ITTY BITTY TRUCKER HAT,SP9196013|OLV|ONE,$25.00,$0,OLIVE,['ONE SIZE'],"['O-Neill Men-s trucker hat', 'Mid-profile, 5 panel design', 'Structured foam design with back mesh panels', 'Snapback closure', 'Front printed label', 'Rear flag label', '65% Cotton, 35% Poly\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/ittybitty_SP9196013_olv_f_381e917d-8c68-4d41-8d5f-2745a9832450.jpg?v=1545169574'],5,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196013-olv-itty-bitty
