goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Highland 6 Panel Trucker,13857759297597-obey-highland-6-panel-trucker,$29.0,$0,Energy Yellow,['One Size'],"['Unstructured 6 panel trucker hat', 'Mid profile crown height with flat visor', 'direct logo embroidery', 'and plastic snap closure', '100% Cotton', 'Sku: 100500023']","['//cdn.shopify.com/s/files/1/0832/5243/products/100500023_EYL_1_1024x1024.jpg?v=1550873529', '//cdn.shopify.com/s/files/1/0832/5243/products/100500023_EYL_2_1024x1024.jpg?v=1550873533']",1,men,1,https://obeyclothing.com/products/obey-highland-6-panel-trucker?variant=13857759297597
Loot Trucker Hat,13857759264829-obey-loot-trucker-hat,$29.0,$0,Black,['One Size'],"['Structured 5 panel trucker hat', 'Classic profile crown height with foam backing flat visor', 'foam backing', 'logo screen print and plastic snap closure', '100% Polyester', 'Sku: 100500021']","['//cdn.shopify.com/s/files/1/0832/5243/products/100500021_BLK_1_1024x1024.jpg?v=1550873594', '//cdn.shopify.com/s/files/1/0832/5243/products/100500021_BLK_2_1024x1024.jpg?v=1550873599']",2,men,1,https://obeyclothing.com/products/obey-loot-trucker-hat?variant=13857759264829
Impact Snapback,13857759232061-obey-impact-snapback,$29.0,$0,Black,['One Size'],"['Unstructured 5 panel snapback hat', 'Classic profile crown height', 'flat visor', 'direct logo embroidery', 'and plastic snap closure', '100% Cotton', 'Sku: 100570095']","['//cdn.shopify.com/s/files/1/0832/5243/products/100570095_BLK_1_1024x1024.jpg?v=1550873801', '//cdn.shopify.com/s/files/1/0832/5243/products/100570095_BLK_2_1024x1024.jpg?v=1550873811']",3,men,1,https://obeyclothing.com/products/obey-impact-snapback?variant=13857759232061
Struggler Strapback,13857759199293-obey-struggler-strapback,$31.0,$0,Mineral Yellow,['One Size'],"['Unstructured 5 panel strapback hat', 'Classic profile crown height', 'light curved visor', 'PVC logo patch', 'and self fabric strap with metal clasp closure', '100% Cotton', 'Sku: 100570092']","['//cdn.shopify.com/s/files/1/0832/5243/products/100570092_MRL_1_1024x1024.jpg?v=1550873868', '//cdn.shopify.com/s/files/1/0832/5243/products/100570092_MRL_2_1024x1024.jpg?v=1550873874']",4,men,1,https://obeyclothing.com/products/obey-struggler-strapback?variant=13857759199293
Dropout Snapback,13857759133757-obey-dropout-snapback,$29.0,$0,Forest,['One Size'],"['Unstructured 5 panel strapback hat', 'Classic profile crown height', 'light curved visor', 'direct logo embroidered at front and back', 'and plastic snap closure', '100% Cotton', 'Sku: 100570091']","['//cdn.shopify.com/s/files/1/0832/5243/products/100570091_FOR_1_1024x1024.jpg?v=1550874079', '//cdn.shopify.com/s/files/1/0832/5243/products/100570091_FOR_2_1024x1024.jpg?v=1550874086']",5,men,1,https://obeyclothing.com/products/obey-dropout-snapback?variant=13857759133757
Dropout Snapback,13857759166525-obey-dropout-snapback,$29.0,$0,Navy,['One Size'],"['Unstructured 5 panel strapback hat', 'Classic profile crown height', 'light curved visor', 'direct logo embroidered at front and back', 'and plastic snap closure', '100% Cotton', 'Sku: 100570091']","['//cdn.shopify.com/s/files/1/0832/5243/products/100570091_NVY_1_1024x1024.jpg?v=1550874092', '//cdn.shopify.com/s/files/1/0832/5243/products/100570091_NVY_2_1024x1024.jpg?v=1550874097']",5,men,1,https://obeyclothing.com/products/obey-dropout-snapback?variant=13857759166525
Carmal Bucket Hat,13857759100989-obey-carmal-bucket-hat,$31.0,$0,Black Multi,['One Size'],"['Unstructured 6 panel bell shape bucket hat', 'Classic profile crown height with flat visor and direct logo embroidery', '100% Cotton', 'Sku: 100520020']","['//cdn.shopify.com/s/files/1/0832/5243/products/100520020_BKM_1_1024x1024.jpg?v=1550874164', '//cdn.shopify.com/s/files/1/0832/5243/products/100520020_BKM_2_1024x1024.jpg?v=1550874169']",6,men,1,https://obeyclothing.com/products/obey-carmal-bucket-hat?variant=13857759100989
89 Icon Beanie,13857759068221-obey-89-icon-beanie,$22.0,$0,Energy Yellow,['One Size'],"['Medium height cuffed beanie', 'Jersey knit cuffed beanie with logo embroidered felt patch', '100% Acrylic', 'Sku: 100030143']","['//cdn.shopify.com/s/files/1/0832/5243/products/100030143_EYL_1_1024x1024.jpg?v=1550875267', '//cdn.shopify.com/s/files/1/0832/5243/products/100030143_EYL_2_1024x1024.jpg?v=1550875274']",7,men,1,https://obeyclothing.com/products/obey-89-icon-beanie?variant=13857759068221
Braniac 6 Panel Strapback,13857759035453-obey-braniac-6-panel-strapback,$29.0,$0,White Multi,['One Size'],"['Unstructured 6 panel strapback hat', 'Mid profile crown height', 'flat visor', 'direct logo embroidery', 'and self fabric strap with metal slider closure', '100% Cotton', 'Sku: 100580197']","['//cdn.shopify.com/s/files/1/0832/5243/products/100580197_WHT_1_1024x1024.jpg?v=1550875393', '//cdn.shopify.com/s/files/1/0832/5243/products/100580197_WHT_2_1024x1024.jpg?v=1550875401']",8,men,1,https://obeyclothing.com/products/obey-braniac-6-panel-strapback?variant=13857759035453
Braniac 6 Panel Strapback,13857759002685-obey-braniac-6-panel-strapback,$29.0,$0,Black Multi,['One Size'],"['Unstructured 6 panel strapback hat', 'Mid profile crown height', 'flat visor', 'direct logo embroidery', 'and self fabric strap with metal slider closure', '100% Cotton', 'Sku: 100580197']","['//cdn.shopify.com/s/files/1/0832/5243/products/100580197_BKM_1_1024x1024.jpg?v=1550875407', '//cdn.shopify.com/s/files/1/0832/5243/products/100580197_BKM_2_1024x1024.jpg?v=1550875412']",8,men,1,https://obeyclothing.com/products/obey-braniac-6-panel-strapback?variant=13857759002685
