goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Stock Low Pro Cap,stock-low-pro-cap-117016-225-black,$40.00,$0,Black,['all'],"['Low Crown Structured 6 panel with stock embroidered logo.', 'Adjustable strapback closure', '100% Cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131863_BLAC_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131863_BLAC_2.jpg']",1,all,1,https://www.stussy.com/us/stock-low-pro-cap-117016?color_hat=225
Stock Low Pro Cap,stock-low-pro-cap-117016-260-green,$40.00,$0,Green,['all'],"['Low Crown Structured 6 panel with stock embroidered logo.', 'Adjustable strapback closure', '100% Cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131863_GREN_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131863_GREN_2.jpg']",1,all,1,https://www.stussy.com/us/stock-low-pro-cap-117016?color_hat=225
Stock Low Pro Cap,stock-low-pro-cap-117016-280-navy,$40.00,$0,Navy,['all'],"['Low Crown Structured 6 panel with stock embroidered logo.', 'Adjustable strapback closure', '100% Cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131863_NAVY_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131863_NAVY_2.jpg']",1,all,1,https://www.stussy.com/us/stock-low-pro-cap-117016?color_hat=225
Stock Low Pro Cap,stock-low-pro-cap-117016-287-orange,$40.00,$0,Orange,['all'],"['Low Crown Structured 6 panel with stock embroidered logo.', 'Adjustable strapback closure', '100% Cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131863_ORAN_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131863_ORAN_2.jpg']",1,all,1,https://www.stussy.com/us/stock-low-pro-cap-117016?color_hat=225
Stock Low Pro Cap,stock-low-pro-cap-117016-605-lavender,$40.00,$0,Lavender,['all'],"['Low Crown Structured 6 panel with stock embroidered logo.', 'Adjustable strapback closure', '100% Cotton', 'Imported', 'One size fits most']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131863_LAVE_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131863_LAVE_2.jpg']",1,all,1,https://www.stussy.com/us/stock-low-pro-cap-117016?color_hat=225
Warrior Man Bucket Hat,warrior-man-bucket-hat-225-black,$40.00,$0,Black,"['S/M', 'L/XL']","['Standard fit bucket hat with an embroidered design and downward facing brim.', 'Embroidered eyelets', 'Crown liner ', '100% cotton', 'Imported']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/132921_BLAC_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/132921_BLAC_2.jpg']",2,all,1,https://www.stussy.com/us/warrior-man-bucket-hat?color_hat=225
Warrior Man Bucket Hat,warrior-man-bucket-hat-285-olive,$40.00,$0,Olive,"['S/M', 'L/XL']","['Standard fit bucket hat with an embroidered design and downward facing brim.', 'Embroidered eyelets', 'Crown liner ', '100% cotton', 'Imported']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/132921_OLIV_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/132921_OLIV_2.jpg']",2,all,1,https://www.stussy.com/us/warrior-man-bucket-hat?color_hat=225
Warrior Man Bucket Hat,warrior-man-bucket-hat-322-white,$40.00,$0,White,"['S/M', 'L/XL']","['Standard fit bucket hat with an embroidered design and downward facing brim.', 'Embroidered eyelets', 'Crown liner ', '100% cotton', 'Imported']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/132921_WHIT_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/132921_WHIT_2.jpg']",2,all,1,https://www.stussy.com/us/warrior-man-bucket-hat?color_hat=225
Aurora Washed Twill Bucket Hat (Wmns),w-s-aurora-washed-twill-bucket-hat-278-natural,$45.00,$0,Natural,"['XS/S', 'M/L']","['Mid crown bucket hat with downward facing brim and embroidered logo/eyelets.', '100% Cotton']","['https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/232212_NATL_1.jpg', 'https://d2xe6rib7hqydz.cloudfront.net/store/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/232212_NATL_2.jpg']",3,all,1,https://www.stussy.com/us/w-s-aurora-washed-twill-bucket-hat?color_hat=278
