goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_comments,goods_url
C40 6P 3S CLMLT 儿童帽,DT8545,¥149,0,红/白,"['OSFC', 'OSFY']","[' 旨在适合户外运动的弹力训练帽。含Climalite汗带。背面按扣搭扣调节。 ', 'Climalite汗带', '中弧度预成型弧形帽檐', '背面可调节束带配扣环', '帽檐缀热塑性聚氨酯橡胶（TPU）三条纹', '正面缀浮面adidas运动徽标']","['https://img.adidas.com.cn/resources/2019/4/12/15550321627424835_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/12/1555032160042534_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/12/15550321580132030_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/12/15550321645747854_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/12/15550321554021973_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/12/15550321681178643_2000X2000.jpg']",男童  运动表现  训练,1,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/08', 'goods_comment_comment': '还可以吧，就是带着有点勒，总体不错'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/25', 'goods_comment_comment': '完美。官网品质值得信赖！非常合适。'}, {'goods_comment_star': 4, 'goods_comment_time': '2019/03/19', 'goods_comment_comment': '还是不错的，黑白色百搭，洗漱洗漱洗漱'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/16', 'goods_comment_comment': '很好 老爸很喜欢 下次有机会再给他买一个'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/14', 'goods_comment_comment': '大小合适，出行戴很棒，质量各方面都还不错。'}]",https://www.adidas.com.cn/item/DT8545?locale=zh_CN
6P 3S CAP COTTO 运动帽,DU0197,¥99,0,白/黑/黑,"['OSFW', 'OSFM']","[' 这款帽子采用Climalite面料打造，力求助你保持干爽。背面配可调节按扣，预成型帽檐缀三条纹标志。 ', 'Climalite面料', '中号预成型帽檐缀刺绣三条纹', '背面可调节束带配扣环', '六片式结构', '正面饰adidas绣标', '均码，旨在适合多数人使用']","['https://img.adidas.com.cn/resources/2018/12/7/1544150810947236_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441508091772653_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441508071676987_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441507950757669_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441507996583903_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/7/15441508043492170_2000X2000.jpg']",中性  运动表现  训练,2,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/04/06', 'goods_comment_comment': ''}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/05', 'goods_comment_comment': '时尚潮流非常喜欢，以后常来买衣服鞋子帽子'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/04', 'goods_comment_comment': '超级好看 美腻 很舒服 质感也好 '}, {'goods_comment_star': 4, 'goods_comment_time': '2019/04/26', 'goods_comment_comment': '给女朋友买的还不错挺便宜值得入手。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/16', 'goods_comment_comment': '很轻质很方便的一款帽子，便宜好用'}]",https://www.adidas.com.cn/item/DU0197?locale=zh_CN
6P 3S CAP COTTO 运动帽,DU0196,¥99,0,黑/白/白,"['OSFW', 'OSFM']","[' 这款帽子采用Climalite面料打造，力求助你保持干爽。背面配可调节按扣，预成型帽檐缀三条纹标志。 ', 'Climalite面料', '中号预成型帽檐缀刺绣三条纹', '背面可调节束带配扣环', '六片式结构', '正面饰adidas绣标', '均码，旨在适合多数人使用']","['https://img.adidas.com.cn/resources/2018/12/26/15458230468392852_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/26/15458230565116799_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/26/15458230492663663_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/26/15458230581511306_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/26/15458230510303533_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2018/12/26/1545823054200683_2000X2000.jpg']",中性  运动表现  训练,3,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2018/04/06', 'goods_comment_comment': ''}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/05', 'goods_comment_comment': '时尚潮流非常喜欢，以后常来买衣服鞋子帽子'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/04', 'goods_comment_comment': '超级好看 美腻 很舒服 质感也好 '}, {'goods_comment_star': 4, 'goods_comment_time': '2019/04/26', 'goods_comment_comment': '给女朋友买的还不错挺便宜值得入手。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/16', 'goods_comment_comment': '很轻质很方便的一款帽子，便宜好用'}]",https://www.adidas.com.cn/item/DU0196?locale=zh_CN
CLMLT VISOR 运动帽,DT8536,¥89,0,黑/黑/白,"['OSFW', 'OSFM']","[' 到户外去锻炼吧。这款弹力太阳帽，含加衬汗带，佩带舒适。正面结构别致，力求适合艳阳天。后附扣带，方便调节。 ', '可调式扣带', 'Climalite汗带', '结构别致']","['https://img.adidas.com.cn/resources/2019/4/15/15553213087389099_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/15/15553213070089290_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/15/15553213116011486_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/15/15553213006993141_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/15/15553213032752384_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/15/15553213135957738_2000X2000.jpg']",中性  运动表现  训练,4,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/05/05', 'goods_comment_comment': '好看的 很舒服 质量不错 。。。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/05', 'goods_comment_comment': '非常好的购物体验谢谢阿迪非常喜欢'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/05', 'goods_comment_comment': '非常好非常喜欢谢谢阿迪 非常好的购物体验'}, {'goods_comment_star': 4, 'goods_comment_time': '2019/05/05', 'goods_comment_comment': '好好好好好好好好好好好好好好好好好好'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/03', 'goods_comment_comment': '好看，大小也合适，尤其喜欢黑色超级百搭哦'}]",https://www.adidas.com.cn/item/DT8536?locale=zh_CN
C40 LINEAR CAP 运动帽,DU8152,¥129,0,白/黑,"['OSFW', 'OSFM']","[' 把训练延伸至户外。这款帽子，含弧形帽檐和Climalite汗带，结构别致。配按扣后带，方便调节。一侧缀大号adidas徽标。 ', '聚酯纤维', '预成型弧形帽檐', '可调节按扣带', 'Climalite汗带', '旨在适合艳阳天']","['https://img.adidas.com.cn/resources/2019/4/15/15553213244333665_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/15/1555321331056141_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/15/15553213170457439_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/15/15553213138502367_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/15/15553213265295203_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/15/15553213211023737_2000X2000.jpg']",中性  运动表现  训练,5,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/05/06', 'goods_comment_comment': '很亮~还可以但是两边在logo字母也太大了。。。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/05/01', 'goods_comment_comment': '我永远爱阿迪达斯！非常喜欢这框帽子！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/26', 'goods_comment_comment': 'lt&#39;&#39;s very good.feichangbucuo'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/27', 'goods_comment_comment': '我喜欢这个帽子，我永远喜欢阿迪达斯'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/02/17', 'goods_comment_comment': '材质适合春夏秋，黑色经典款，我和儿子都可以带，好看。'}]",https://www.adidas.com.cn/item/DU8152?locale=zh_CN
S16 THE PACKCAP 运动帽,DT8576,¥199,0,黑/黑/白,"['OSFW', 'OSFM']","[' 这款帽子，力求为你在晴日里带来遮覆，采用低弧度帽檐，旨在为双眼遮挡阳光。后扣可调节，另缀adidas运动徽标，更添运动型格。 ', '均码', '聚酯纤维', '低弧度帽檐', '后搭扣', 'adidas运动徽标', '旨在适合艳阳天']","['https://img.adidas.com.cn/resources/2019/4/11/15549743084721097_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549743202838396_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549743182562607_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549743059525521_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549743126846901_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549743153806481_2000X2000.jpg']",中性  运动表现  训练,6,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/17', 'goods_comment_comment': '收到货时以为偏大，后面可以调，喜欢，旅游徒步带的可以上手。'}]",https://www.adidas.com.cn/item/DT8576?locale=zh_CN
THREES4PANEL 帽子,DU8293,¥299,0,浅陈金土/白,"['OSFW', 'OSFM']","[' 这款帽子，以饰带横贯正中，时尚有型。采用四片式结构，配平檐，后部含束带，方便调节。 ', ' ', '印花饰带 ', '饰带所缀图案灵感源自手绘艺术略带瑕疵的美感 ', ' ', '面料舒适 ', '采用梭织面料，质感舒适 ', '聚酯纤维', '平檐', '后扣带']","['https://img.adidas.com.cn/resources/2019/4/11/15549764316429265_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549764357003334_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549764397997983_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549764293047107_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549764374103292_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549764416407137_2000X2000.jpg']",中性  ORIGINALS,7,men,0,[],https://www.adidas.com.cn/item/DU8293?locale=zh_CN
3 STRIPE SNAP 帽子,DV0196,¥349,0,黑/黑,"['OSFW', 'OSFM']","[' 这款按扣帽子，风格简约，带来时尚adidas气质。采用弹力面料打造，干练有型。含平檐，所缀硅胶三条纹直指标志性三叶草徽标。 ', '平檐', '可调节按扣搭扣']","['https://img.adidas.com.cn/resources/2019/4/11/15549763176179697_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549763209508227_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549763155713799_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549763261649512_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549763236195172_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/1554976329125911_2000X2000.jpg']",中性  ORIGINALS,8,men,0,[],https://www.adidas.com.cn/item/DV0196?locale=zh_CN
ADIC WASHED CAP 帽子,DV0206,¥199,0,蒸汽白 青灰/白,"['OSFW', 'OSFM']","[' 戴上就爱上。这款棉质帽子，采用水洗斜纹布打造，力求呈现休闲做旧造型。正面缀刺绣三叶草徽标，后部附扣带，方便调节。 ', '棉', '预成型弧形帽檐', '可调节后带配D形环扣合']","['https://img.adidas.com.cn/resources/2019/4/11/15549762914629118_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549762864333428_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549762883154974_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549762841933017_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549762957368539_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/4/11/15549762933882046_2000X2000.jpg']",中性  ORIGINALS,9,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/05/06', 'goods_comment_comment': '颜色很骚气！舒适~~哈哈哈哈哈哈哈'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/22', 'goods_comment_comment': '颜色很正，很好看'}, {'goods_comment_star': 3, 'goods_comment_time': '2019/04/21', 'goods_comment_comment': ''}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/21', 'goods_comment_comment': '666666颜色很棒，质感也不错鸭'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/20', 'goods_comment_comment': '帽子有点点小，其他都很满意，挺好看的，舒适实用。'}]",https://www.adidas.com.cn/item/DV0206?locale=zh_CN
TIRO C40 CAP 足球帽子,DQ1073,¥99,0,黑/白,['OSFM'],"[' 崇尚运动。这款帽子，正面缀经典三条纹，力求展现你对足球的热爱。内含衬里，佩戴舒适，搭配预成型弧形帽檐。 ', '均码，力求适合多数人使用', '棉', '预成型弧形帽檐', '可调节搭扣', 'Climalite汗带', '旨在适合艳阳天佩戴']","['https://img.adidas.com.cn/resources/2019/3/25/1553503538539490_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/1553503544136223_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535035411635_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535035457591977_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535035365123115_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/3/25/15535035477597529_2000X2000.jpg']",中性  运动表现  足球,10,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/30', 'goods_comment_comment': '非常好啊 好好好 非常喜欢哈哈哈哈哈哈哈'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/27', 'goods_comment_comment': '很喜欢 ，无可挑剔。会继续在官网购物的'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/25', 'goods_comment_comment': '衣服尺码刚好，穿着舒服，帽子有点偏大，可能是我头小，哈哈哈哈'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/22', 'goods_comment_comment': '喜欢这个经典款的帽子，很酷！ 很时尚！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/04/21', 'goods_comment_comment': '很不错哦很不错很不错很不错很不错很不错'}]",https://www.adidas.com.cn/item/DQ1073?locale=zh_CN
